##The total sample size is 50.
Marker1	Marker2	Correlation	Lower	Upper	t-statistic	Valid-num
0	1	-0.558368	-0.724168	-0.331545	-4.663113	50
0	2	0.945632	0.905669	0.968941	20.143764	50
0	3	-0.931482	-0.960735	-0.881750	-17.739738	50
0	4	0.926837	0.873953	0.958030	17.102345	50
0	5	-0.874977	-0.927448	-0.788719	-12.520583	50
0	6	-0.863384	-0.920514	-0.770108	-11.855569	50
0	7	0.892806	0.817653	0.938042	13.732213	50
0	8	0.930748	0.880516	0.960308	17.634912	50
0	9	-0.876969	-0.928636	-0.791933	-12.643563	50
0	10	-0.033121	-0.308628	0.247513	-0.229596	50
0	11	-0.910501	-0.948473	-0.846749	-15.255243	50
0	12	-0.693375	-0.814522	-0.514279	-6.666655	50
0	13	0.945919	0.906157	0.969107	20.201855	50
0	14	0.923964	0.869144	0.956354	16.736563	50
0	15	-0.498417	-0.682134	-0.255514	-3.983145	50
0	16	0.917272	0.857984	0.952442	15.956974	50
0	17	-0.446721	-0.644885	-0.192277	-3.459334	50
0	18	0.945312	0.905125	0.968756	20.079575	50
0	19	-0.051258	-0.324974	0.230381	-0.355596	50
0	20	-0.319115	-0.548726	-0.044736	-2.332861	50
0	21	0.903924	0.835889	0.944605	14.642642	50
0	22	0.937294	0.891544	0.964112	18.631353	50
0	23	0.927856	0.875662	0.958624	17.237127	50
0	24	-0.621828	-0.767360	-0.415370	-5.501021	50
0	25	-0.768614	-0.862449	-0.623699	-8.324228	50
0	26	-0.591344	-0.746775	-0.374661	-5.080416	50
0	27	0.411262	0.150092	0.618779	3.125897	50
0	28	-0.586258	-0.743312	-0.367950	-5.013694	50
0	29	0.714046	0.543772	0.827857	7.066231	50
0	30	-0.247565	-0.492013	0.033066	-1.770290	50
0	31	0.922669	0.866981	0.955598	16.578247	50
0	32	0.698326	0.521304	0.817728	6.759254	50
0	33	0.876220	0.790723	0.928189	12.596964	50
0	34	-0.753170	-0.852747	-0.600767	-7.932376	50
0	35	0.942564	0.900461	0.967166	19.550247	50
0	36	-0.544778	-0.714746	-0.314047	-4.500856	50
0	37	0.931521	0.881816	0.960758	17.745377	50
0	38	-0.757498	-0.855473	-0.607168	-8.038912	50
0	39	0.939985	0.896093	0.965672	19.085960	50
0	40	-0.500206	-0.683405	-0.257739	-4.002195	50
0	41	-0.276804	-0.515442	0.001678	-1.995737	50
0	42	0.883060	0.801788	0.932261	13.037560	50
0	43	0.815695	0.695185	0.891608	9.769197	50
0	44	0.912732	0.850445	0.949782	15.477809	50
0	45	0.940309	0.896640	0.965860	19.142563	50
0	46	0.307965	0.032389	0.540025	2.242642	50
0	47	0.933196	0.884634	0.961732	17.990961	50
0	48	0.937068	0.891163	0.963981	18.594532	50
0	49	-0.644650	-0.782577	-0.446399	-5.842243	50
0	50	0.653398	0.458421	0.788367	5.979906	50
0	51	-0.903778	-0.944519	-0.835649	-14.629786	50
0	52	0.854577	0.756075	0.915222	11.400746	50
0	53	0.936810	0.890726	0.963830	18.552521	50
0	54	0.639720	0.439656	0.779303	5.766407	50
0	55	-0.796246	-0.879638	-0.665363	-9.118691	50
0	56	0.903581	0.835324	0.944403	14.612363	50
0	57	0.755009	0.603483	0.853906	7.977326	50
0	58	-0.586552	-0.743513	-0.368338	-5.017528	50
0	59	0.947934	0.909584	0.970271	20.622169	50
0	60	-0.908857	-0.947507	-0.844029	-15.096176	50
0	61	0.845745	0.742092	0.909894	10.981315	50
0	62	0.955012	0.921666	0.974353	22.310421	50
0	63	-0.669182	-0.798752	-0.480293	-6.239047	50
0	64	0.715411	0.545734	0.828733	7.093870	50
0	65	-0.431452	-0.633700	-0.173996	-3.313460	50
0	66	-0.861988	-0.919677	-0.767878	-11.780822	50
0	67	-0.721205	-0.832445	-0.554084	-7.213069	50
0	68	-0.690045	-0.812362	-0.509568	-6.605406	50
0	69	-0.877620	-0.929024	-0.792984	-12.684362	50
0	70	0.911909	0.849080	0.949299	15.394722	50
0	71	0.945377	0.905235	0.968793	20.092545	50
0	72	0.403471	0.140948	0.612982	3.055032	50
0	73	-0.689893	-0.812264	-0.509354	-6.602637	50
0	74	0.921904	0.865704	0.955151	16.486456	50
0	75	0.939043	0.894499	0.965126	18.923429	50
0	76	0.905735	0.838875	0.945671	14.805263	50
0	77	0.878362	0.794183	0.929466	12.731227	50
0	78	-0.496538	-0.680796	-0.253178	-3.963198	50
0	79	-0.855330	-0.915676	-0.757271	-11.438116	50
0	80	0.231580	-0.049995	0.479053	1.649269	50
0	81	-0.636863	-0.777403	-0.435759	-5.723022	50
0	82	0.910372	0.846535	0.948397	15.242571	50
0	83	0.925670	0.872000	0.957350	16.951389	50
0	84	-0.714604	-0.828215	-0.544574	-7.077513	50
0	85	0.899177	0.828083	0.941806	14.236463	50
0	86	-0.575345	-0.735852	-0.353625	-4.873524	50
0	87	0.948863	0.911167	0.970808	20.824127	50
0	88	-0.649893	-0.786050	-0.453596	-5.924267	50
0	89	-0.110713	-0.377434	0.172970	-0.771784	50
0	90	0.917985	0.859171	0.952860	16.035673	50
0	91	-0.930854	-0.960370	-0.880695	-17.650032	50
0	92	-0.700744	-0.819291	-0.524745	-6.805167	50
0	93	-0.677439	-0.804154	-0.491829	-6.380596	50
0	94	0.694638	0.516070	0.815341	6.690116	50
0	95	-0.941435	-0.966512	-0.898548	-19.343334	50
0	96	-0.944705	-0.968405	-0.904094	-19.959429	50
0	97	-0.953822	-0.973667	-0.919631	-22.000359	50
0	98	-0.493893	-0.678911	-0.249895	-3.935253	50
0	99	-0.940712	-0.966093	-0.897323	-19.213789	50
1	2	-0.609838	-0.759300	-0.399260	-5.331162	50
1	3	0.543477	0.312381	0.713841	4.485600	50
1	4	-0.622173	-0.767591	-0.415836	-5.506003	50
1	5	0.637653	0.436835	0.777929	5.734975	50
1	6	0.554617	0.326700	0.721574	4.617803	50
1	7	-0.584799	-0.742317	-0.366029	-4.994724	50
1	8	-0.638282	-0.778348	-0.437693	-5.744522	50
1	9	0.589918	0.372777	0.745805	5.061619	50
1	10	0.054778	-0.227037	0.328127	0.380081	50
1	11	0.535082	0.301659	0.707986	4.388206	50
1	12	0.529522	0.294591	0.704096	4.324716	50
1	13	-0.600416	-0.752933	-0.386690	-5.201784	50
1	14	-0.621497	-0.767138	-0.414924	-5.496249	50
1	15	0.486589	0.240860	0.673694	3.858826	50
1	16	-0.678495	-0.804844	-0.493309	-6.399021	50
1	17	0.622733	0.416592	0.767967	5.514095	50
1	18	-0.604378	-0.755614	-0.391966	-5.255764	50
1	19	-0.097304	-0.365750	0.186089	-0.677356	50
1	20	0.048612	-0.232892	0.322599	0.337189	50
1	21	-0.620252	-0.766303	-0.413246	-5.478354	50
1	22	-0.627328	-0.771042	-0.422805	-5.581029	50
1	23	-0.643881	-0.782067	-0.445345	-5.830327	50
1	24	0.442719	0.187468	0.641961	3.420741	50
1	25	0.622666	0.416501	0.767922	5.513124	50
1	26	0.395099	0.131173	0.606726	2.979767	50
1	27	-0.409171	-0.617226	-0.147633	-3.106798	50
1	28	0.327149	0.053686	0.554965	2.398543	50
1	29	-0.355146	-0.576507	-0.085218	-2.632108	50
1	30	0.237332	-0.043922	0.483729	1.692649	50
1	31	-0.608129	-0.758147	-0.396973	-5.307425	50
1	32	-0.497156	-0.681236	-0.253946	-3.969751	50
1	33	-0.601597	-0.753733	-0.388261	-5.217811	50
1	34	0.497630	0.254534	0.681573	3.974776	50
1	35	-0.619811	-0.766007	-0.412651	-5.472017	50
1	36	0.559064	0.332446	0.724649	4.671569	50
1	37	-0.628590	-0.771886	-0.424515	-5.599586	50
1	38	0.527123	0.291548	0.702413	4.297557	50
1	39	-0.682757	-0.807623	-0.499294	-6.474117	50
1	40	0.266261	-0.013059	0.507035	1.913798	50
1	41	0.123603	-0.160263	0.388586	0.862965	50
1	42	-0.623865	-0.768725	-0.418122	-5.530507	50
1	43	-0.445295	-0.643844	-0.190563	-3.445556	50
1	44	-0.591115	-0.746620	-0.374358	-5.077394	50
1	45	-0.604801	-0.755899	-0.392530	-5.261558	50
1	46	-0.239107	-0.485169	0.042043	-1.706073	50
1	47	-0.608496	-0.758394	-0.397464	-5.312513	50
1	48	-0.642659	-0.781256	-0.443673	-5.811465	50
1	49	0.528191	0.292902	0.703162	4.309627	50
1	50	-0.248820	-0.493026	0.031730	-1.779853	50
1	51	0.600140	0.386322	0.752746	5.198042	50
1	52	-0.598097	-0.751361	-0.383608	-5.170469	50
1	53	-0.710770	-0.825752	-0.539069	-7.000551	50
1	54	-0.321722	-0.550754	-0.047635	-2.354115	50
1	55	0.624597	0.419111	0.769216	5.541142	50
1	56	-0.573106	-0.734317	-0.350699	-4.845257	50
1	57	-0.509406	-0.689931	-0.269229	-4.101295	50
1	58	0.405502	0.143327	0.614495	3.073423	50
1	59	-0.654150	-0.788863	-0.459458	-5.991934	50
1	60	0.569148	0.345537	0.731598	4.795681	50
1	61	-0.553464	-0.720775	-0.325213	-4.603953	50
1	62	-0.638900	-0.778758	-0.438536	-5.753909	50
1	63	0.429309	0.171444	0.632124	3.293272	50
1	64	-0.492522	-0.677933	-0.248196	-3.920822	50
1	65	0.262971	-0.016596	0.504402	1.888381	50
1	66	0.577607	0.356586	0.737401	4.902248	50
1	67	0.534876	0.301397	0.707842	4.385843	50
1	68	0.469234	0.219558	0.661222	3.681397	50
1	69	0.721282	0.554195	0.832494	7.214672	50
1	70	-0.706417	-0.822950	-0.532838	-6.914707	50
1	71	-0.635451	-0.776463	-0.433834	-5.701716	50
1	72	-0.224141	-0.472984	0.057819	-1.593438	50
1	73	0.622173	0.415836	0.767591	5.506002	50
1	74	-0.635937	-0.776787	-0.434497	-5.709043	50
1	75	-0.619659	-0.765905	-0.412447	-5.469843	50
1	76	-0.640154	-0.779592	-0.440249	-5.773044	50
1	77	-0.654005	-0.788767	-0.459257	-5.989605	50
1	78	0.346981	0.075966	0.570257	2.563205	50
1	79	0.458482	0.206481	0.653443	3.574260	50
1	80	-0.133089	-0.396744	0.150852	-0.930347	50
1	81	0.440217	0.184469	0.640131	3.396752	50
1	82	-0.617196	-0.764252	-0.409132	-5.434684	50
1	83	-0.634358	-0.775735	-0.432348	-5.685304	50
1	84	0.720059	0.552430	0.831711	7.189255	50
1	85	-0.548889	-0.717603	-0.319324	-4.549387	50
1	86	0.557958	0.331016	0.723885	4.658145	50
1	87	-0.611163	-0.760192	-0.401033	-5.349631	50
1	88	0.402295	0.139572	0.612104	3.044405	50
1	89	0.190802	-0.092461	0.445494	1.346654	50
1	90	-0.653312	-0.788310	-0.458302	-5.978533	50
1	91	0.611156	0.401024	0.760188	5.349534	50
1	92	0.389990	0.125232	0.602896	2.934272	50
1	93	0.473219	0.224429	0.664096	3.721638	50
1	94	-0.228540	-0.476575	0.053197	-1.626414	50
1	95	0.628424	0.424289	0.771775	5.597133	50
1	96	0.618247	0.410545	0.764957	5.449653	50
1	97	0.630248	0.426763	0.772994	5.624063	50
1	98	0.412118	0.151098	0.619415	3.133729	50
1	99	0.629111	0.425220	0.772234	5.607254	50
2	3	-0.916040	-0.951721	-0.855935	-15.823236	50
2	4	0.954348	0.920529	0.973970	22.135782	50
2	5	-0.903017	-0.944071	-0.834395	-14.562856	50
2	6	-0.855621	-0.915851	-0.757734	-11.452644	50
2	7	0.923737	0.868765	0.956221	16.708549	50
2	8	0.958823	0.928198	0.976545	23.390163	50
2	9	-0.867550	-0.923010	-0.776777	-12.085152	50
2	10	-0.047299	-0.321419	0.234137	-0.328061	50
2	11	-0.911127	-0.948840	-0.847785	-15.316831	50
2	12	-0.717914	-0.830337	-0.549337	-7.144985	50
2	13	0.933898	0.885815	0.962139	18.096516	50
2	14	0.947745	0.909262	0.970162	20.581671	50
2	15	-0.605371	-0.756285	-0.393291	-5.269392	50
2	16	0.935202	0.888013	0.962897	18.297083	50
2	17	-0.507056	-0.688267	-0.266288	-4.075804	50
2	18	0.939906	0.895959	0.965626	19.072086	50
2	19	-0.090690	-0.359956	0.192523	-0.630917	50
2	20	-0.363363	-0.582772	-0.094576	-2.702150	50
2	21	0.924788	0.870523	0.956835	16.839453	50
2	22	0.953859	0.919693	0.973688	22.009706	50
2	23	0.950160	0.913377	0.971556	21.115110	50
2	24	-0.696416	-0.816492	-0.518592	-6.723316	50
2	25	-0.781335	-0.870390	-0.642779	-8.673534	50
2	26	-0.668149	-0.798075	-0.478854	-6.221642	50
2	27	0.432856	0.175669	0.634732	3.326721	50
2	28	-0.587276	-0.744006	-0.369291	-5.026971	50
2	29	0.685787	0.503559	0.809595	6.528242	50
2	30	-0.305293	-0.537932	-0.029442	-2.221172	50
2	31	0.948250	0.910122	0.970453	20.690195	50
2	32	0.714362	0.544225	0.828059	7.072601	50
2	33	0.889349	0.812013	0.935994	13.475965	50
2	34	-0.783870	-0.871967	-0.646601	-8.746336	50
2	35	0.960026	0.930263	0.977236	23.761906	50
2	36	-0.529170	-0.703848	-0.294143	-4.320714	50
2	37	0.960221	0.930599	0.977348	23.823929	50
2	38	-0.852850	-0.914182	-0.753333	-11.315980	50
2	39	0.948201	0.910039	0.970425	20.679649	50
2	40	-0.404488	-0.613740	-0.142139	-3.064236	50
2	41	-0.290577	-0.526356	-0.013300	-2.103956	50
2	42	0.921450	0.864946	0.954886	16.432579	50
2	43	0.814729	0.693693	0.891015	9.734727	50
2	44	0.945416	0.905302	0.968816	20.100405	50
2	45	0.966087	0.940702	0.980713	25.921200	50
2	46	0.364998	0.096444	0.584016	2.716176	50
2	47	0.962655	0.934785	0.978745	24.635031	50
2	48	0.953872	0.919716	0.973696	22.013109	50
2	49	-0.656911	-0.790685	-0.463269	-6.036347	50
2	50	0.607826	0.396569	0.757942	5.303239	50
2	51	-0.942099	-0.966897	-0.899673	-19.464268	50
2	52	0.898690	0.827285	0.941519	14.196360	50
2	53	0.952079	0.916652	0.972663	21.566629	50
2	54	0.572190	0.349503	0.733688	4.833734	50
