##The total sample size is 50.
Marker1	Marker2	Correlation	Lower	Upper	t-statistic	Valid-num
0	1	-0.414686	-0.621320	-0.154123	-3.157295	50
0	2	0.801585	0.673507	0.882934	9.288703	50
0	3	-0.789388	-0.875392	-0.654945	-8.908754	50
0	4	0.816279	0.696086	0.891965	9.790115	50
0	5	-0.759328	-0.856624	-0.609880	-8.084691	50
0	6	-0.858439	-0.917546	-0.762218	-11.595376	50
0	7	0.791693	0.658440	0.876821	8.978282	50
0	8	0.758440	0.608564	0.856066	8.062428	50
0	9	-0.731861	-0.839246	-0.569530	-7.440675	50
0	10	0.045954	-0.235409	0.320211	0.318718	50
0	11	-0.729940	-0.838023	-0.566738	-7.398814	50
0	12	-0.580998	-0.739721	-0.361033	-4.945634	50
0	13	0.821340	0.703919	0.895062	9.975504	50
0	14	0.844802	0.740605	0.909324	10.938492	50
0	15	-0.459304	-0.654039	-0.207477	-3.582375	50
0	16	0.846242	0.742877	0.910195	11.004059	50
0	17	-0.156420	-0.416632	0.127483	-1.097215	50
0	18	0.858055	0.761606	0.917315	11.575688	50
0	19	0.124226	-0.159647	0.389123	0.867379	50
0	20	0.020498	-0.259335	0.297155	0.142041	50
0	21	0.794286	0.662380	0.878426	9.057729	50
0	22	0.697383	0.519965	0.817118	6.741481	50
0	23	0.846819	0.743787	0.910543	11.030524	50
0	24	-0.475978	-0.666081	-0.227807	-3.749666	50
0	25	-0.641585	-0.780543	-0.442204	-5.794949	50
0	26	-0.604672	-0.755813	-0.392359	-5.259797	50
0	27	0.511068	0.271312	0.691106	4.119396	50
0	28	-0.628139	-0.771585	-0.423904	-5.592946	50
0	29	0.686050	0.503930	0.809767	6.532981	50
0	30	-0.070067	-0.341754	0.212429	-0.486633	50
0	31	0.843457	0.738485	0.908511	10.878048	50
0	32	0.795726	0.664571	0.879317	9.102444	50
0	33	0.777383	0.636832	0.867928	8.562211	50
0	34	-0.729844	-0.837961	-0.566598	-7.396730	50
0	35	0.768836	0.624030	0.862588	8.330092	50
0	36	-0.410134	-0.617942	-0.148765	-3.115589	50
0	37	0.740696	0.582425	0.844860	7.638267	50
0	38	-0.608451	-0.758364	-0.397405	-5.311897	50
0	39	0.766146	0.620018	0.860904	8.259374	50
0	40	-0.388869	-0.602054	-0.123931	-2.924327	50
0	41	0.082976	-0.199995	0.353172	0.576866	50
0	42	0.785258	0.648697	0.872829	8.786667	50
0	43	0.781032	0.642322	0.870201	8.664905	50
0	44	0.818007	0.698758	0.893023	9.852646	50
0	45	0.813205	0.691344	0.890081	9.680885	50
0	46	0.211482	-0.071054	0.462602	1.499095	50
0	47	0.801489	0.673360	0.882875	9.285589	50
0	48	0.791789	0.658586	0.876880	8.981200	50
0	49	-0.630892	-0.773423	-0.427636	-5.633596	50
0	50	0.603265	0.390483	0.754861	5.240541	50
0	51	-0.717071	-0.829797	-0.548123	-7.127705	50
0	52	0.781128	0.642467	0.870261	8.667639	50
0	53	0.805810	0.679976	0.885537	9.427669	50
0	54	0.595006	0.379508	0.749264	5.129045	50
0	55	-0.725714	-0.835327	-0.560607	-7.308029	50
0	56	0.850564	0.749711	0.912804	11.205942	50
0	57	0.762881	0.615157	0.858856	8.174910	50
0	58	-0.352517	-0.574498	-0.082234	-2.609851	50
0	59	0.856423	0.759008	0.916333	11.492835	50
0	60	-0.729844	-0.837961	-0.566598	-7.396730	50
0	61	0.778920	0.639142	0.868885	8.605179	50
0	62	0.848163	0.745912	0.911355	11.092806	50
0	63	-0.558780	-0.724453	-0.332078	-4.668111	50
0	64	0.684322	0.501495	0.808642	6.501987	50
0	65	-0.409364	-0.617369	-0.147859	-3.108554	50
0	66	-0.800528	-0.882283	-0.671893	-9.254578	50
0	67	-0.594430	-0.748873	-0.378745	-5.121362	50
0	68	-0.724466	-0.834530	-0.558799	-7.281543	50
0	69	-0.760576	-0.857408	-0.611733	-8.116193	50
0	70	0.749626	0.595539	0.850511	7.846905	50
0	71	0.816567	0.696531	0.892141	9.800483	50
0	72	0.299748	0.023343	0.533581	2.176806	50
0	73	-0.569364	-0.731746	-0.345818	-4.798366	50
0	74	0.829052	0.715908	0.899766	10.272039	50
0	75	0.787563	0.652182	0.874260	8.854422	50
0	76	0.797359	0.667058	0.880326	9.153630	50
0	77	0.788205	0.653153	0.874658	8.873453	50
0	78	-0.419968	-0.625232	-0.160362	-3.206062	50
0	79	-0.698343	-0.817739	-0.521330	-6.759591	50
0	80	0.281537	0.003455	0.519201	2.032767	50
0	81	-0.522689	-0.699299	-0.285938	-4.247738	50
0	82	0.720912	0.553662	0.832258	7.206981	50
0	83	0.719741	0.551971	0.831508	7.182656	50
0	84	-0.589532	-0.745543	-0.372268	-5.056541	50
0	85	0.811933	0.689384	0.889301	9.636374	50
0	86	-0.482161	-0.670522	-0.235402	-3.813006	50
0	87	0.756927	0.606322	0.855113	8.024705	50
0	88	-0.407979	-0.616339	-0.146232	-3.095930	50
0	89	-0.083601	-0.353723	0.199391	-0.581243	50
0	90	0.739448	0.580598	0.844068	7.609831	50
0	91	-0.792461	-0.877296	-0.659607	-9.001683	50
0	92	-0.602651	-0.754446	-0.389664	-5.232159	50
0	93	-0.680000	-0.805826	-0.495421	-6.425396	50
0	94	0.753181	0.600783	0.852754	7.932639	50
0	95	-0.817859	-0.892933	-0.698529	-9.847255	50
0	96	-0.732699	-0.839780	-0.570751	-7.459073	50
0	97	-0.811477	-0.889020	-0.688681	-9.620500	50
0	98	-0.439867	-0.639874	-0.184049	-3.393397	50
0	99	-0.753085	-0.852693	-0.600641	-7.930302	50
1	2	-0.487778	-0.674545	-0.242327	-3.871191	50
1	3	0.401719	0.138898	0.611675	3.039206	50
1	4	-0.477213	-0.666969	-0.229322	-3.762258	50
1	5	0.536378	0.303310	0.708892	4.403120	50
1	6	0.398934	0.135644	0.609594	3.014128	50
1	7	-0.389233	-0.602327	-0.124353	-2.927555	50
1	8	-0.309831	-0.541485	-0.034450	-2.257672	50
1	9	0.537146	0.304290	0.709428	4.411983	50
1	10	-0.099553	-0.367716	0.183895	-0.693170	50
1	11	0.526677	0.290983	0.702101	4.292525	50
1	12	0.234986	-0.046401	0.481823	1.674932	50
1	13	-0.470837	-0.662379	-0.221516	-3.697549	50
1	14	-0.406426	-0.615183	-0.144410	-3.081809	50
1	15	0.419488	0.159794	0.624877	3.201613	50
1	16	-0.483264	-0.671313	-0.236760	-3.824381	50
1	17	0.146473	-0.137485	0.408184	1.025862	50
1	18	-0.390290	-0.603120	-0.125580	-2.936927	50
1	19	0.082457	-0.200497	0.352714	0.573230	50
1	20	-0.268034	-0.508452	0.011151	-1.927522	50
1	21	-0.519570	-0.697105	-0.282001	-4.212976	50
1	22	-0.458099	-0.653165	-0.206016	-3.570481	50
1	23	-0.423810	-0.628070	-0.164912	-3.241777	50
1	24	0.369360	0.101436	0.587328	2.753727	50
1	25	0.558853	0.332173	0.724503	4.669003	50
1	26	0.313699	0.038728	0.544506	2.288910	50
1	27	-0.143639	-0.405768	0.140324	-1.005590	50
1	28	0.373481	0.106166	0.590451	2.789401	50
1	29	-0.226336	-0.474777	0.055514	-1.609881	50
1	30	0.051631	-0.230028	0.325308	0.358185	50
1	31	-0.444268	-0.643094	-0.189329	-3.435654	50
1	32	-0.486433	-0.673583	-0.240667	-3.857205	50
1	33	-0.487490	-0.674339	-0.241971	-3.868191	50
1	34	0.409211	0.147680	0.617255	3.107161	50
1	35	-0.331989	-0.558711	-0.059097	-2.438382	50
1	36	0.430253	0.172567	0.632818	3.302149	50
1	37	-0.492388	-0.677838	-0.248030	-3.919417	50
1	38	0.452144	0.198814	0.648837	3.512042	50
1	39	-0.647121	-0.784215	-0.449788	-5.880719	50
1	40	0.203434	-0.079416	0.455967	1.439533	50
1	41	-0.079440	-0.350052	0.203411	-0.552118	50
1	42	-0.489795	-0.675986	-0.244820	-3.892237	50
1	43	-0.403256	-0.612821	-0.140696	-3.053086	50
1	44	-0.498535	-0.682217	-0.255660	-3.984399	50
1	45	-0.380493	-0.595749	-0.114239	-2.850537	50
1	46	-0.035346	-0.310643	0.245421	-0.245040	50
1	47	-0.371464	-0.588923	-0.103850	-2.771918	50
1	48	-0.497959	-0.681808	-0.254944	-3.978273	50
1	49	0.535286	0.301919	0.708129	4.390554	50
1	50	-0.145656	-0.407488	0.138304	-1.020014	50
1	51	0.439850	0.184029	0.639862	3.393240	50
1	52	-0.453777	-0.650025	-0.200786	-3.528006	50
1	53	-0.516208	-0.694736	-0.277767	-4.175771	50
1	54	-0.206647	-0.458619	0.076082	-1.463273	50
1	55	0.580272	0.360079	0.739225	4.936307	50
1	56	-0.457331	-0.652607	-0.205085	-3.562907	50
1	57	-0.405561	-0.614539	-0.143397	-3.073962	50
1	58	0.297899	0.021314	0.532127	2.162068	50
1	59	-0.429477	-0.632247	-0.171644	-3.294848	50
1	60	0.404505	0.142158	0.613752	3.064385	50
1	61	-0.456851	-0.652258	-0.204504	-3.558178	50
1	62	-0.443308	-0.642392	-0.188175	-3.426408	50
1	63	0.325710	0.052079	0.553849	2.386734	50
1	64	-0.419200	-0.624663	-0.159453	-3.198944	50
1	65	0.300677	0.024364	0.534311	2.184225	50
1	66	0.448014	0.193834	0.645828	3.471859	50
1	67	0.593238	0.377167	0.748064	5.105512	50
1	68	0.421601	0.162294	0.626439	3.221215	50
1	69	0.498919	0.256138	0.682491	3.988487	50
1	70	-0.588033	-0.744522	-0.370289	-5.036873	50
1	71	-0.433895	-0.635495	-0.176909	-3.336555	50
1	72	-0.177790	-0.434633	0.105799	-1.251704	50
1	73	0.502281	0.260325	0.684880	4.024388	50
1	74	-0.434375	-0.635848	-0.177482	-3.341107	50
1	75	-0.361859	-0.581628	-0.092860	-2.689281	50
1	76	-0.402007	-0.611890	-0.139235	-3.041807	50
1	77	-0.434091	-0.635639	-0.177143	-3.338412	50
1	78	0.113587	-0.170145	0.379928	0.792082	50
1	79	0.347933	0.077041	0.570986	2.571197	50
1	80	0.011382	-0.267819	0.288819	0.078859	50
1	81	0.400855	0.137888	0.611029	3.031413	50
1	82	-0.446670	-0.644847	-0.192215	-3.458836	50
1	83	-0.399222	-0.609810	-0.135980	-3.016717	50
1	84	0.587571	0.369681	0.744207	5.030837	50
1	85	-0.413791	-0.620657	-0.153069	-3.149074	50
1	86	0.439178	0.183224	0.639370	3.386813	50
1	87	-0.603035	-0.754706	-0.390176	-5.237399	50
1	88	0.274482	-0.004191	0.513595	1.977623	50
1	89	0.168516	-0.115243	0.426846	1.184449	50
1	90	-0.477309	-0.667039	-0.229440	-3.763239	50
1	91	0.491524	0.246959	0.677221	3.910342	50
1	92	0.299265	0.022813	0.533201	2.172957	50
1	93	0.418528	0.158658	0.624166	3.192723	50
1	94	-0.154589	-0.415080	0.129329	-1.084053	50
1	95	0.444001	0.189008	0.642899	3.433082	50
1	96	0.478699	0.231146	0.668038	3.777456	50
1	97	0.509485	0.269327	0.689986	4.102146	50
1	98	0.280754	0.002605	0.518580	2.026632	50
1	99	0.452336	0.199045	0.648977	3.513917	50
2	3	-0.718127	-0.830474	-0.549645	-7.149370	50
2	4	0.779976	0.640732	0.869543	8.634949	50
2	5	-0.788043	-0.874558	-0.652909	-8.868659	50
2	6	-0.748764	-0.849966	-0.594269	-7.826334	50
2	7	0.694598	0.516013	0.815315	6.689362	50
2	8	0.730586	0.567677	0.838434	7.412859	50
2	9	-0.761441	-0.857951	-0.613016	-8.138124	50
2	10	-0.016855	-0.293829	0.262730	-0.116790	50
2	11	-0.731957	-0.839307	-0.569670	-7.442779	50
2	12	-0.527167	-0.702444	-0.291605	-4.298058	50
2	13	0.690101	0.509647	0.812399	6.606423	50
2	14	0.758175	0.608171	0.855899	8.055802	50
2	15	-0.567155	-0.730227	-0.342942	-4.770897	50
2	16	0.721200	0.554078	0.832442	7.212982	50
2	17	-0.134613	-0.398051	0.149335	-0.941193	50
2	18	0.714094	0.543840	0.827887	7.067187	50
2	19	-0.032797	-0.308335	0.247818	-0.227347	50
2	20	0.038252	-0.242684	0.313269	0.265215	50
2	21	0.747995	0.593138	0.849481	7.808091	50
2	22	0.678367	0.493130	0.804761	6.396789	50
2	23	0.724274	0.558521	0.834407	7.277482	50
2	24	-0.508440	-0.689246	-0.268018	-4.090794	50
2	25	-0.697287	-0.817056	-0.519829	-6.739675	50
2	26	-0.627482	-0.771145	-0.423014	-5.583290	50
2	27	0.418679	0.158838	0.624278	3.194128	50
2	28	-0.585210	-0.742597	-0.366570	-5.000056	50
2	29	0.622761	0.416630	0.767986	5.514506	50
2	30	-0.212601	-0.463524	0.069887	-1.507407	50
2	31	0.761921	0.613730	0.858253	8.150353	50
2	32	0.670588	0.482253	0.799674	6.262855	50
2	33	0.766723	0.620877	0.861265	8.274437	50
2	34	-0.653493	-0.788429	-0.458552	-5.981427	50
2	35	0.713517	0.543012	0.827517	7.055566	50
2	36	-0.320989	-0.550184	-0.046820	-2.348137	50
2	37	0.736086	0.575687	0.841934	7.534126	50
2	38	-0.662041	-0.794063	-0.470368	-6.120014	50
2	39	0.762689	0.614872	0.858735	8.169988	50
2	40	-0.411679	-0.619089	-0.150581	-3.129707	50
2	41	0.087055	-0.196048	0.356762	0.605431	50
2	42	0.752989	0.600499	0.852633	7.927965	50
2	43	0.704682	0.530359	0.821832	6.880928	50
2	44	0.780840	0.642033	0.870082	8.659445	50
2	45	0.816086	0.695789	0.891847	9.783215	50
2	46	0.264208	-0.015267	0.505393	1.897928	50
2	47	0.763265	0.615729	0.859097	8.184769	50
2	48	0.757599	0.607317	0.855536	8.041425	50
2	49	-0.520925	-0.698058	-0.283711	-4.228049	50
2	50	0.483794	0.237412	0.671692	3.829854	50
2	51	-0.799760	-0.881809	-0.670720	-9.229910	50
2	52	0.751453	0.598231	0.851664	7.890751	50
