##The total sample size of case group is 50.
##The total sample size of control group is 50.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	1	-0.558368	-0.724168	-0.331545	-4.663113	50	0.145865	0.152333	-0.131600	0.413166	1.067854	50	0.145865	-3.800515	0.000144
0	2	0.945632	0.905669	0.968941	20.143764	50	0.145865	-0.049432	-0.323335	0.232115	-0.342892	50	0.145865	8.911272	5.045036e-19
0	3	-0.931482	-0.960735	-0.881750	-17.739738	50	0.145865	0.002774	-0.275792	0.280909	0.019216	50	0.145865	-8.106516	5.209191e-16
0	4	0.926837	0.873953	0.958030	17.102345	50	0.145865	-0.217688	-0.467700	0.064578	-1.545242	50	0.145865	9.000687	2.243103e-19
0	5	-0.874977	-0.927448	-0.788719	-12.520583	50	0.145865	-0.199658	-0.452844	0.083325	-1.411695	50	0.145865	-5.582351	2.372886e-08
0	6	-0.863384	-0.920514	-0.770108	-11.855569	50	0.145865	-0.189019	-0.444011	0.094294	-1.333606	50	0.145865	-5.405974	6.445718e-08
0	7	0.892806	0.817653	0.938042	13.732213	50	0.145865	-0.233216	-0.480384	0.048270	-1.661584	50	0.145865	8.111030	5.019262e-16
0	8	0.930748	0.880516	0.960308	17.634912	50	0.145865	0.029402	-0.251005	0.305256	0.203792	50	0.145865	7.923746	2.304608e-15
0	9	-0.876969	-0.928636	-0.791933	-12.643563	50	0.145865	-0.157825	-0.417823	0.126065	-1.107325	50	0.145865	-5.833376	5.431684e-09
0	10	-0.033121	-0.308628	0.247513	-0.229596	50	0.145865	0.856929	0.759814	0.916638	11.518401	50	0.145865	-6.373744	1.844684e-10
0	11	-0.910501	-0.948473	-0.846749	-15.255243	50	0.145865	-0.176914	-0.433899	0.106692	-1.245340	50	0.145865	-6.552382	5.662646e-11
0	12	-0.693375	-0.814522	-0.514279	-6.666655	50	0.145865	-0.143906	-0.405996	0.140057	-1.007498	50	0.145865	-3.439496	0.000583
