Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
0	0	50.000000	2.000000	0.236287	9.173663	69.590935	7.337971e-50	-0.098092	-0.486094	0.629112
0	1	50.000000	2.000000	1.356700	6.640263	31.394831	1.185588e-33	0.377131	1.164774	0.249867
0	2	50.000000	2.000000	0.413610	7.687786	63.063591	7.887216e-48	-0.120017	-0.643125	0.523203
0	3	50.000000	2.000000	1.457882	9.308637	31.356497	1.253842e-33	-0.548710	-1.207428	0.233184
0	4	50.000000	2.000000	0.002538	6.000940	50.157871	3.976650e-43	0.009226	0.050377	0.960031
0	5	50.000000	2.000000	0.064005	8.138643	54.264351	9.704653e-45	-0.058085	-0.252992	0.801355
0	6	50.000000	2.000000	0.047952	6.277464	41.109524	4.503294e-39	0.051188	0.218980	0.827594
0	7	50.000000	2.000000	0.190036	4.164844	48.985180	1.211786e-42	-0.056738	-0.435931	0.664841
0	8	50.000000	2.000000	1.385719	9.583130	71.681343	1.796276e-50	-0.240914	-1.177166	0.244934
0	9	50.000000	2.000000	0.200895	4.907070	94.609657	3.230836e-56	-0.035587	-0.448214	0.656015
0	10	50.000000	2.000000	0.066319	8.332605	41.370228	3.351915e-39	-0.079403	-0.257526	0.797873
0	11	50.000000	2.000000	10.016418	2.465883	67.118797	4.093230e-49	0.177995	3.164872	0.002693
0	12	50.000000	2.000000	0.188673	7.045485	63.490803	5.725532e-48	0.073787	0.434366	0.665969
0	13	50.000000	2.000000	0.064839	7.652027	31.029953	2.024957e-33	-0.096125	-0.254635	0.800092
0	14	50.000000	2.000000	0.220312	6.610185	14.415856	4.588649e-19	0.329470	0.469374	0.640927
0	15	50.000000	2.000000	0.004116	3.645808	64.358871	3.005745e-48	0.005563	0.064153	0.949115
0	16	50.000000	2.000000	0.937706	4.687388	39.076958	4.791870e-38	0.177814	0.968353	0.337722
0	17	50.000000	2.000000	1.414725	5.504532	54.795300	6.125802e-45	-0.182909	-1.189422	0.240124
0	18	50.000000	2.000000	2.583488	11.309880	57.002094	9.468780e-46	-0.488195	-1.607322	0.114543
0	19	50.000000	2.000000	0.009076	2.745404	32.647282	1.968920e-34	-0.012264	-0.095269	0.924498
0	20	50.000000	2.000000	1.589386	4.106496	48.856815	1.371105e-42	-0.162212	-1.260709	0.213508
0	21	50.000000	2.000000	0.368424	3.486205	12.061309	3.880946e-16	0.268569	0.606979	0.546725
0	22	50.000000	2.000000	0.058307	3.782225	82.793686	1.878033e-53	0.016886	0.241469	0.810220
0	23	50.000000	2.000000	0.270307	2.710177	58.464336	2.855169e-46	-0.036894	-0.519911	0.605515
0	24	50.000000	2.000000	1.266777	4.909215	50.258701	3.617595e-43	0.168296	1.125512	0.265969
