Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
cg00050873	ABHD14B	48	5	0.478058	9.075452	50.855232	4.778276e-40	-0.036165	-0.155956	0.876798	0.035339	1.05103	0.299116	-0.337747	-0.512085	0.611212	1.511348	0.466104	0.643494
cg00050873	ABHD15	48	5	0.295298	6.649246	22.982191	8.868059e-26	0.3642	0.96874	0.338093	-0.004878	-0.089494	0.929105	-0.29033	-0.271514	0.787295	2.740731	0.521358	0.604792
cg00050873	ABHD2	48	5	0.63268	7.768404	47.645653	7.515051e-39	-0.172939	-0.816265	0.418848	-0.026581	-0.865287	0.391683	0.527731	0.875763	0.386025	-2.962795	-1.000101	0.322857
cg00050873	ABHD3	48	5	1.238373	9.613169	24.45174	7.427324e-27	-0.797095	-1.560275	0.126026	-0.089716	-1.211185	0.232439	1.25136	0.861208	0.393901	-9.355225	-1.309629	0.197276
cg00050873	ABHD4	48	5	0.048224	5.991766	36.432461	5.850088e-34	0.017288	0.080896	0.9359	0.001219	0.03934	0.968801	-0.218462	-0.359411	0.721047	1.153538	0.386026	0.701381
cg00050873	ABHD5	48	5	0.208285	8.165562	39.947014	1.246421e-35	-0.108694	-0.409216	0.684412	0.007108	0.184559	0.854443	-0.495247	-0.655546	0.515609	0.002525	0.00068	0.999461
cg00050873	ABHD6	48	5	0.212114	6.230043	29.834471	2.2836e-30	0.075523	0.278324	0.782097	0.022902	0.582113	0.563531	-0.43404	-0.562393	0.576769	1.333505	0.351457	0.726962
cg00050873	ABHD8	48	5	0.527254	4.175895	36.514244	5.328079e-34	-0.044748	-0.301115	0.764778	-0.008994	-0.417389	0.678471	-0.549864	-1.300921	0.200214	2.42943	1.169143	0.248786
cg00050873	ABI1	48	5	0.380771	9.538992	52.414474	1.330628e-40	-0.207643	-0.878037	0.384803	0.015648	0.456345	0.650438	0.348344	0.517892	0.607188	-1.325624	-0.400885	0.69049
cg00050873	ABI2	48	5	3.658341	4.944837	82.155861	6.528532e-49	-0.055378	-0.70806	0.482728	-0.010997	-0.969738	0.3376	-0.664804	-2.988567	0.004619	3.752187	3.431008	0.00134
cg00050873	ABI3	48	5	0.741408	8.640385	32.966393	3.723097e-32	-0.377187	-1.107499	0.274235	-0.064049	-1.297021	0.201541	-0.611165	-0.630928	0.531427	-2.06825	-0.434302	0.66624
cg00050873	ABI3BP	48	5	3.108718	2.477251	51.106518	3.878718e-40	0.176504	2.802264	0.007579	-0.004397	-0.481451	0.632637	0.069883	0.390085	0.698399	-0.795948	-0.903736	0.371171
cg00050873	ABL1	48	5	0.331105	7.149212	47.49852	8.563212e-39	-0.0231	-0.11811	0.90653	-0.021626	-0.762584	0.449875	0.109367	0.196604	0.845064	-2.011596	-0.735552	0.465997
cg00050873	ABL2	48	5	0.92895	7.391959	22.697319	1.456827e-25	0.127431	0.301119	0.764775	0.062573	1.019764	0.313544	-0.266562	-0.22146	0.825783	8.39774	1.41915	0.163064
cg00050873	ABLIM1	48	5	0.899052	6.079772	10.080673	6.760414e-13	0.644644	0.822564	0.415294	0.179932	1.583463	0.120644	-0.973052	-0.436537	0.664631	8.734023	0.797017	0.42982
cg00050873	ABLIM2	48	5	0.36746	3.651269	48.248913	4.417614e-39	-0.021911	-0.222824	0.824728	0.010996	0.771192	0.44481	-0.038272	-0.13684	0.891796	-0.873194	-0.635046	0.528763
cg00050873	ABLIM3	48	5	2.048536	4.540443	29.837034	2.275558e-30	0.241585	1.221729	0.228466	0.068246	2.380322	0.021801	0.288714	0.513343	0.610339	-3.488701	-1.261746	0.213842
cg00050873	ABO	48	5	0.831262	5.619403	42.646046	8.018904e-37	-0.299037	-1.746472	0.08787	-0.019452	-0.783527	0.437612	-0.202015	-0.414815	0.68034	0.289712	0.121006	0.90425
cg00050873	LRRK2	48	5	2.032235	11.489255	44.566643	1.256831e-37	-0.61311	-1.830224	0.074154	-0.071318	-1.468312	0.149297	1.416377	1.48655	0.14443	-4.474912	-0.95533	0.344751
cg00050873	LRRN1	48	5	0.8907	2.680217	24.065538	1.407163e-26	0.003326	0.022982	0.981771	0.034804	1.658667	0.104461	0.147456	0.358238	0.721918	-1.835753	-0.907174	0.369371
