Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
0	0	50.000000	2.000000	0.486098	6.755470	20.117544	4.924361e-25	-0.358398	-0.697207	0.489036
0	1	50.000000	2.000000	0.002485	6.434263	19.584944	1.556465e-24	0.025071	0.049852	0.960447
0	2	50.000000	2.000000	0.121502	5.998969	34.257618	2.143058e-35	0.093440	0.348572	0.728935
0	3	50.000000	2.000000	0.376174	7.824113	9.951997	2.964362e-13	-0.738146	-0.613331	0.542553
0	4	50.000000	2.000000	0.017231	6.297470	17.745604	1.007551e-22	0.071310	0.131265	0.896114
0	5	50.000000	2.000000	0.020808	5.871262	105.784210	1.559285e-58	0.012256	0.144250	0.885907
0	6	50.000000	2.000000	0.001148	6.421030	19.744116	1.100687e-24	-0.016870	-0.033886	0.973108
0	7	50.000000	2.000000	0.332228	6.447444	10.249272	1.124207e-13	0.555055	0.576392	0.567043
0	8	50.000000	2.000000	0.207588	6.421664	10.968810	1.125673e-14	0.408331	0.455618	0.650719
0	9	50.000000	2.000000	1.651064	9.684420	8.382648	5.851504e-11	-2.272466	-1.284937	0.204980
0	10	50.000000	2.000000	0.007587	6.966641	12.791199	4.457511e-17	0.072621	0.087102	0.930953
0	11	50.000000	2.000000	0.313500	6.007664	25.869665	7.714823e-30	0.199048	0.559911	0.578144
0	12	50.000000	2.000000	0.280815	7.062308	11.563388	1.766788e-15	-0.495444	-0.529920	0.598610
0	13	50.000000	2.000000	0.022038	6.215939	23.149019	1.083893e-27	0.061022	0.148452	0.882608
0	14	50.000000	2.000000	0.690970	5.926741	84.734436	6.221704e-54	-0.089004	-0.831246	0.409951
0	15	50.000000	2.000000	1.458639	6.221592	39.959850	1.691879e-38	-0.287855	-1.207741	0.233064
0	16	50.000000	2.000000	0.304425	6.074968	37.284203	4.254966e-37	-0.137620	-0.551748	0.583681
0	17	50.000000	2.000000	0.529608	6.017724	21.084534	6.474567e-26	0.317957	0.727742	0.470307
0	18	50.000000	2.000000	0.167457	6.047222	26.390305	3.152799e-30	0.143544	0.409215	0.684202
0	19	50.000000	2.000000	0.049992	7.885741	5.789937	5.240382e-07	0.466167	0.223588	0.824026
0	20	50.000000	2.000000	0.373759	6.296870	27.810308	2.964176e-31	-0.211903	-0.611358	0.543847
0	21	50.000000	2.000000	0.181919	6.913216	10.074337	1.986423e-13	0.448049	0.426519	0.671636
0	22	50.000000	2.000000	0.222558	7.003553	5.532035	1.289330e-06	0.914278	0.471761	0.639235
0	23	50.000000	2.000000	0.001227	6.731966	14.737539	1.926349e-19	0.024495	0.035030	0.972201
0	24	50.000000	2.000000	0.094760	7.098876	5.938313	3.114270e-07	0.563328	0.307831	0.759543
0	25	50.000000	2.000000	0.145421	6.846499	7.538645	1.103998e-09	0.530167	0.381341	0.704633
0	26	50.000000	2.000000	0.001512	7.697723	7.209992	3.506338e-09	0.063559	0.038889	0.969140
0	27	50.000000	2.000000	0.271307	7.112067	14.244406	7.324525e-19	-0.398112	-0.520871	0.604851
0	28	50.000000	2.000000	0.064196	7.311252	7.478333	1.364284e-09	0.379197	0.253370	0.801064
0	29	50.000000	2.000000	0.531643	6.818217	8.152185	1.298097e-10	0.933534	0.729139	0.469460
0	30	50.000000	2.000000	0.050811	7.027052	8.444383	4.730525e-11	0.287150	0.225414	0.822614
0	31	50.000000	2.000000	0.096872	6.160262	27.944866	2.382436e-31	0.105032	0.311243	0.756964
0	32	50.000000	2.000000	0.199093	6.637668	18.745031	1.005312e-23	-0.241869	-0.446198	0.657460
0	33	50.000000	2.000000	0.000854	7.075179	12.227955	2.353626e-16	-0.025888	-0.029228	0.976804
0	34	50.000000	2.000000	0.063164	6.965693	10.504689	4.929850e-14	0.255117	0.251325	0.802636
