Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
0	0	48.000000	5.000000	0.578984	5.418825	38.251644	7.653411e-35	0.246793	1.340679	0.187065	0.023933	0.896675	0.374885	-0.097353	-0.185942	0.853365	0.936889	0.363985	0.717653
0	1	48.000000	5.000000	0.814747	4.956989	31.767607	1.721710e-31	-0.041093	-0.202664	0.840353	0.039490	1.343223	0.186247	0.646733	1.121435	0.268327	-0.781713	-0.275717	0.784086
0	2	48.000000	5.000000	2.039231	3.595649	31.288946	3.220970e-31	-0.204113	-1.366884	0.178766	-0.026188	-1.209517	0.233072	-0.073896	-0.173988	0.862691	-4.294969	-2.056953	0.045789
0	3	48.000000	5.000000	0.839754	4.049061	26.247297	4.254263e-28	-0.092074	-0.459318	0.648319	0.008048	0.276889	0.783192	0.862278	1.512377	0.137753	-4.598037	-1.640414	0.108215
0	4	48.000000	5.000000	1.179187	7.024164	16.787342	1.703949e-20	0.762989	1.403308	0.167705	0.073847	0.936737	0.354125	-1.952099	-1.262327	0.213635	8.267757	1.087491	0.282878
0	5	48.000000	5.000000	1.206918	3.120989	28.290585	2.013036e-29	-0.244771	-1.707486	0.094944	-0.024335	-1.170782	0.248134	-0.116647	-0.286093	0.776181	-2.254868	-1.124920	0.266863
0	6	48.000000	5.000000	1.011842	3.982742	19.786034	3.216064e-23	0.363480	1.389646	0.171790	0.057058	1.504498	0.139764	0.849741	1.142209	0.259688	-1.991319	-0.544463	0.588936
0	7	48.000000	5.000000	0.711810	4.945364	45.573830	4.902265e-38	-0.033301	-0.236168	0.814424	0.008415	0.411571	0.682698	-0.252891	-0.630570	0.531659	-1.704713	-0.864608	0.392052
0	8	48.000000	5.000000	2.010611	4.256812	29.199699	5.517784e-30	0.229341	1.210660	0.232638	0.064824	2.360070	0.022879	0.908865	1.686848	0.098875	-3.672097	-1.386305	0.172800
0	9	48.000000	5.000000	1.682132	4.034499	23.758987	2.351682e-26	0.429412	1.946079	0.058199	0.054673	1.708873	0.094684	-0.289218	-0.460837	0.647238	0.190183	0.061640	0.951135
0	10	48.000000	5.000000	0.248710	5.702457	30.949871	5.046698e-31	0.135885	0.567566	0.573282	0.013311	0.383459	0.703269	-0.360600	-0.529547	0.599149	0.215959	0.064509	0.948864
0	11	48.000000	5.000000	3.410036	6.362443	61.618919	1.385901e-43	0.201917	1.504910	0.139658	0.052573	2.702423	0.009814	-0.611890	-1.603415	0.116164	0.983641	0.524297	0.602764
0	12	48.000000	5.000000	1.323411	3.180115	18.782215	2.404361e-22	-0.056056	-0.254783	0.800105	0.024516	0.768527	0.446375	1.079308	1.724772	0.091751	0.056596	0.018397	0.985407
0	13	48.000000	5.000000	1.345610	3.394101	25.786287	8.717897e-28	0.092450	0.540530	0.591621	0.026431	1.065814	0.292456	-0.844757	-1.736516	0.089633	3.271545	1.367942	0.178437
0	14	48.000000	5.000000	1.433292	1.955664	12.800383	2.909205e-16	0.146904	0.739964	0.463343	-0.008347	-0.289989	0.773218	1.148490	2.033942	0.048156	-4.313007	-1.553673	0.127592
0	15	48.000000	5.000000	0.945963	2.324844	11.040650	3.931014e-14	0.038117	0.139306	0.889859	-0.017923	-0.451754	0.653717	0.682256	0.876659	0.385543	3.210375	0.839088	0.406061
0	16	48.000000	5.000000	1.074354	3.404752	21.135149	2.442829e-24	-0.162872	-0.778064	0.440792	-0.053606	-1.766179	0.084465	-0.498569	-0.837390	0.407003	3.194440	1.091353	0.281195
0	17	48.000000	5.000000	0.660208	6.335106	34.417469	6.240377e-33	0.305047	1.275378	0.209023	0.021167	0.610347	0.544844	0.433057	0.636580	0.527773	1.992098	0.595643	0.554536
0	18	48.000000	5.000000	0.115966	5.120353	36.796501	3.864827e-34	0.007359	0.040698	0.967725	0.001847	0.070452	0.944161	-0.142662	-0.277394	0.782807	1.645430	0.650784	0.518649
0	19	48.000000	5.000000	0.457790	5.554889	24.309765	9.384398e-27	-0.274644	-0.924959	0.360149	0.028623	0.664837	0.509705	0.199013	0.235651	0.814822	-0.612742	-0.147582	0.883363
0	20	48.000000	5.000000	0.987453	4.657211	30.048628	1.702264e-30	0.273520	1.358111	0.181512	0.003784	0.129582	0.897501	0.388972	0.679046	0.500748	2.764207	0.981567	0.331804
0	21	48.000000	5.000000	2.241891	7.665346	91.226799	7.412031e-51	0.292699	2.680768	0.010373	0.017022	1.075205	0.288279	-0.220697	-0.710673	0.481124	0.692312	0.453464	0.652495
0	22	48.000000	5.000000	2.211051	3.178420	18.871559	2.003337e-22	-0.474315	-2.167259	0.035799	-0.058680	-1.849197	0.071311	-0.175823	-0.282458	0.778948	2.856386	0.933392	0.355829
0	23	48.000000	5.000000	0.763203	7.215561	84.834824	1.656447e-49	-0.004647	-0.042045	0.966658	0.003733	0.232973	0.816888	-0.025621	-0.081505	0.935418	-2.095476	-1.355931	0.182200
0	24	48.000000	5.000000	0.866916	7.759179	62.542053	7.362615e-44	0.065708	0.407591	0.685596	0.023084	0.987582	0.328882	-0.410181	-0.894572	0.375996	-0.710932	-0.315381	0.753998
0	25	48.000000	5.000000	0.375339	6.405654	49.719795	1.241788e-39	0.048056	0.287054	0.775450	-0.000308	-0.012683	0.989939	-0.473426	-0.994261	0.325658	0.362837	0.154999	0.877548
0	26	48.000000	5.000000	1.687922	5.977120	50.355843	7.254104e-40	0.207326	1.344182	0.185939	0.002206	0.098650	0.921874	-0.176481	-0.402290	0.689463	-2.544148	-1.179644	0.244627
0	27	48.000000	5.000000	0.849772	6.590289	48.005405	5.470054e-39	0.267595	1.500069	0.140904	-0.009258	-0.357925	0.722151	0.371101	0.731409	0.468497	-0.383472	-0.153734	0.878539
0	28	48.000000	5.000000	0.599367	7.718765	63.666451	3.449473e-44	-0.126779	-0.804744	0.425395	0.014341	0.627849	0.533424	0.396842	0.885652	0.380731	-0.573224	-0.260218	0.795938
0	29	48.000000	5.000000	0.635208	2.719454	16.377666	4.283668e-20	0.106074	0.491617	0.625490	-0.027170	-0.868483	0.389952	-0.667313	-1.087383	0.282925	0.982931	0.325795	0.746160
0	30	48.000000	5.000000	1.508559	8.833311	81.038315	1.172144e-48	-0.130229	-0.919435	0.362997	0.014903	0.725668	0.471974	-0.248578	-0.617038	0.540463	-2.854017	-1.441034	0.156818
0	31	48.000000	5.000000	1.356983	8.260504	62.865658	5.911183e-44	-0.159922	-0.936620	0.354185	0.020593	0.831829	0.410101	-0.499746	-1.029055	0.309208	3.461815	1.449978	0.154320
0	32	48.000000	5.000000	1.085743	6.409581	19.705219	3.769917e-23	0.344956	0.816137	0.418920	0.028393	0.463300	0.645486	-1.544536	-1.284791	0.205744	-0.505515	-0.085534	0.932234
0	33	48.000000	5.000000	0.360324	5.924201	46.277740	2.568943e-38	0.001453	0.008734	0.993072	0.019478	0.807562	0.423787	-0.326119	-0.689290	0.494344	1.007775	0.433268	0.666986
0	34	48.000000	5.000000	1.476359	8.704835	37.375816	2.014000e-34	-0.683993	-2.260108	0.028935	-0.021793	-0.496655	0.621962	-0.923835	-1.073266	0.289138	0.640072	0.151255	0.880482
0	35	48.000000	5.000000	0.533944	5.307829	23.650509	2.824218e-26	0.259913	0.891248	0.377756	-0.012800	-0.302713	0.763568	0.336148	0.405263	0.687294	3.023703	0.741504	0.462419
0	36	48.000000	5.000000	0.387975	4.159594	21.140898	2.416853e-24	0.079800	0.312122	0.756456	-0.013658	-0.368435	0.714356	-0.472336	-0.649540	0.519444	4.308574	1.205194	0.234719
0	37	48.000000	5.000000	1.027266	1.952762	12.728271	3.529646e-16	0.050302	0.252320	0.801996	-0.020172	-0.697842	0.489033	-0.242252	-0.427237	0.671338	4.998896	1.793266	0.079966
0	38	48.000000	5.000000	1.331661	1.943521	15.561869	2.826549e-19	-0.194215	-1.196747	0.237962	-0.023756	-1.009578	0.318345	0.498190	1.079321	0.286462	0.296978	0.130872	0.896487
0	39	48.000000	5.000000	0.517400	3.587775	16.500006	3.247091e-20	0.134375	0.475582	0.636779	-0.038955	-0.950874	0.346983	-0.414804	-0.516160	0.608387	-0.437430	-0.110718	0.912355
0	40	48.000000	5.000000	1.170844	4.718968	39.491032	2.016013e-35	0.304420	1.960522	0.056434	0.002130	0.094619	0.925057	-0.098409	-0.222828	0.824724	0.000171	0.000079	0.999937
0	41	48.000000	5.000000	0.407087	5.508744	42.813583	6.800510e-37	0.059740	0.357308	0.722609	0.015235	0.628467	0.533022	-0.397486	-0.835860	0.407854	0.396951	0.169792	0.865970
0	42	48.000000	5.000000	0.424088	3.344784	28.538904	1.408380e-29	0.132071	0.867210	0.390641	-0.005499	-0.249045	0.804512	0.034997	0.080795	0.935980	1.799156	0.844868	0.402861
0	43	48.000000	5.000000	0.744333	4.692342	31.073212	4.283924e-31	0.102307	0.521375	0.604781	0.003388	0.119073	0.905772	-0.632810	-1.133842	0.263143	4.544755	1.656371	0.104927
0	44	48.000000	5.000000	0.704204	2.471094	15.234724	6.143991e-19	-0.011587	-0.054975	0.956413	-0.041403	-1.354793	0.182559	-0.281196	-0.469070	0.641389	-1.266648	-0.429786	0.669498
0	45	48.000000	5.000000	1.916079	8.623448	77.877296	6.413324e-48	-0.202180	-1.405125	0.167168	-0.000374	-0.017939	0.985770	-0.644486	-1.574802	0.122632	-1.778773	-0.884100	0.381559
0	46	48.000000	5.000000	0.668349	2.938578	24.189669	1.144801e-26	-0.198287	-1.256129	0.215851	-0.017180	-0.750602	0.456980	0.144882	0.322693	0.748492	-2.378670	-1.077650	0.287199
0	47	48.000000	5.000000	0.692781	2.120528	15.100565	8.476015e-19	0.080808	0.442845	0.660098	0.008602	0.325124	0.746664	-0.763623	-1.471332	0.148482	2.266756	0.888392	0.379273
0	48	48.000000	5.000000	3.047950	5.097368	24.679676	5.114774e-27	0.153367	0.571442	0.570675	0.025658	0.659337	0.513195	-1.890413	-2.476469	0.017281	-0.616291	-0.164221	0.870326
0	49	48.000000	5.000000	0.859041	6.252640	18.498743	4.309344e-22	0.585913	1.334011	0.189223	-0.017208	-0.270215	0.788288	0.348584	0.279041	0.781551	6.438260	1.048330	0.300343
0	50	48.000000	5.000000	2.532011	3.409132	35.608784	1.516399e-33	-0.276430	-2.222008	0.031595	0.009543	0.529024	0.599509	0.677123	1.913654	0.062336	-3.139859	-1.804987	0.078082
0	51	48.000000	5.000000	1.624452	5.232014	20.774349	4.801690e-24	-0.193208	-0.590381	0.558026	-0.074075	-1.561099	0.125831	0.659691	0.708731	0.482316	-8.447893	-1.846111	0.071767
0	52	48.000000	5.000000	1.303509	2.613118	28.203022	2.284792e-29	0.187812	1.559941	0.126104	0.033857	1.939476	0.059022	0.291423	0.851027	0.399469	0.011197	0.006651	0.994724
0	53	48.000000	5.000000	1.440800	4.509742	33.886620	1.189589e-32	0.250312	1.447456	0.155021	0.020798	0.829455	0.411428	-0.616220	-1.252838	0.217035	0.395059	0.163376	0.870988
0	54	48.000000	5.000000	0.893031	7.465328	64.546135	1.923467e-44	0.020952	0.139413	0.889775	-0.030270	-1.389101	0.171954	0.333425	0.780012	0.439656	0.135594	0.064523	0.948853
