lower_interval	upper_interval	frequency	accumulative_frequency
-inf	-10.000	95	95
-10.000	-9.999	0	95
-9.999	-9.998	0	95
-9.998	-9.997	0	95
-9.997	-9.996	0	95
-9.996	-9.995	0	95
-9.995	-9.994	0	95
-9.994	-9.993	0	95
-9.993	-9.992	0	95
-9.992	-9.991	0	95
-9.991	-9.990	0	95
-9.990	-9.989	0	95
-9.989	-9.988	0	95
-9.988	-9.987	0	95
-9.987	-9.986	0	95
-9.986	-9.985	0	95
-9.985	-9.984	0	95
-9.984	-9.983	0	95
-9.983	-9.982	0	95
-9.982	-9.981	0	95
-9.981	-9.980	0	95
-9.980	-9.979	0	95
-9.979	-9.978	0	95
-9.978	-9.977	0	95
-9.977	-9.976	0	95
-9.976	-9.975	1	96
-9.975	-9.974	0	96
-9.974	-9.973	0	96
-9.973	-9.972	0	96
-9.972	-9.971	0	96
-9.971	-9.970	0	96
-9.970	-9.969	0	96
-9.969	-9.968	0	96
-9.968	-9.967	0	96
-9.967	-9.966	1	97
-9.966	-9.965	0	97
-9.965	-9.964	0	97
-9.964	-9.963	0	97
-9.963	-9.962	0	97
-9.962	-9.961	0	97
-9.961	-9.960	0	97
-9.960	-9.959	0	97
-9.959	-9.958	0	97
-9.958	-9.957	0	97
-9.957	-9.956	0	97
-9.956	-9.955	0	97
-9.955	-9.954	0	97
-9.954	-9.953	0	97
-9.953	-9.952	0	97
-9.952	-9.951	0	97
-9.951	-9.950	0	97
-9.950	-9.949	0	97
-9.949	-9.948	0	97
-9.948	-9.947	0	97
-9.947	-9.946	0	97
-9.946	-9.945	0	97
-9.945	-9.944	0	97
-9.944	-9.943	0	97
-9.943	-9.942	0	97
-9.942	-9.941	0	97
-9.941	-9.940	0	97
-9.940	-9.939	0	97
-9.939	-9.938	0	97
-9.938	-9.937	0	97
-9.937	-9.936	0	97
-9.936	-9.935	0	97
-9.935	-9.934	0	97
-9.934	-9.933	0	97
-9.933	-9.932	0	97
-9.932	-9.931	0	97
-9.931	-9.930	0	97
-9.930	-9.929	0	97
-9.929	-9.928	0	97
-9.928	-9.927	0	97
-9.927	-9.926	0	97
-9.926	-9.925	0	97
-9.925	-9.924	0	97
-9.924	-9.923	1	98
-9.923	-9.922	0	98
-9.922	-9.921	0	98
-9.921	-9.920	0	98
-9.920	-9.919	0	98
-9.919	-9.918	0	98
-9.918	-9.917	0	98
-9.917	-9.916	0	98
-9.916	-9.915	0	98
-9.915	-9.914	0	98
-9.914	-9.913	0	98
-9.913	-9.912	0	98
-9.912	-9.911	0	98
-9.911	-9.910	0	98
-9.910	-9.909	0	98
-9.909	-9.908	0	98
-9.908	-9.907	0	98
-9.907	-9.906	0	98
-9.906	-9.905	0	98
-9.905	-9.904	0	98
-9.904	-9.903	0	98
-9.903	-9.902	0	98
-9.902	-9.901	0	98
-9.901	-9.900	0	98
-9.900	-9.899	0	98
-9.899	-9.898	0	98
-9.898	-9.897	0	98
-9.897	-9.896	0	98
-9.896	-9.895	0	98
-9.895	-9.894	0	98
-9.894	-9.893	0	98
-9.893	-9.892	0	98
-9.892	-9.891	0	98
-9.891	-9.890	0	98
-9.890	-9.889	0	98
-9.889	-9.888	0	98
-9.888	-9.887	0	98
-9.887	-9.886	0	98
-9.886	-9.885	0	98
-9.885	-9.884	0	98
-9.884	-9.883	0	98
-9.883	-9.882	0	98
-9.882	-9.881	0	98
-9.881	-9.880	0	98
-9.880	-9.879	0	98
-9.879	-9.878	0	98
-9.878	-9.877	0	98
-9.877	-9.876	0	98
-9.876	-9.875	0	98
-9.875	-9.874	0	98
-9.874	-9.873	0	98
