Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
cg00050873	hsa-miR-1	48	5	0.840748	6.504726	14.513985	3.543056e-18	-0.201842	-0.34659	0.730589	0.097144	1.150466	0.25631	-1.659868	-1.002106	0.321898	5.599549	0.68764	0.495372
cg00050873	hsa-miR-100	48	5	0.514257	6.346944	14.331351	5.57491e-18	0.033768	0.058678	0.95348	0.063524	0.761302	0.450632	-1.575223	-0.962381	0.341239	1.541256	0.191535	0.849008
cg00050873	hsa-miR-100*	48	5	0.430775	6.014925	25.509127	1.34931e-27	0.067279	0.219581	0.827236	0.016329	0.367548	0.715013	-0.944042	-1.083276	0.284723	1.423456	0.332246	0.741318
cg00050873	hsa-miR-101	48	5	0.841203	7.600661	7.345007	4.087387e-09	-0.73066	-0.54338	0.589674	0.151033	0.774658	0.442781	-4.913616	-1.284768	0.205751	5.295161	0.281625	0.779582
cg00050873	hsa-miR-101*	48	5	0.820131	6.581133	14.033981	1.175852e-17	-0.090678	-0.148809	0.8824	-0.111045	-1.256828	0.2156	1.764791	1.018254	0.314252	-4.196348	-0.492496	0.624874
cg00050873	hsa-miR-103	48	5	1.302143	5.862732	82.00811	7.050537e-49	0.011942	0.128548	0.898315	0.008038	0.596797	0.553772	-0.530927	-2.009438	0.050793	1.120665	0.862747	0.393063
cg00050873	hsa-miR-103-2*	48	5	0.015689	6.474789	14.43363	4.323022e-18	-0.045215	-0.077567	0.938532	-0.01923	-0.227522	0.821096	-0.012876	-0.007766	0.99384	0.579613	0.071111	0.943639
cg00050873	hsa-miR-103-as	48	5	0.190148	6.82854	7.972408	5.187219e-10	0.323698	0.290837	0.772574	-0.113068	-0.700645	0.487299	-0.111203	-0.035128	0.97214	-0.25745	-0.016543	0.986878
cg00050873	hsa-miR-105	48	5	0.44374	6.630514	8.373603	1.410909e-10	0.154835	0.150481	0.881089	0.023941	0.160477	0.873257	-2.709337	-0.925787	0.359724	-2.144013	-0.14902	0.882235
cg00050873	hsa-miR-105*	48	5	0.888314	8.372165	5.604772	1.369761e-06	-1.304608	-0.672122	0.505102	0.303817	1.07952	0.286374	-1.859596	-0.336838	0.737877	23.077833	0.850288	0.399875
cg00050873	hsa-miR-106a*	48	5	0.039591	6.87708	9.229896	9.274746e-12	0.118981	0.122891	0.902766	0.01092	0.077792	0.938355	0.960202	0.348689	0.729025	-4.149922	-0.306537	0.760675
cg00050873	hsa-miR-106b	48	5	0.237936	6.123621	19.285965	8.670125e-23	0.127163	0.308207	0.759413	-0.03885	-0.649418	0.519522	0.375101	0.319642	0.750788	-1.936066	-0.335586	0.738815
cg00050873	hsa-miR-106b*	48	5	0.243811	7.420946	8.878002	2.810648e-11	-0.81803	-0.753135	0.455472	-0.05507	-0.34968	0.728286	-1.876727	-0.607491	0.54672	-1.455635	-0.095843	0.924091
cg00050873	hsa-miR-107	48	5	0.286315	6.145806	17.407074	4.359186e-21	0.050668	0.11044	0.912574	0.032388	0.486883	0.628814	0.184795	0.141619	0.888043	-5.368062	-0.836787	0.407339
cg00050873	hsa-miR-10a	48	5	0.949015	5.876698	67.199638	3.458995e-45	-0.057593	-0.506813	0.614875	0.015354	0.93186	0.356612	-0.435017	-1.34593	0.185379	1.010281	0.635809	0.528271
cg00050873	hsa-miR-10a*	48	5	1.612349	6.039106	29.737371	2.610634e-30	-0.147824	-0.560174	0.578267	0.056093	1.466003	0.149923	-0.564556	-0.752176	0.456043	5.367164	1.454539	0.153058
