sample	v1	v2	v3
GSM1855317	1.829653	-999	-0.019544
GSM1855318	0.190894	0.031178	-0.004121
GSM1855319	-999	0.02402	0.0583
GSM1855320	6.491305	-0.017471	-0.002169
GSM1855321	1.371314	-0.017	-0.000751
GSM1855322	1.327916	-0.015078	0.007837
GSM2195410	2.522794	0.043749	0.002557
GSM2195411	1.425947	0.074774	0.049966
GSM2195412	1.683435	-0.04975	-0.008904
GSM2195413	5.719481	0.017145	0.021748
GSM2195414	1.75545	0.239213	0.062568
GSM2195415	0.453106	0.103952	-0.019427
GSM2226784	1.581973	0.241016	0.02687
GSM2226785	0.0096178	-0.033248	-0.000503
GSM2226786	2.226607	0.074913	0.011677
GSM2226787	1.185999	-0.118231	-0.021249
GSM2226788	1.340971	0.011117	-0.018543
GSM2226789	1.52832	0.049502	0.015742
GSM2226790	3.425775	-0.121233	0.010516
GSM2226791	1.057379	0.027693	0.010641
GSM2226792	4.376531	-0.042857	-0.012402
GSM2226793	0.112474	-0.007325	-0.002745
GSM2477389	0.101289	0.039827	0.006705
GSM2477390	3.836454	-0.036384	-0.006809
GSM2477391	0.632172	0.063797	0.027376
GSM2477392	3.215749	0.011946	-0.015228
GSM2477393	0.09321	0.096499	-0.017648
GSM2477394	2.332883	-0.014194	-0.004845
GSM2700243	1.574197	0.072013	-0.024557
GSM2700244	2.379778	-0.053042	-0.006918
GSM2700245	1.151998	0.025045	0.026169
GSM2700240	0.387638	0.042343	-0.006132
GSM2700241	1.945793	-0.044378	-0.023211
GSM2700242	0.338673	0.040804	0.012746
GSM2774691	0.479169	0.029218	0.012731
GSM2774692	0.107649	-0.081761	-0.030766
GSM2774693	2.084992	0.351173	0.039977
GSM2774694	0.890058	-0.062584	-0.003923
GSM2774695	1.35874	0.012191	0.004946
GSM2774696	1.31163	0.029893	0.00396
GSM3685851	4.639374	-0.009015	0.004371
GSM3685852	3.731007	-0.099478	-0.001975
GSM3685853	0.511773	0.005484	0.006905
GSM3685848	0.617686	-0.061574	0.003524
GSM3685849	2.666766	0.061884	0.006117
GSM3685850	2.562362	0.001269	0.003524
GSM3936838	2.234409	0.197593	0.007863
GSM3936839	1.382657	0.030567	0.004137
GSM3936840	0.316838	0.052333	-0.002825
GSM3936841	0.677487	0.001321	0.007855
