##The total sample size is 50.
Marker1	Marker2	Correlation	Lower	Upper	t-statistic	Valid-num
0	1	0.540393	0.308435	0.711693	4.449605	50
0	2	-0.270238	-0.510211	0.008775	-1.944612	50
0	3	-0.416111	-0.622377	-0.155805	-3.170415	50
0	4	0.090035	-0.193158	0.359381	0.626328	50
0	5	-0.274161	-0.513339	0.004538	-1.975125	50
0	6	0.162901	-0.120935	0.422113	1.143892	50
0	7	0.212063	-0.070448	0.463081	1.503409	50
0	8	-0.636148	-0.776927	-0.434784	-5.712218	50
0	9	0.199212	-0.083786	0.452475	1.408413	50
0	10	0.187007	-0.096362	0.442334	1.318887	50
0	11	-0.139106	-0.401897	0.144855	-0.973220	50
0	12	0.386282	0.120933	0.600109	2.901449	50
0	13	-0.122659	-0.387772	0.161197	-0.856272	50
0	14	0.411350	0.150195	0.618845	3.126700	50
0	15	0.085991	-0.197079	0.355826	0.597975	50
0	16	0.300986	0.024703	0.534553	2.186689	50
0	17	-0.213986	-0.464661	0.068444	-1.517690	50
0	18	-0.557069	-0.723270	-0.329866	-4.647373	50
0	19	-0.026109	-0.302264	0.254091	-0.180947	50
0	20	-0.523897	-0.700148	-0.287465	-4.261262	50
0	21	0.513679	0.274588	0.692951	4.147958	50
0	22	-0.174736	-0.432074	0.108914	-1.229524	50
0	23	-0.067040	-0.339066	0.215331	-0.465516	50
0	24	0.094234	-0.189078	0.363063	0.655789	50
0	25	-0.418434	-0.624097	-0.158548	-3.191859	50
0	26	-0.135997	-0.399236	0.147957	-0.951049	50
0	27	0.231747	-0.049819	0.479189	1.650526	50
0	28	-0.175848	-0.433006	0.107780	-1.237597	50
0	29	-0.268161	-0.508554	0.011014	-1.928508	50
0	30	0.203580	-0.079264	0.456087	1.440611	50
0	31	0.122534	-0.161321	0.387664	0.855387	50
0	32	-0.114586	-0.380793	0.169162	-0.799140	50
0	33	0.284598	0.006782	0.521628	2.056804	50
0	34	0.171536	-0.112173	0.429386	1.206315	50
0	35	0.349847	0.079208	0.572454	2.587313	50
0	36	0.054480	-0.227320	0.327860	0.378007	50
0	37	-0.202055	-0.454827	0.080844	-1.429361	50
0	38	-0.347487	-0.570645	-0.076537	-2.567452	50
0	39	0.283924	0.006049	0.521094	2.051509	50
0	40	0.230314	-0.051329	0.478021	1.639743	50
0	41	0.380338	0.114061	0.595632	2.849182	50
0	42	0.588043	0.370303	0.744529	5.037008	50
0	43	-0.237930	-0.484214	0.043289	-1.697168	50
0	44	-0.418940	-0.624471	-0.159145	-3.196535	50
0	45	0.350252	0.079666	0.572764	2.590723	50
0	46	0.359800	0.090512	0.580059	2.671693	50
0	47	0.136648	-0.147308	0.399794	0.955690	50
0	48	0.370588	0.102844	0.588259	2.764339	50
0	49	0.523139	0.286507	0.699616	4.252775	50
0	50	0.073299	-0.209325	0.344620	0.509197	50
0	51	0.429948	0.172204	0.632593	3.299276	50
0	52	-0.114115	-0.380385	0.169625	-0.795814	50
0	53	0.542237	0.310794	0.712978	4.471098	50
0	54	0.153029	-0.130899	0.413757	1.072854	50
0	55	-0.161748	-0.421139	0.122102	-1.135575	50
0	56	0.168166	-0.115598	0.426552	1.181920	50
0	57	0.141111	-0.142852	0.403611	0.987530	50
0	58	0.081017	-0.201888	0.351444	0.563154	50
0	59	0.213544	-0.068905	0.464298	1.514407	50
0	60	0.027672	-0.252626	0.303686	0.191794	50
0	61	-0.324098	-0.552599	-0.050282	-2.373535	50
