Marker1	Marker2	Correlation	Lower	Upper	t-statistic
ABHD14B	ABHD15	0.540393	0.308435	0.711693	4.449605
ABHD14B	ABHD2	-0.270238	-0.510211	0.008775	-1.944612
ABHD14B	ABHD3	-0.416111	-0.622377	-0.155805	-3.170415
ABHD14B	ABHD4	0.090035	-0.193158	0.359381	0.626328
ABHD14B	ABHD5	-0.274161	-0.513339	0.004538	-1.975125
ABHD14B	ABHD6	0.162901	-0.120935	0.422113	1.143892
ABHD14B	ABHD8	0.212063	-0.070448	0.463081	1.503409
ABHD14B	ABI1	-0.636148	-0.776927	-0.434784	-5.712218
ABHD14B	ABI2	0.199212	-0.083786	0.452475	1.408413
ABHD14B	ABI3	0.187007	-0.096362	0.442334	1.318887
ABHD14B	ABI3BP	-0.139106	-0.401897	0.144855	-0.973220
ABHD14B	ABL1	0.386282	0.120933	0.600109	2.901449
ABHD14B	ABL2	-0.122659	-0.387772	0.161197	-0.856272
ABHD14B	ABLIM1	0.411350	0.150195	0.618845	3.126700
ABHD14B	ABLIM2	0.085991	-0.197079	0.355826	0.597975
ABHD14B	ABLIM3	0.300986	0.024703	0.534553	2.186689
ABHD14B	ABO	-0.213986	-0.464661	0.068444	-1.517690
ABHD14B	LRRK2	-0.557069	-0.723270	-0.329866	-4.647373
ABHD14B	LRRN1	-0.026109	-0.302264	0.254091	-0.180947
ABHD14B	LRRN2	-0.523897	-0.700148	-0.287465	-4.261262
ABHD14B	LRRN3	0.513679	0.274588	0.692951	4.147958
ABHD14B	LRRN4	-0.174736	-0.432074	0.108914	-1.229524
ABHD14B	LRRN4CL	-0.067040	-0.339066	0.215331	-0.465516
ABHD14B	LRRTM1	0.094234	-0.189078	0.363063	0.655789
ABHD14B	LRRTM2	-0.418434	-0.624097	-0.158548	-3.191859
ABHD14B	LRRTM4	-0.135997	-0.399236	0.147957	-0.951049
ABHD14B	LRSAM1	0.231747	-0.049819	0.479189	1.650526
ABHD14B	LRTM1	-0.175848	-0.433006	0.107780	-1.237597
ABHD14B	LRTM2	-0.268161	-0.508554	0.011014	-1.928508
ABHD14B	LRTOMT	0.203580	-0.079264	0.456087	1.440611
ABHD14B	LRWD1	0.122534	-0.161321	0.387664	0.855387
ABHD14B	LSAMP	-0.114586	-0.380793	0.169162	-0.799140
ABHD14B	LSG1	0.284598	0.006782	0.521628	2.056804
ABHD14B	LSM1	0.171536	-0.112173	0.429386	1.206315
ABHD14B	LSM10	0.349847	0.079208	0.572454	2.587313
ABHD14B	LSM11	0.054480	-0.227320	0.327860	0.378007
ABHD14B	LSM12	-0.202055	-0.454827	0.080844	-1.429361
ABHD14B	LSM14A	-0.347487	-0.570645	-0.076537	-2.567452
ABHD14B	LSM14B	0.283924	0.006049	0.521094	2.051509
ABHD14B	LSM2	0.230314	-0.051329	0.478021	1.639743
ABHD14B	LSM3	0.380338	0.114061	0.595632	2.849182
ABHD14B	LSM4	0.588043	0.370303	0.744529	5.037008
ABHD14B	LSM5	-0.237930	-0.484214	0.043289	-1.697168
ABHD14B	LSM6	-0.418940	-0.624471	-0.159145	-3.196535
ABHD14B	LSM7	0.350252	0.079666	0.572764	2.590723
ABHD14B	LSMD1	0.359800	0.090512	0.580059	2.671693
ABHD14B	LSP1	0.136648	-0.147308	0.399794	0.955690
ABHD14B	LSR	0.370588	0.102844	0.588259	2.764339
ABHD14B	LSS	0.523139	0.286507	0.699616	4.252775
ABHD14B	LST1	0.073299	-0.209325	0.344620	0.509197
ABHD14B	LTA	0.429948	0.172204	0.632593	3.299276
ABHD14B	LTA4H	-0.114115	-0.380385	0.169625	-0.795814
ABHD14B	LTB	0.542237	0.310794	0.712978	4.471098
ABHD14B	LTB4R	0.153029	-0.130899	0.413757	1.072854
ABHD14B	LTB4R2	-0.161748	-0.421139	0.122102	-1.135575
ABHD14B	LTBP1	0.168166	-0.115598	0.426552	1.181920
ABHD14B	LTBP2	0.141111	-0.142852	0.403611	0.987530
ABHD14B	LTBP3	0.081017	-0.201888	0.351444	0.563154
ABHD14B	LTBP4	0.213544	-0.068905	0.464298	1.514407
ABHD14B	LTBR	0.027672	-0.252626	0.303686	0.191794
ABHD14B	LTC4S	-0.324098	-0.552599	-0.050282	-2.373535
ABHD14B	LTF	0.037613	-0.243287	0.312692	0.260773
ABHD14B	LTK	0.049118	-0.232412	0.323053	0.340709
ABHD14B	LTV1	0.222731	-0.059298	0.471831	1.582887
ABHD14B	LUC7L	0.533287	0.299374	0.706731	4.367623
ABHD14B	LUC7L2	0.062181	-0.219979	0.334740	0.431641
ABHD14B	LUC7L3	-0.166660	-0.425284	0.117126	-1.171032
ABHD14B	LUM	-0.074311	-0.345516	0.208352	-0.516266
ABHD14B	LUZP1	0.118916	-0.164894	0.384540	0.829765
ABHD14B	LUZP2	-0.054593	-0.327962	0.227212	-0.378799
ABHD14B	LUZP3P	-0.470689	-0.662272	-0.221335	-3.696055
ABHD14B	LUZP4	0.060972	-0.221134	0.333661	0.423211
ABHD14B	LXN	0.290101	0.012780	0.525980	2.100195
ABHD14B	PBX1	0.094400	-0.188916	0.363209	0.656959
ABHD14B	PBX2	-0.133707	-0.397274	0.150237	-0.934742
ABHD14B	PBX3	-0.077713	-0.348526	0.205076	-0.540045
ABHD14B	PBX4	0.583778	0.364685	0.741620	4.981481
ABHD14B	PBXIP1	0.263375	-0.016163	0.504725	1.891496
ABHD14B	PC	-0.124035	-0.388958	0.159836	-0.866026
ABHD14B	PCA3	-0.026337	-0.302472	0.253877	-0.182529
ABHD14B	PCBD1	0.346826	0.075790	0.570137	2.561897
ABHD14B	PCBD2	0.126582	-0.157314	0.391152	0.884094
ABHD14B	PCBP1	0.273958	-0.004757	0.513177	1.973542
ABHD14B	PCBP2	-0.358597	-0.579142	-0.089142	-2.661439
ABHD14B	PCBP3	-0.259058	-0.501265	0.020794	-1.858247
ABHD14B	PCBP4	0.618263	0.410566	0.764968	5.449876
ABHD14B	PCCA	0.112121	-0.171586	0.378656	0.781728
ABHD14B	PCCB	0.188921	-0.094396	0.443929	1.332883
ABHD14B	PCDH1	-0.119974	-0.385455	0.163850	-0.837255
ABHD14B	PCDH10	-0.055995	-0.329216	0.225879	-0.388551
ABHD15	ABHD2	-0.682228	-0.807278	-0.498550	-6.464719
ABHD15	ABHD3	-0.122632	-0.387749	0.161224	-0.856080
ABHD15	ABHD4	0.416444	0.156198	0.622623	3.173487
ABHD15	ABHD5	-0.066576	-0.338653	0.215775	-0.462280
ABHD15	ABHD6	0.027934	-0.252381	0.303923	0.193606
ABHD15	ABHD8	0.166789	-0.116995	0.425392	1.171965
ABHD15	ABI1	-0.719551	-0.831386	-0.551697	-7.178730
ABHD15	ABI2	0.243936	-0.036924	0.489080	1.742679
ABHD15	ABI3	0.480426	0.233267	0.669277	3.795156
ABHD15	ABI3BP	-0.168565	-0.426888	0.115192	-1.184809
ABHD15	ABL1	0.109126	-0.174528	0.376056	0.760592
ABHD15	ABL2	-0.522147	-0.698918	-0.285254	-4.241683
ABHD15	ABLIM1	0.247789	-0.032828	0.492194	1.771993
ABHD15	ABLIM2	0.217252	-0.065033	0.467343	1.541997
ABHD15	ABLIM3	0.305713	0.029906	0.538262	2.224547
ABHD15	ABO	-0.222548	-0.471681	0.059490	-1.581519
ABHD15	LRRK2	-0.178578	-0.435293	0.104994	-1.257437
ABHD15	LRRN1	-0.285162	-0.522074	-0.007396	-2.061242
ABHD15	LRRN2	-0.267188	-0.507776	0.012062	-1.920970
ABHD15	LRRN3	0.433528	0.176471	0.635225	3.333076
ABHD15	LRRN4	-0.064472	-0.336780	0.217789	-0.447603
ABHD15	LRRN4CL	0.087440	-0.195675	0.357101	0.608131
ABHD15	LRRTM1	0.084958	-0.198079	0.354917	0.590741
ABHD15	LRRTM2	-0.412758	-0.619890	-0.151852	-3.139596
ABHD15	LRRTM4	0.046477	-0.234914	0.320681	0.322353
ABHD15	LRSAM1	0.395995	0.132216	0.607396	2.987774
ABHD15	LRTM1	-0.156004	-0.416280	0.127903	-1.094224
ABHD15	LRTM2	-0.261438	-0.503173	0.018243	-1.876558
ABHD15	LRTOMT	0.325692	0.052059	0.553835	2.386585
ABHD15	LRWD1	0.191612	-0.091628	0.446168	1.352590
ABHD15	LSAMP	-0.075458	-0.346532	0.207247	-0.524284
ABHD15	LSG1	-0.052328	-0.325933	0.229366	-0.363035
ABHD15	LSM1	0.272844	-0.005961	0.512290	1.964871
ABHD15	LSM10	0.641497	0.442084	0.780484	5.793599
ABHD15	LSM11	0.242044	-0.038932	0.487548	1.728318
ABHD15	LSM12	-0.439487	-0.639597	-0.183594	-3.389772
ABHD15	LSM14A	-0.240975	-0.486683	0.040065	-1.720215
ABHD15	LSM14B	0.107722	-0.175905	0.374835	0.750687
ABHD15	LSM2	0.402354	0.139641	0.612148	3.044936
ABHD15	LSM3	0.307476	0.031849	0.539642	2.238708
ABHD15	LSM4	0.424741	0.166016	0.628757	3.250464
ABHD15	LSM5	-0.521937	-0.698770	-0.284988	-4.239335
ABHD15	LSM6	-0.342919	-0.567137	-0.071380	-2.529172
ABHD15	LSM7	0.294363	0.017440	0.529343	2.133957
ABHD15	LSMD1	0.487844	0.242409	0.674592	3.871880
ABHD15	LSP1	-0.172117	-0.429875	0.111581	-1.210529
ABHD15	LSR	0.187617	-0.095735	0.442843	1.323349
ABHD15	LSS	0.511289	0.271588	0.691262	4.121798
ABHD15	LST1	0.192344	-0.090874	0.446776	1.357953
ABHD15	LTA	0.351649	0.081249	0.573833	2.602510
ABHD15	LTA4H	0.097717	-0.185686	0.366112	0.680262
ABHD15	LTB	0.514834	0.276039	0.693766	4.160635
ABHD15	LTB4R	0.517151	0.278954	0.695400	4.186177
ABHD15	LTB4R2	-0.220131	-0.469703	0.062022	-1.563463
ABHD15	LTBP1	0.051906	-0.229766	0.325555	0.360101
ABHD15	LTBP2	0.151064	-0.132876	0.412088	1.058749
ABHD15	LTBP3	0.236582	-0.044715	0.483119	1.686977
ABHD15	LTBP4	-0.024582	-0.300876	0.255519	-0.170359
ABHD15	LTBR	0.235838	-0.045501	0.482515	1.681362
ABHD15	LTC4S	-0.372513	-0.589718	-0.105053	-2.781002
ABHD15	LTF	0.214360	-0.068053	0.464969	1.520474
ABHD15	LTK	0.154289	-0.129630	0.414826	1.081903
ABHD15	LTV1	0.400539	0.137519	0.610794	3.028573
ABHD15	LUC7L	0.413248	0.152429	0.620253	3.144086
ABHD15	LUC7L2	-0.162098	-0.421435	0.121748	-1.138101
ABHD15	LUC7L3	-0.054186	-0.327597	0.227599	-0.375964
ABHD15	LUM	-0.015641	-0.292719	0.263861	-0.108376
ABHD15	LUZP1	-0.274273	-0.513428	0.004417	-1.975993
ABHD15	LUZP2	-0.370925	-0.588514	-0.103230	-2.767248
ABHD15	LUZP3P	-0.316302	-0.546536	-0.041613	-2.310002
ABHD15	LUZP4	0.134044	-0.149902	0.397563	0.937138
ABHD15	LXN	0.698427	0.521448	0.817793	6.761168
ABHD15	PBX1	0.119124	-0.164689	0.384720	0.831237
ABHD15	PBX2	-0.360243	-0.580396	-0.091017	-2.675471
ABHD15	PBX3	0.351518	0.081101	0.573733	2.601409
ABHD15	PBX4	0.397979	0.134529	0.608881	3.005553
ABHD15	PBXIP1	0.532759	0.298702	0.706362	4.361581
ABHD15	PC	-0.143841	-0.405940	0.140122	-1.007030
ABHD15	PCA3	-0.035399	-0.310691	0.245371	-0.245408
ABHD15	PCBD1	0.155714	-0.128195	0.416034	1.092141
ABHD15	PCBD2	0.424392	0.165602	0.628499	3.247203
ABHD15	PCBP1	0.076636	-0.206113	0.347574	0.532515
ABHD15	PCBP2	-0.579599	-0.738764	-0.359196	-4.927681
ABHD15	PCBP3	-0.150564	-0.411664	0.133378	-1.055169
ABHD15	PCBP4	0.439150	0.183190	0.639349	3.386543
ABHD15	PCCA	0.159994	-0.123876	0.419657	1.122933
ABHD15	PCCB	0.298417	0.021882	0.532534	2.166193
ABHD15	PCDH1	-0.055182	-0.328489	0.226652	-0.382895
ABHD15	PCDH10	0.093412	-0.189878	0.362343	0.650019
ABHD2	ABHD3	-0.163247	-0.422405	0.120585	-1.146384
ABHD2	ABHD4	-0.329201	-0.556554	-0.055978	-2.415404
ABHD2	ABHD5	0.094330	-0.188984	0.363148	0.656467
ABHD2	ABHD6	0.071821	-0.210745	0.343310	0.498880
ABHD2	ABHD8	-0.119086	-0.384687	0.164727	-0.830964
ABHD2	ABI1	0.335298	0.062807	0.561267	2.465746
ABHD2	ABI2	-0.319951	-0.549377	-0.045666	-2.339675
ABHD2	ABI3	-0.259815	-0.501872	0.019982	-1.864069
