##The total sample size is 50.
Marker1	Marker2	Correlation	Lower	Upper	t-statistic	Valid-num
0	1	0.536903	0.303979	0.709258	4.409172	50
0	2	-0.122977	-0.388047	0.160883	-0.858528	50
0	3	-0.350300	-0.572801	-0.079721	-2.591131	50
0	4	0.216230	-0.066101	0.466505	1.534389	50
0	5	-0.081489	-0.351860	0.201433	-0.566453	50
0	6	0.157839	-0.126051	0.417834	1.107423	50
0	7	0.138343	-0.145617	0.401245	0.967777	50
0	8	-0.540648	-0.711871	-0.308762	-4.452572	50
0	9	0.157167	-0.126730	0.417265	1.102587	50
0	10	0.248115	-0.032481	0.492457	1.774480	50
0	11	-0.190641	-0.445360	0.092627	-1.345475	50
0	12	0.494646	0.250829	0.679448	3.943192	50
0	13	-0.145258	-0.407148	0.138703	-1.017166	50
0	14	0.229196	-0.052507	0.477110	1.631340	50
0	15	-0.099256	-0.367456	0.184186	-0.691076	50
0	16	-0.051621	-0.325299	0.230037	-0.358116	50
0	17	-0.208932	-0.460503	0.073708	-1.480188	50
0	18	-0.351357	-0.573609	-0.080918	-2.600044	50
0	19	-0.110300	-0.377076	0.173376	-0.768873	50
0	20	-0.432701	-0.634618	-0.175485	-3.325254	50
0	21	0.130852	-0.153076	0.394824	0.914434	50
0	22	-0.195870	-0.449705	0.087239	-1.383835	50
0	23	-0.061513	-0.334144	0.220617	-0.426980	50
0	24	0.001297	-0.277156	0.279548	0.008983	50
0	25	-0.380552	-0.595794	-0.114308	-2.851058	50
0	26	-0.037695	-0.312766	0.243209	-0.261345	50
0	27	0.234286	-0.047141	0.481254	1.669649	50
0	28	-0.210948	-0.462164	0.071609	-1.495138	50
0	29	-0.283938	-0.521105	-0.006064	-2.051616	50
0	30	0.243025	-0.037891	0.488343	1.735766	50
0	31	0.009460	-0.269603	0.287056	0.065542	50
0	32	-0.037311	-0.312419	0.243571	-0.258678	50
0	33	0.264922	-0.014500	0.505964	1.903443	50
0	34	0.237839	-0.043386	0.484140	1.696479	50
0	35	0.382953	0.117081	0.597604	2.872126	50
