Marker1	Marker2	Correlation	Lower	Upper	t-statistic
ABHD14B	ABHD15	0.536903	0.303979	0.709258	4.409172
ABHD14B	ABHD2	-0.122977	-0.388047	0.160883	-0.858528
ABHD14B	ABHD3	-0.350300	-0.572801	-0.079721	-2.591131
ABHD14B	ABHD4	0.216230	-0.066101	0.466505	1.534389
ABHD14B	ABHD5	-0.081489	-0.351860	0.201433	-0.566453
ABHD14B	ABHD6	0.157839	-0.126051	0.417834	1.107423
ABHD14B	ABHD8	0.138343	-0.145617	0.401245	0.967777
ABHD14B	ABI1	-0.540648	-0.711871	-0.308762	-4.452572
ABHD14B	ABI2	0.157167	-0.126730	0.417265	1.102587
ABHD14B	ABI3	0.248115	-0.032481	0.492457	1.774480
ABHD14B	ABI3BP	-0.190641	-0.445360	0.092627	-1.345475
ABHD14B	ABL1	0.494646	0.250829	0.679448	3.943192
ABHD14B	ABL2	-0.145258	-0.407148	0.138703	-1.017166
ABHD14B	ABLIM1	0.229196	-0.052507	0.477110	1.631340
ABHD14B	ABLIM2	-0.099256	-0.367456	0.184186	-0.691076
ABHD14B	ABLIM3	-0.051621	-0.325299	0.230037	-0.358116
ABHD14B	ABO	-0.208932	-0.460503	0.073708	-1.480188
ABHD14B	LRRK2	-0.351357	-0.573609	-0.080918	-2.600044
ABHD14B	LRRN1	-0.110300	-0.377076	0.173376	-0.768873
ABHD14B	LRRN2	-0.432701	-0.634618	-0.175485	-3.325254
ABHD14B	LRRN3	0.130852	-0.153076	0.394824	0.914434
ABHD14B	LRRN4	-0.195870	-0.449705	0.087239	-1.383835
ABHD14B	LRRN4CL	-0.061513	-0.334144	0.220617	-0.426980
ABHD14B	LRRTM1	0.001297	-0.277156	0.279548	0.008983
ABHD14B	LRRTM2	-0.380552	-0.595794	-0.114308	-2.851058
ABHD14B	LRRTM4	-0.037695	-0.312766	0.243209	-0.261345
ABHD14B	LRSAM1	0.234286	-0.047141	0.481254	1.669649
ABHD14B	LRTM1	-0.210948	-0.462164	0.071609	-1.495138
ABHD14B	LRTM2	-0.283938	-0.521105	-0.006064	-2.051616
ABHD14B	LRTOMT	0.243025	-0.037891	0.488343	1.735766
ABHD14B	LRWD1	0.009460	-0.269603	0.287056	0.065542
ABHD14B	LSAMP	-0.037311	-0.312419	0.243571	-0.258678
ABHD14B	LSG1	0.264922	-0.014500	0.505964	1.903443
ABHD14B	LSM1	0.237839	-0.043386	0.484140	1.696479
ABHD14B	LSM10	0.382953	0.117081	0.597604	2.872126
ABHD14B	LSM11	0.088788	-0.194369	0.358285	0.617577
ABHD14B	LSM12	-0.110300	-0.377076	0.173376	-0.768873
ABHD14B	LSM14A	-0.278655	-0.516914	-0.000328	-2.010204
ABHD14B	LSM14B	0.311885	0.036720	0.543090	2.274240
ABHD14B	LSM2	0.234382	-0.047040	0.481332	1.670373
