##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	1	-0.019610	-0.411558	0.378460	-0.094064	25	0.213201	0.628373	0.310274	0.819927	3.873918	25	0.213201	-2.515112	0.011899
0	2	-0.112131	-0.485746	0.296127	-0.541175	25	0.213201	-0.464021	-0.726038	-0.084349	-2.512198	25	0.213201	1.292883	0.196052
0	3	-0.312011	-0.629535	0.094815	-1.574980	25	0.213201	0.252333	-0.158620	0.588766	1.250615	25	0.213201	-1.925881	0.054119
0	4	-0.134655	-0.503027	0.275121	-0.651716	25	0.213201	-0.346656	-0.652426	0.056176	-1.772409	25	0.213201	0.750091	0.453200
0	5	-0.478036	-0.734444	-0.102203	-2.610124	25	0.213201	0.074436	-0.330420	0.456157	0.357975	25	0.213201	-1.973420	0.048448
0	6	-0.317040	-0.632892	0.089282	-1.603175	25	0.213201	-0.253373	-0.589492	0.157537	-1.256121	25	0.213201	-0.229973	0.818112
0	7	-0.274656	-0.604219	0.135149	-1.369886	25	0.213201	-0.107275	-0.481982	0.300604	-0.517459	25	0.213201	-0.577767	0.563422
0	8	0.024193	-0.374524	0.415360	0.116061	25	0.213201	0.275808	-0.133924	0.605010	1.376106	25	0.213201	-0.858812	0.390444
0	9	-0.106015	-0.481003	0.301764	-0.511310	25	0.213201	0.951946	0.892536	0.978879	14.906599	25	0.213201	-6.495759	8.261555e-11
0	10	-0.409723	-0.692712	-0.017403	-2.154066	25	0.213201	0.755006	0.512874	0.885863	5.522004	25	0.213201	-4.708857	2.491103e-06
0	11	0.109082	-0.298941	0.483384	0.526277	25	0.213201	-0.113707	-0.486965	0.294670	-0.548880	25	0.213201	0.741990	0.458094
0	12	-0.289224	-0.614172	0.119579	-1.448997	25	0.213201	-0.672184	-0.843329	-0.377244	-4.354062	25	0.213201	1.714685	0.086403
0	13	0.003022	-0.392584	0.397684	0.014492	25	0.213201	0.000618	-0.394616	0.395659	0.002962	25	0.213201	0.007973	0.993638
0	14	-0.266767	-0.598786	0.143496	-1.327475	25	0.213201	0.551848	0.200412	0.777457	3.173559	25	0.213201	-2.966438	0.003013
0	15	-0.072861	-0.454902	0.331830	-0.350360	25	0.213201	0.843642	0.672777	0.929070	7.535689	25	0.213201	-4.333713	0.000015
0	16	-0.248734	-0.586252	0.162361	-1.231590	25	0.213201	0.611983	0.286007	0.811005	3.711059	25	0.213201	-3.204351	0.001354
0	17	0.459653	0.078835	0.723402	2.482181	25	0.213201	0.030433	-0.369143	0.420514	0.146020	25	0.213201	1.546971	0.121870
0	18	-0.052972	-0.438922	0.349481	-0.254401	25	0.213201	0.129354	-0.280100	0.498987	0.625616	25	0.213201	-0.607287	0.543660
0	19	-0.093445	-0.471184	0.313259	-0.450115	25	0.213201	-0.600918	-0.804929	-0.269856	-3.605479	25	0.213201	1.992840	0.046279
0	20	0.006107	-0.389971	0.400279	0.029289	25	0.213201	0.378821	-0.019189	0.673191	1.963069	25	0.213201	-1.302024	0.192908
0	21	0.048352	-0.353540	0.435175	0.232158	25	0.213201	0.597655	0.265130	0.803129	3.574983	25	0.213201	-2.126295	0.033479
0	22	-0.039090	-0.427622	0.361634	-0.187610	25	0.213201	0.110355	-0.297767	0.484371	0.532497	25	0.213201	-0.497215	0.619038
0	23	0.090511	-0.315925	0.468879	0.435864	25	0.213201	0.537720	0.181051	0.769384	3.058641	25	0.213201	-1.692085	0.090630
0	24	-0.075553	-0.457046	0.329419	-0.363379	25	0.213201	0.838572	0.663181	0.926660	7.382018	25	0.213201	-4.285216	0.000018
0	25	0.092849	-0.313801	0.470717	0.447222	25	0.213201	0.557771	0.208611	0.780819	3.222884	25	0.213201	-1.779284	0.075193
0	26	0.309877	-0.097157	0.628106	1.563056	25	0.213201	0.716487	0.448256	0.866351	4.925674	25	0.213201	-1.923575	0.054408
0	27	0.388342	-0.008027	0.679250	2.021044	25	0.213201	0.573359	0.230426	0.789607	3.356181	25	0.213201	-0.804834	0.420916
0	28	0.324586	-0.080931	0.637908	1.645770	25	0.213201	0.776670	0.550466	0.896637	5.913214	25	0.213201	-2.322161	0.020224
0	29	0.014231	-0.383061	0.407079	0.068255	25	0.213201	0.345889	-0.057045	0.651925	1.767951	25	0.213201	-1.149326	0.250422
