##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	1	-0.058462	-0.443357	0.344637	-0.280852	25	0.213201	0.576154	0.234374	0.791173	3.380641	25	0.213201	-2.372098	0.017687
0	2	-0.149231	-0.514056	0.261315	-0.723790	25	0.213201	-0.262024	-0.595505	0.148487	-1.302117	25	0.213201	0.391118	0.695710
0	3	-0.273077	-0.603134	0.136824	-1.361374	25	0.213201	0.028462	-0.370846	0.418888	0.136552	25	0.213201	-1.023692	0.305981
0	4	-0.090769	-0.469082	0.315691	-0.437118	25	0.213201	-0.071538	-0.453847	0.333012	-0.343968	25	0.213201	-0.064206	0.948806
0	5	-0.540769	-0.771132	-0.185206	-3.083128	25	0.213201	0.130769	-0.278773	0.500067	0.632579	25	0.213201	-2.443571	0.014543
0	6	-0.353077	-0.656608	0.048880	-1.809863	25	0.213201	-0.005385	-0.399672	0.390584	-0.025824	25	0.213201	-1.205825	0.227885
0	7	-0.307692	-0.626642	0.099548	-1.550880	25	0.213201	-0.203885	-0.554362	0.208010	-0.998779	25	0.213201	-0.368846	0.712242
0	8	0.018462	-0.379444	0.410604	0.088554	25	0.213201	0.235385	-0.176135	0.576868	1.161500	25	0.213201	-0.734363	0.462728
0	9	-0.169231	-0.528995	0.242095	-0.823480	25	0.213201	0.734270	0.477744	0.875416	5.187295	25	0.213201	-3.677490	0.000236
0	10	-0.420000	-0.699114	-0.029810	-2.219500	25	0.213201	0.655385	0.351195	0.834432	4.161438	25	0.213201	-4.087315	0.000044
0	11	0.037692	-0.362849	0.426478	0.180895	25	0.213201	0.170769	-0.240603	0.530135	0.831190	25	0.213201	-0.446911	0.654939
0	12	-0.165385	-0.526139	0.245817	-0.804232	25	0.213201	-0.410769	-0.693366	-0.018661	-2.160683	25	0.213201	0.894223	0.371202
0	13	-0.094615	-0.472103	0.312194	-0.455804	25	0.213201	-0.176572	-0.534423	0.234958	-0.860329	25	0.213201	0.277082	0.781717
0	14	-0.206154	-0.556000	0.205743	-1.010383	25	0.213201	0.683846	0.395607	0.849451	4.494919	25	0.213201	-3.467381	0.000526
0	15	-0.096923	-0.473911	0.310090	-0.467026	25	0.213201	0.836923	0.660071	0.925874	7.333439	25	0.213201	-4.338281	0.000014
0	16	-0.239231	-0.579581	0.172183	-1.181622	25	0.213201	0.574341	0.231812	0.790157	3.364757	25	0.213201	-2.978114	0.002900
0	17	0.395385	0.000293	0.683706	2.064415	25	0.213201	0.197692	-0.214176	0.549876	0.967187	25	0.213201	0.722482	0.469998
0	18	-0.056923	-0.442116	0.345997	-0.273437	25	0.213201	0.226923	-0.184783	0.570873	1.117436	25	0.213201	-0.954948	0.339604
0	19	-0.023077	-0.414435	0.375484	-0.110703	25	0.213201	-0.224615	-0.569231	0.187131	-1.105465	25	0.213201	0.681336	0.495659
0	20	0.066154	-0.337814	0.449540	0.317959	25	0.213201	0.124615	-0.284532	0.495361	0.602329	25	0.213201	-0.195734	0.844819
0	21	0.080769	-0.324732	0.461188	0.388625	25	0.213201	0.565385	0.219223	0.785122	3.287342	25	0.213201	-1.856538	0.063377
