symbol	GSM2226789	GSM2774696	GSM1855320	GSM2774692	GSM2774693	GSM2477391	GSM2700242	GSM2195412	GSM2195413	GSM2700241	GSM2226790	GSM2226787	GSM3936839	GSM2700245	GSM3685851	GSM1855317	GSM3685848	GSM1855318	GSM2195415	GSM3685853	GSM2477390	GSM2774694	GSM2700244	GSM2195410	GSM3936840
A1BG	5.531876268	5.568092886	5.33714125	5.75930707	5.842061739	5.489934283	5.186865489	5.741851083	5.805404177	5.345008464	5.788094136	5.909850403	6.058906701	5.449355566	6.187971555	5.531742858	5.300036728	5.238111989	5.435298749	5.373141909	6.164748772	5.776755344	5.558898225	5.33398959	5.660104414
A1BG-AS1	5.124219618	4.80247122	5.062162014	5.120728981	5.001705577	4.881181316	5.4068927	4.715928393	5.584571012	5.052022161	5.080863273	4.82190224	5.02084615	4.856240883	5.15487817	4.89350919	4.37209382	5.084392329	5.310992263	5.006714097	4.884511266	4.496589915	5.05280598	5.002675576	5.2723894
A1CF	3.275743777	3.108782136	3.489609203	3.446289673	2.917242122	3.039957295	3.626000965	3.261092664	3.140202275	3.191007866	3.350443381	3.470828657	3.628069478	3.23414418	3.496370933	3.277384044	3.808615077	3.547444621	3.737570759	3.235364092	3.296980354	3.771748385	3.389800724	3.467646419	3.531036945
A2M	4.171967248	3.733721276	4.360889875	3.73456593	3.789635493	4.149825644	3.772477319	4.339848342	4.245505426	3.93220405	4.112531317	3.860226388	4.211099641	4.015661094	3.789845542	4.372265669	4.064124097	4.857342718	4.779335108	4.068616166	4.118122372	3.626866203	3.960066092	4.221903369	3.948160795
A2M-AS1	6.987930149	7.067070197	8.410608982	8.127716055	7.43044575	8.520735434	6.717504997	6.734004624	8.4951149	6.96892081	8.982452392	7.742348561	6.53062959	7.034923573	6.960958158	7.929720232	7.736763183	8.880162823	7.602941588	8.170046171	8.077262777	7.177670662	8.071387559	7.76370489	7.990861764
A2ML1	2.744230148	2.815291873	2.856059808	2.919851905	2.738567428	2.959164629	2.863817242	2.936950462	2.796982448	2.979265133	2.918176844	3.213584092	2.7242062	2.760738252	2.521632067	2.804396745	2.968364315	3.180628204	2.894609814	3.104818399	2.760918	2.739079486	2.770020136	2.970938289	2.75947909
A2MP1	3.853651389	4.390329977	4.43977612	4.1824745	4.243144542	4.339598964	4.442702359	4.990509403	4.677787017	4.756342824	3.511923402	4.042215762	4.28356754	3.98160918	3.872676643	4.398191575	4.893143076	4.15215323	4.087147709	4.574354018	4.152904262	4.588258066	4.314298127	4.424894196	4.029944491
A4GALT	4.783321056	4.910925249	5.032917278	4.850522194	4.914449674	4.887933732	5.28338296	5.018940683	4.971534658	5.054082988	4.783370791	5.036633781	4.577053914	4.670042097	5.254885202	4.946412979	5.118306719	4.920132457	4.994797048	5.083676566	4.71919351	5.08736543	4.867725895	4.928360722	4.838976173
A4GNT	4.709809312	4.584176421	4.988466425	3.931686988	4.731311045	4.189713491	4.228096725	4.167135953	4.572726735	4.147615484	4.528805	4.568949421	4.466129392	4.013339071	4.271170812	4.709162042	3.948386437	4.43539502	4.6344145	4.845918945	4.70838686	4.410425074	4.65233119	4.918252088	4.6476846
AA06	4.481549607	4.391325378	4.53803492	4.305267205	4.213317321	4.639845896	4.358730109	4.871820676	4.451904257	4.60318211	4.377280916	4.203623506	4.648213241	3.998533479	4.555090198	4.518577308	4.743491737	4.42919134	4.507195349	4.735772617	4.343663535	4.124545299	4.353710866	4.294881498	4.753281065
