lower_interval	upper_interval	frequency	accumulative_frequency
-inf	-10.000	0	0
-10.000	-9.999	0	0
-9.999	-9.998	0	0
-9.998	-9.997	0	0
-9.997	-9.996	0	0
-9.996	-9.995	0	0
-9.995	-9.994	0	0
-9.994	-9.993	0	0
-9.993	-9.992	0	0
-9.992	-9.991	0	0
-9.991	-9.990	0	0
-9.990	-9.989	0	0
-9.989	-9.988	0	0
-9.988	-9.987	0	0
-9.987	-9.986	0	0
-9.986	-9.985	0	0
-9.985	-9.984	0	0
-9.984	-9.983	0	0
-9.983	-9.982	0	0
-9.982	-9.981	0	0
-9.981	-9.980	0	0
-9.980	-9.979	0	0
-9.979	-9.978	0	0
-9.978	-9.977	0	0
-9.977	-9.976	0	0
-9.976	-9.975	0	0
-9.975	-9.974	0	0
-9.974	-9.973	0	0
-9.973	-9.972	0	0
-9.972	-9.971	0	0
-9.971	-9.970	0	0
-9.970	-9.969	0	0
-9.969	-9.968	0	0
-9.968	-9.967	0	0
-9.967	-9.966	0	0
-9.966	-9.965	0	0
-9.965	-9.964	0	0
-9.964	-9.963	0	0
-9.963	-9.962	0	0
-9.962	-9.961	0	0
-9.961	-9.960	0	0
-9.960	-9.959	0	0
-9.959	-9.958	0	0
-9.958	-9.957	0	0
-9.957	-9.956	0	0
-9.956	-9.955	0	0
-9.955	-9.954	0	0
-9.954	-9.953	0	0
-9.953	-9.952	0	0
-9.952	-9.951	0	0
-9.951	-9.950	0	0
-9.950	-9.949	0	0
-9.949	-9.948	0	0
-9.948	-9.947	0	0
-9.947	-9.946	0	0
-9.946	-9.945	0	0
-9.945	-9.944	0	0
-9.944	-9.943	0	0
-9.943	-9.942	0	0
-9.942	-9.941	0	0
-9.941	-9.940	0	0
-9.940	-9.939	0	0
-9.939	-9.938	0	0
-9.938	-9.937	0	0
-9.937	-9.936	0	0
-9.936	-9.935	0	0
-9.935	-9.934	0	0
-9.934	-9.933	0	0
-9.933	-9.932	0	0
-9.932	-9.931	0	0
-9.931	-9.930	0	0
-9.930	-9.929	0	0
-9.929	-9.928	0	0
-9.928	-9.927	0	0
-9.927	-9.926	0	0
-9.926	-9.925	0	0
-9.925	-9.924	0	0
-9.924	-9.923	0	0
-9.923	-9.922	0	0
-9.922	-9.921	0	0
-9.921	-9.920	0	0
-9.920	-9.919	0	0
-9.919	-9.918	0	0
-9.918	-9.917	0	0
-9.917	-9.916	0	0
-9.916	-9.915	0	0
-9.915	-9.914	0	0
-9.914	-9.913	0	0
-9.913	-9.912	0	0
-9.912	-9.911	0	0
-9.911	-9.910	0	0
-9.910	-9.909	0	0
-9.909	-9.908	0	0
-9.908	-9.907	0	0
-9.907	-9.906	0	0
-9.906	-9.905	0	0
-9.905	-9.904	0	0
-9.904	-9.903	0	0
-9.903	-9.902	0	0
-9.902	-9.901	0	0
-9.901	-9.900	0	0
-9.900	-9.899	0	0
-9.899	-9.898	0	0
-9.898	-9.897	0	0
-9.897	-9.896	0	0
-9.896	-9.895	0	0
-9.895	-9.894	0	0
-9.894	-9.893	0	0
-9.893	-9.892	0	0
-9.892	-9.891	0	0
-9.891	-9.890	0	0
-9.890	-9.889	0	0
-9.889	-9.888	0	0
-9.888	-9.887	0	0
-9.887	-9.886	0	0
-9.886	-9.885	0	0
-9.885	-9.884	0	0
-9.884	-9.883	0	0
-9.883	-9.882	0	0
-9.882	-9.881	0	0
-9.881	-9.880	0	0
-9.880	-9.879	0	0
-9.879	-9.878	0	0
-9.878	-9.877	0	0
-9.877	-9.876	0	0
-9.876	-9.875	0	0
-9.875	-9.874	0	0
-9.874	-9.873	0	0
-9.873	-9.872	0	0
-9.872	-9.871	0	0
-9.871	-9.870	0	0
-9.870	-9.869	0	0
-9.869	-9.868	0	0
-9.868	-9.867	0	0
-9.867	-9.866	0	0
-9.866	-9.865	0	0
-9.865	-9.864	0	0
-9.864	-9.863	0	0
-9.863	-9.862	0	0
-9.862	-9.861	0	0
-9.861	-9.860	0	0
-9.860	-9.859	0	0
-9.859	-9.858	0	0
-9.858	-9.857	0	0
-9.857	-9.856	0	0
-9.856	-9.855	0	0
-9.855	-9.854	0	0
-9.854	-9.853	0	0
-9.853	-9.852	0	0
-9.852	-9.851	0	0
-9.851	-9.850	0	0
-9.850	-9.849	0	0
-9.849	-9.848	0	0
-9.848	-9.847	0	0
-9.847	-9.846	0	0
-9.846	-9.845	0	0
-9.845	-9.844	0	0
-9.844	-9.843	0	0
-9.843	-9.842	0	0
-9.842	-9.841	0	0
-9.841	-9.840	0	0
-9.840	-9.839	0	0
-9.839	-9.838	0	0
-9.838	-9.837	0	0
-9.837	-9.836	0	0
-9.836	-9.835	0	0
-9.835	-9.834	0	0
-9.834	-9.833	0	0
-9.833	-9.832	0	0
-9.832	-9.831	0	0
-9.831	-9.830	0	0
-9.830	-9.829	0	0
-9.829	-9.828	0	0
-9.828	-9.827	0	0
-9.827	-9.826	0	0
-9.826	-9.825	0	0
-9.825	-9.824	0	0
-9.824	-9.823	0	0
-9.823	-9.822	0	0
-9.822	-9.821	0	0
-9.821	-9.820	0	0
-9.820	-9.819	0	0
-9.819	-9.818	0	0
-9.818	-9.817	0	0
-9.817	-9.816	0	0
-9.816	-9.815	0	0
-9.815	-9.814	0	0
-9.814	-9.813	0	0
-9.813	-9.812	0	0
-9.812	-9.811	0	0
-9.811	-9.810	0	0
-9.810	-9.809	0	0
-9.809	-9.808	0	0
-9.808	-9.807	0	0
-9.807	-9.806	0	0
-9.806	-9.805	0	0
-9.805	-9.804	0	0
-9.804	-9.803	0	0
-9.803	-9.802	0	0
-9.802	-9.801	0	0
-9.801	-9.800	0	0
-9.800	-9.799	0	0
-9.799	-9.798	0	0
-9.798	-9.797	0	0
-9.797	-9.796	0	0
-9.796	-9.795	0	0
-9.795	-9.794	0	0
-9.794	-9.793	0	0
-9.793	-9.792	0	0
-9.792	-9.791	0	0
-9.791	-9.790	0	0
-9.790	-9.789	0	0
-9.789	-9.788	0	0
-9.788	-9.787	0	0
-9.787	-9.786	0	0
-9.786	-9.785	0	0
-9.785	-9.784	0	0
-9.784	-9.783	0	0
-9.783	-9.782	0	0
-9.782	-9.781	0	0
-9.781	-9.780	0	0
-9.780	-9.779	0	0
-9.779	-9.778	0	0
-9.778	-9.777	0	0
-9.777	-9.776	0	0
-9.776	-9.775	0	0
-9.775	-9.774	0	0
-9.774	-9.773	0	0
-9.773	-9.772	0	0
-9.772	-9.771	0	0
-9.771	-9.770	0	0
-9.770	-9.769	0	0
-9.769	-9.768	0	0
-9.768	-9.767	0	0
-9.767	-9.766	0	0
-9.766	-9.765	0	0
-9.765	-9.764	0	0
-9.764	-9.763	0	0
-9.763	-9.762	0	0
-9.762	-9.761	0	0
-9.761	-9.760	0	0
-9.760	-9.759	0	0
-9.759	-9.758	0	0
-9.758	-9.757	0	0
-9.757	-9.756	0	0
-9.756	-9.755	0	0
-9.755	-9.754	0	0
-9.754	-9.753	0	0
-9.753	-9.752	0	0
-9.752	-9.751	0	0
-9.751	-9.750	0	0
-9.750	-9.749	0	0
-9.749	-9.748	0	0
-9.748	-9.747	0	0
-9.747	-9.746	0	0
-9.746	-9.745	0	0
-9.745	-9.744	0	0
-9.744	-9.743	0	0
-9.743	-9.742	0	0
-9.742	-9.741	0	0
-9.741	-9.740	0	0
-9.740	-9.739	0	0
-9.739	-9.738	0	0
-9.738	-9.737	0	0
-9.737	-9.736	0	0
-9.736	-9.735	0	0
-9.735	-9.734	0	0
-9.734	-9.733	0	0
-9.733	-9.732	0	0
-9.732	-9.731	0	0
-9.731	-9.730	0	0
-9.730	-9.729	0	0
-9.729	-9.728	0	0
-9.728	-9.727	0	0
-9.727	-9.726	0	0
-9.726	-9.725	0	0
-9.725	-9.724	0	0
-9.724	-9.723	0	0
-9.723	-9.722	0	0
-9.722	-9.721	0	0
-9.721	-9.720	0	0
-9.720	-9.719	0	0
-9.719	-9.718	0	0
-9.718	-9.717	0	0
-9.717	-9.716	0	0
-9.716	-9.715	0	0
-9.715	-9.714	0	0
-9.714	-9.713	0	0
-9.713	-9.712	0	0
-9.712	-9.711	0	0
-9.711	-9.710	0	0
