Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00269	LINC00271	0.910602	0.846915	0.948532	15.265093
LINC00269	LINC00272	0.824164	0.708301	0.896786	10.082026
LINC00269	LINC00273	0.749582	0.595473	0.850483	7.845840
LINC00269	LINC00276	-0.391791	-0.604247	-0.127324	-2.950267
LINC00269	LINC00278	0.139840	-0.144122	0.402525	0.978457
LINC00269	LINC00280	0.112735	-0.170983	0.379189	0.786063
LINC00269	LINC00290	0.106448	-0.177153	0.373727	0.741710
LINC00269	LINC00293	0.774624	0.632692	0.866207	8.486036
LINC00269	LINC00294	0.583761	0.364663	0.741609	4.981262
LINC00269	LINC00297	0.478538	0.230948	0.667922	3.775800
LINC00269	LINC00298	-0.257158	-0.499739	0.022828	-1.843649
LINC00269	LINC00299	-0.383132	-0.597738	-0.117288	-2.873699
LINC00269	LINC00301	-0.089102	-0.358561	0.194064	-0.619780
LINC00269	LINC00303	0.737693	0.578033	0.842954	7.570151
LINC00269	LINC00304	0.802080	0.674265	0.883240	9.304801
LINC00269	LINC00305	0.863369	0.770084	0.920505	11.854765
LINC00269	LINC00308	-0.166454	-0.425110	0.117335	-1.169543
LINC00269	LINC00309	0.763957	0.616758	0.859531	8.202576
LINC00269	LINC00310	0.674960	0.488358	0.802535	6.337639
LINC00269	LINC00311	0.600022	0.386166	0.752666	5.196454
LINC00269	LINC00313	0.319802	0.045500	0.549260	2.338457
LINC00269	LINC00314	0.751352	0.598083	0.851600	7.888332
LINC00269	LINC00315	0.769152	0.624503	0.862786	8.338485
LINC00269	LINC00319	0.811909	0.689347	0.889286	9.635549
LINC00269	LINC00320	-0.147862	-0.409366	0.136092	-1.035802
LINC00269	LINC00322	0.866502	0.775097	0.922382	12.026467
LINC00269	LINC00324	0.248970	-0.031570	0.493147	1.780999
LINC00269	LINC00326	0.805665	0.679754	0.885448	9.422832
LINC00269	LINC00327	0.586067	0.367699	0.743182	5.011210
LINC00269	LINC00330	0.220406	-0.061734	0.469928	1.565517
LINC00269	LINC00331	0.095420	-0.187924	0.364102	0.664120
LINC00269	LINC00332	0.149644	-0.134303	0.410882	1.048570
