Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00269	LINC00271	0.766050	0.619875	0.860843	8.256866
LINC00269	LINC00272	0.579524	0.359098	0.738713	4.926720
LINC00269	LINC00273	0.525186	0.289095	0.701054	4.275734
LINC00269	LINC00276	-0.081873	-0.352199	0.201062	-0.569142
LINC00269	LINC00278	0.260751	-0.018980	0.502622	1.871267
LINC00269	LINC00280	0.164274	-0.119545	0.423272	1.153796
LINC00269	LINC00290	0.151216	-0.132723	0.412218	1.059843
LINC00269	LINC00293	0.635246	0.433556	0.776327	5.698638
LINC00269	LINC00294	0.606670	0.395025	0.757162	5.287271
LINC00269	LINC00297	0.649940	0.453660	0.786081	5.925002
LINC00269	LINC00298	-0.139592	-0.402312	0.144370	-0.976683
LINC00269	LINC00299	-0.190689	-0.445400	0.092578	-1.345826
LINC00269	LINC00301	-0.100363	-0.368423	0.183105	-0.698861
LINC00269	LINC00303	0.716992	0.548009	0.829747	7.126092
LINC00269	LINC00304	0.806771	0.681449	0.886128	9.459817
LINC00269	LINC00305	0.757185	0.606704	0.855276	8.031120
LINC00269	LINC00308	-0.091435	-0.360610	0.191799	-0.636146
LINC00269	LINC00309	0.436217	0.179682	0.637199	3.358591
LINC00269	LINC00310	0.600768	0.387159	0.753172	5.206560
LINC00269	LINC00311	0.312468	0.037366	0.543545	2.278957
LINC00269	LINC00313	0.444226	0.189278	0.643063	3.435243
LINC00269	LINC00314	0.466806	0.216597	0.659469	3.657026
LINC00269	LINC00315	0.810306	0.686880	0.888301	9.580027
LINC00269	LINC00319	0.822905	0.706347	0.896018	10.034263
LINC00269	LINC00320	0.298151	0.021591	0.532326	2.164078
LINC00269	LINC00322	0.855771	0.757972	0.915941	11.460125
LINC00269	LINC00324	0.415626	0.155233	0.622017	3.165949
LINC00269	LINC00326	0.874478	0.787914	0.927150	12.490188
LINC00269	LINC00327	0.580984	0.361015	0.739712	4.945455
LINC00269	LINC00330	0.419604	0.159931	0.624963	3.202689
LINC00269	LINC00331	0.295298	0.018464	0.530080	2.141382
LINC00269	LINC00332	0.246291	-0.034422	0.490983	1.760584
LINC00269	LINC00334	0.577253	0.356122	0.737159	4.897738
LINC00269	LINC00337	0.175803	-0.107827	0.432968	1.237266
LINC00269	LINC00339	0.770660	0.626757	0.863730	8.378695
LINC00269	LINC00342	0.687380	0.505805	0.810631	6.556962
LINC00269	LINC00343	0.526915	0.291284	0.702267	4.295205
LINC00269	LINC00345	0.461032	0.209574	0.655292	3.599489
LINC00269	LINC00346	0.414646	0.154077	0.621291	3.156929
LINC00269	LINC00347	0.540434	0.308488	0.711722	4.450081
LINC00269	LINC00348	0.870918	0.782185	0.925024	12.278292
LINC00269	LINC00350	0.445282	0.190547	0.643834	3.445430
LINC00269	LINC00351	0.391222	0.126663	0.603820	2.945209
LINC00269	LINC00353	0.615270	0.406543	0.762957	5.407368
