Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
LINC00269	LINC00271	0.966546	0.924487	0.985357	18.072054	25	0.213201	0.784777	0.564772	0.900633	6.072587	25	0.213201	3.247766	0.001163
LINC00269	LINC00272	0.957545	0.904718	0.981369	15.929486	25	0.213201	0.502849	0.134421	0.749137	2.789974	25	0.213201	4.518523	6.227259e-06
LINC00269	LINC00273	0.846366	0.677960	0.930362	7.621148	25	0.213201	0.508111	0.141353	0.752222	2.829253	25	0.213201	2.265331	0.023492
LINC00269	LINC00276	-0.375203	-0.670878	0.023404	-1.941233	25	0.213201	-0.428679	-0.704485	-0.040381	-2.275561	25	0.213201	0.211640	0.832388
LINC00269	LINC00278	0.091540	-0.314991	0.469688	0.440859	25	0.213201	0.241808	-0.169527	0.581395	1.195138	25	0.213201	-0.513736	0.607437
LINC00269	LINC00280	0.203937	-0.207959	0.554399	0.999042	25	0.213201	-0.087942	-0.466857	0.318254	-0.423397	25	0.213201	0.978427	0.327863
LINC00269	LINC00290	0.149646	-0.260919	0.514369	0.725852	25	0.213201	-0.043051	-0.430859	0.358179	-0.206659	25	0.213201	0.642950	0.520257
LINC00269	LINC00293	0.867750	0.719218	0.940432	8.373381	25	0.213201	0.569704	0.225280	0.787554	3.324458	25	0.213201	2.244732	0.024785
LINC00269	LINC00294	0.629749	0.312331	0.820672	3.887967	25	0.213201	0.716977	0.449061	0.866602	4.932608	25	0.213201	-0.531979	0.594741
LINC00269	LINC00297	0.715364	0.446413	0.865775	4.909847	25	0.213201	0.291211	-0.117440	0.615521	1.459870	25	0.213201	1.983991	0.047257
LINC00269	LINC00298	-0.287964	-0.613315	0.120934	-1.442114	25	0.213201	-0.262010	-0.595495	0.148502	-1.302041	25	0.213201	-0.093131	0.925800
LINC00269	LINC00299	-0.324653	-0.637952	0.080857	-1.646148	25	0.213201	-0.479708	-0.735442	-0.104350	-2.621978	25	0.213201	0.616113	0.537820
LINC00269	LINC00301	-0.147565	-0.512802	0.262902	-0.715531	25	0.213201	0.003471	-0.392205	0.398062	0.016644	25	0.213201	-0.504529	0.613890
LINC00269	LINC00303	0.811163	0.612271	0.913503	6.651960	25	0.213201	0.714163	0.444444	0.865159	4.893008	25	0.213201	0.778713	0.436149
LINC00269	LINC00304	0.854428	0.693390	0.934173	7.886687	25	0.213201	0.768303	0.535837	0.892493	5.756484	25	0.213201	0.849577	0.395560
LINC00269	LINC00305	0.918988	0.822534	0.964052	11.177956	25	0.213201	0.730944	0.472184	0.873728	5.136711	25	0.213201	2.161529	0.030655
LINC00269	LINC00308	-0.264113	-0.596952	0.146291	-1.313275	25	0.213201	-0.012654	-0.405763	0.384405	-0.060691	25	0.213201	-0.855259	0.392408
LINC00269	LINC00309	0.854947	0.694389	0.934418	7.904488	25	0.213201	0.567569	0.222282	0.786353	3.306060	25	0.213201	2.090556	0.036568
LINC00269	LINC00310	0.824612	0.637047	0.919986	6.990826	25	0.213201	0.381042	-0.016594	0.674607	1.976524	25	0.213201	2.553084	0.010677
