Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
LINC00269	LINC00271	0.764615	0.529435	0.890659	5.689745	25	0.213201	0.697692	0.417711	0.856662	4.670612	25	0.213201	0.479065	0.631892
LINC00269	LINC00272	0.941538	0.870117	0.974227	13.402748	25	0.213201	-0.010387	-0.403866	0.386336	-0.049815	25	0.213201	5.843297	5.117765e-09
LINC00269	LINC00273	0.704615	0.428889	0.860244	4.762215	25	0.213201	0.221538	-0.190253	0.567038	1.089534	25	0.213201	2.159570	0.030806
LINC00269	LINC00276	0.058462	-0.344637	0.443357	0.280852	25	0.213201	-0.210000	-0.558771	0.201890	-1.030094	25	0.213201	0.901126	0.367521
LINC00269	LINC00278	0.407386	0.014599	0.691250	2.139329	25	0.213201	0.128462	-0.280936	0.498305	0.621227	25	0.213201	1.005925	0.314452
LINC00269	LINC00280	0.279231	-0.130281	0.607356	1.394616	25	0.213201	-0.022308	-0.413798	0.376145	-0.107011	25	0.213201	1.025364	0.305191
LINC00269	LINC00290	0.217692	-0.194145	0.564290	1.069669	25	0.213201	0.011541	-0.385354	0.404832	0.055351	25	0.213201	0.695467	0.486763
LINC00269	LINC00293	0.840000	0.665878	0.927339	7.424621	25	0.213201	0.323846	-0.081753	0.637417	1.641577	25	0.213201	2.935994	0.003325
LINC00269	LINC00294	0.512406	0.147040	0.754732	2.861640	25	0.213201	0.726678	0.465084	0.871558	5.072981	25	0.213201	-1.179608	0.238156
LINC00269	LINC00297	0.685385	0.398047	0.850255	4.513971	25	0.213201	0.473846	0.096841	0.731939	2.580589	25	0.213201	1.075185	0.282292
LINC00269	LINC00298	-0.336154	-0.645545	0.068018	-1.711749	25	0.213201	0.073077	-0.331637	0.455074	0.351404	25	0.213201	-1.402791	0.160679
LINC00269	LINC00299	0.103846	-0.303755	0.479316	0.500736	25	0.213201	-0.469706	-0.729457	-0.091562	-2.551621	25	0.213201	2.036124	0.041738
LINC00269	LINC00301	-0.110769	-0.484692	0.297384	-0.534520	25	0.213201	-0.073846	-0.455687	0.330948	-0.355123	25	0.213201	-0.123527	0.901690
LINC00269	LINC00303	0.746154	0.497778	0.881419	5.374843	25	0.213201	0.756923	0.516165	0.886822	5.554787	25	0.213201	-0.082085	0.934579
LINC00269	LINC00304	0.753077	0.509572	0.884897	5.489363	25	0.213201	0.846923	0.679021	0.930626	7.638861	25	0.213201	-0.879378	0.379196
LINC00269	LINC00305	0.833077	0.652842	0.924039	7.222714	25	0.213201	0.640508	0.328513	0.826474	3.999949	25	0.213201	1.456246	0.145325
