Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
LINC00269	A1BG	50	2	3.007354	6.110167	21.193501	5.175699e-26	-0.075954	-1.734172	0.089306
LINC00269	A1BG-AS1	50	2	0.142565	4.892404	14.602308	2.770453e-19	0.019218	0.377578	0.707409
LINC00269	A1CF	50	2	1.833434	3.0614	12.093513	3.522438e-16	0.052073	1.354043	0.182064
LINC00269	A2M	50	2	0.000351	4.029235	12.077754	3.693469e-16	-0.000949	-0.01873	0.985134
LINC00269	A2M-AS1	50	2	0.513933	8.277054	9.095062	5.14143e-12	-0.099113	-0.716891	0.476916
LINC00269	A2ML1	50	2	0.518956	2.746952	11.208529	5.306278e-15	0.026821	0.720387	0.474781
LINC00269	A2MP1	50	2	0.994073	3.901778	9.179657	3.865094e-12	0.064381	0.997032	0.323749
LINC00269	A4GALT	50	2	6.172074	4.379808	19.925711	7.432767e-25	0.08296	2.484367	0.016519
LINC00269	A4GNT	50	2	0.171737	4.65319	13.941184	1.68942e-18	-0.021013	-0.414411	0.680419
LINC00269	AA06	50	2	3.518521	3.717618	10.316124	9.053183e-14	0.102692	1.875772	0.066775
LINC00269	AAAS	50	2	0.548519	5.526586	14.608099	2.727556e-19	0.042567	0.740622	0.462531
LINC00269	AACS	50	2	0.006231	6.548554	27.054764	1.028804e-30	0.002903	0.078937	0.937411
LINC00269	AACSP1	50	2	0.339154	2.983842	7.961905	2.514274e-10	0.033156	0.582369	0.563044
LINC00269	AADAC	50	2	0.066337	3.564776	12.390306	1.450872e-16	-0.011257	-0.25756	0.797848
LINC00269	AADACL2	50	2	0.162491	2.18406	6.537261	3.770297e-08	-0.020459	-0.403103	0.688663
LINC00269	AADACP1	50	2	0.398906	2.062345	4.613129	3e-05	0.042895	0.63159	0.530651
LINC00269	AADAT	50	2	0.819488	2.900444	8.145598	1.328084e-10	0.048969	0.905255	0.369852
LINC00269	AAED1	50	2	1.309571	7.019581	18.273809	2.94512e-23	-0.066781	-1.144365	0.258147
LINC00269	AAGAB	50	2	4.552686	4.533921	16.227482	4.0392e-21	0.090566	2.133702	0.038005
LINC00269	AAK1	50	2	4.4779	6.430734	13.839556	2.241172e-18	-0.149377	-2.116105	0.039549
LINC00269	AAMDC	50	2	0.112152	4.736608	13.955177	1.625103e-18	0.017268	0.33489	0.739167
LINC00269	AAMP	50	2	0.570581	8.013964	42.788528	6.930804e-40	-0.021493	-0.755368	0.453719
LINC00269	AANAT	50	2	0.555043	3.061036	8.096798	1.573091e-10	-0.042789	-0.745012	0.459897
LINC00269	AAR2	50	2	0.097486	7.157066	39.843777	1.937631e-38	0.00852	0.312226	0.756221
LINC00269	AARS	50	2	0.001091	7.838776	29.750706	1.38522e-32	-0.001322	-0.033037	0.973782
LINC00269	AARS2	50	2	2.154054	6.810594	25.940626	6.822737e-30	-0.058539	-1.46767	0.148716
LINC00269	AARSD1	50	2	0.032066	6.144393	23.434698	6.304806e-28	-0.007133	-0.179068	0.858638
LINC00269	AASDH	50	2	0.863857	7.017805	24.251932	1.37926e-28	-0.040859	-0.929439	0.357312
LINC00269	AASDHPPT	50	2	0.822546	7.943464	28.510288	9.609439e-32	-0.038388	-0.906943	0.368968
LINC00269	AASS	50	2	0.124774	2.597364	7.402372	1.781597e-09	0.018829	0.353233	0.72546
LINC00269	AATF	50	2	0.050548	8.816026	36.954998	6.422097e-37	-0.008148	-0.224829	0.823066
LINC00269	AATK	50	2	2.021977	7.752315	25.577572	1.283354e-29	0.065474	1.421963	0.161503
LINC00269	AB074162	50	2	0.050707	6.797946	9.704369	6.702338e-13	-0.023964	-0.225182	0.822794
LINC00269	AB488780	50	2	0.336372	6.106086	23.082453	1.230743e-27	-0.023308	-0.579976	0.564643
LINC00269	ABAT	50	2	0.08804	8.061955	15.702598	1.531849e-20	0.023143	0.296715	0.767964
LINC00269	ABCA1	50	2	0.005087	5.473498	11.032125	9.222192e-15	-0.005376	-0.071326	0.943434
LINC00269	ABCA11P	50	2	0.242854	4.384863	10.738643	2.333585e-14	-0.03057	-0.492803	0.624399
LINC00269	ABCA12	50	2	1.903339	1.51938	4.704937	2.2e-05	0.067683	1.379615	0.174099
LINC00269	ABCA13	50	2	0.199887	1.913616	7.091146	5.330964e-09	-0.018329	-0.447087	0.656823
LINC00269	ABCA17P	50	2	0.251347	3.829907	8.302963	7.703588e-11	-0.035132	-0.501345	0.61842
LINC00269	ABCA2	50	2	1.35489	4.604596	17.681934	1.170716e-22	0.046049	1.163997	0.250179
LINC00269	ABCA3	50	2	0.029912	5.613374	20.87628	9.958466e-26	-0.007065	-0.172949	0.863419
LINC00269	ABCA4	50	2	0.079543	3.34985	13.477608	6.195662e-18	0.010649	0.282034	0.77913
LINC00269	ABCA5	50	2	0.013994	4.724414	14.835242	1.483528e-19	0.005723	0.118294	0.906329
LINC00269	ABCA6	50	2	0.252485	2.555173	7.425611	1.641869e-09	-0.026267	-0.502479	0.617628
LINC00269	ABCA7	50	2	0.008801	8.481831	31.349661	1.266428e-33	-0.003856	-0.09381	0.925651
LINC00269	ABCA8	50	2	0.024246	2.743289	10.687288	2.748301e-14	0.006072	0.155712	0.876913
LINC00269	ABCA9	50	2	0.094359	2.263125	7.622205	8.236329e-10	-0.013856	-0.307178	0.760036
LINC00269	ABCB1	50	2	1.578612	5.777934	12.246477	2.226857e-16	-0.090055	-1.256428	0.215041
LINC00269	ABCB10	50	2	0.329715	7.029119	9.824869	4.50219e-13	-0.06241	-0.574208	0.568508
LINC00269	ABCB11	50	2	0.158763	3.164683	14.069848	1.183408e-18	0.013615	0.398451	0.692064
LINC00269	ABCB4	50	2	0.000142	4.97429	8.983246	7.505742e-12	0.001004	0.011931	0.99053
LINC00269	ABCB5	50	2	0.192234	2.709112	13.562412	4.875132e-18	0.013305	0.438445	0.663031
LINC00269	ABCB6	50	2	0.042642	4.748799	16.150705	4.899575e-21	-0.009224	-0.2065	0.837274
LINC00269	ABCB7	50	2	0.084096	7.508102	30.46286	4.706584e-33	-0.010858	-0.289992	0.773071
LINC00269	ABCB8	50	2	0.122001	4.290724	13.499502	5.823367e-18	0.016866	0.349285	0.728403
LINC00269	ABCB9	50	2	0.000676	4.728366	17.649139	1.265012e-22	0.001058	0.026001	0.979365
LINC00269	ABCC1	50	2	0.346754	6.651879	32.874611	1.431016e-34	-0.018101	-0.588858	0.558717
LINC00269	ABCC10	50	2	0.41897	6.897213	25.390564	1.782389e-29	-0.026712	-0.647279	0.520535
LINC00269	ABCC11	50	2	1.99242	3.137882	10.996488	1.031663e-14	0.06119	1.411531	0.164538
LINC00269	ABCC12	50	2	2.702544	3.137878	12.34269	1.671469e-16	-0.063492	-1.643941	0.106723
LINC00269	ABCC13	50	2	2.146589	3.745636	6.732232	1.893157e-08	0.123837	1.465124	0.149407
LINC00269	ABCC2	50	2	3e-06	4.344413	11.37181	3.19267e-15	-9.6e-05	-0.001662	0.998681
LINC00269	ABCC3	50	2	0.489562	5.606546	20.71723	1.386793e-25	0.028766	0.699686	0.4875
LINC00269	ABCC4	50	2	0.811792	5.238853	9.777277	5.267248e-13	-0.073342	-0.900995	0.37209
LINC00269	ABCC5	50	2	0.250481	6.317635	15.056424	8.246661e-20	0.031903	0.500481	0.619024
LINC00269	ABCC6	50	2	0.019153	4.561307	16.535437	1.873636e-21	-0.0058	-0.138395	0.890507
LINC00269	ABCC6P1	50	2	0.108203	3.517375	13.782523	2.627815e-18	0.012753	0.328942	0.743631
LINC00269	ABCC6P2	50	2	0.100157	4.764671	11.274898	4.314484e-15	0.020317	0.316475	0.753015
LINC00269	ABCC8	50	2	0.157861	4.662181	20.650705	1.593783e-25	0.013627	0.397317	0.692895
LINC00269	ABCC9	50	2	0.661283	2.858517	10.154332	1.530443e-13	0.034777	0.813193	0.420123
LINC00269	ABCD1	50	2	0.073971	5.836973	17.884157	7.278027e-23	-0.013485	-0.271978	0.786806
LINC00269	ABCD1P2	50	2	0.128067	3.251345	11.89634	6.389747e-16	0.014859	0.357864	0.722014
LINC00269	ABCD2	50	2	0.784169	2.461321	5.080083	6.133814e-06	0.06518	0.885533	0.380284
LINC00269	ABCD3	50	2	0.498297	5.937523	18.88925	7.26482e-24	-0.033709	-0.705901	0.483662
LINC00269	ABCD4	50	2	2.319386	5.989033	33.03038	1.151307e-34	-0.041951	-1.522952	0.134332
LINC00269	ABCE1	50	2	0.643954	7.034166	16.16428	4.734899e-21	-0.053051	-0.802468	0.426238
LINC00269	ABCF1	50	2	1.265666	8.325048	26.328684	3.50221e-30	-0.054041	-1.125019	0.266175
LINC00269	ABCF2	50	2	5.33983	6.531425	19.960493	6.896527e-25	-0.114871	-2.310807	0.025185
LINC00269	ABCF3	50	2	1.748404	7.091464	32.904205	1.372991e-34	-0.043293	-1.322274	0.192343
LINC00269	ABCG1	50	2	0.005094	6.395561	13.355962	8.751703e-18	0.005192	0.071374	0.943396
LINC00269	ABCG2	50	2	0.302775	4.261017	4.233081	0.000103	0.084145	0.55025	0.5847
LINC00269	ABCG4	50	2	0.483679	5.187699	16.3029	3.343376e-21	0.03362	0.695471	0.490114
LINC00269	ABCG5	50	2	8.5e-05	3.040498	7.271877	2.819642e-09	-0.000586	-0.009224	0.992679
LINC00269	ABCG8	50	2	0.025023	4.239492	9.29253	2.644461e-12	0.010964	0.158187	0.874973
LINC00269	ABHD1	50	2	0.569754	4.150241	12.325675	1.758309e-16	-0.038611	-0.75482	0.454045
LINC00269	ABHD10	50	2	0.708631	6.2436	14.201712	8.233645e-19	0.056223	0.841802	0.404074
LINC00269	ABHD11	50	2	5.130809	5.606109	28.548552	9.042018e-32	0.067574	2.265131	0.028056
LINC00269	ABHD12	50	2	0.901927	5.326689	15.36277	3.690785e-20	-0.050025	-0.949699	0.347023
LINC00269	ABHD12B	50	2	0.175322	2.54733	11.109788	7.226689e-15	-0.014585	-0.418715	0.677292
LINC00269	ABHD13	50	2	0.032909	4.818664	6.961921	8.410991e-09	-0.019075	-0.181408	0.856811
LINC00269	ABHD14A	50	2	0.311955	7.187855	24.507423	8.653321e-29	-0.024886	-0.558529	0.579079
LINC00269	ABHD14A-ACY1	50	2	0.039865	5.483458	17.548672	1.604904e-22	-0.009478	-0.19966	0.84259
LINC00269	ABHD14B	50	2	0.324028	7.506862	24.142225	1.687104e-28	-0.026889	-0.569235	0.571851
LINC00269	ABHD15	50	2	0.000541	5.757213	16.687065	1.288356e-21	0.001219	0.023257	0.981541
LINC00269	ABHD16A	50	2	0.187008	6.183381	34.214558	2.271131e-35	-0.011873	-0.432444	0.667356
LINC00269	ABHD16B	50	2	3.12174	2.809743	6.237966	1.084576e-07	0.120901	1.766845	0.083612
LINC00269	ABHD17A	50	2	1.105381	10.539663	37.943642	1.884393e-37	-0.044366	-1.05137	0.298353
LINC00269	ABHD17B	50	2	2.252772	5.872351	14.772861	1.752543e-19	-0.090639	-1.500924	0.139925
LINC00269	ABHD17C	50	2	1.506328	5.466519	10.627861	3.322413e-14	-0.095903	-1.227325	0.225686
LINC00271	A1BG	50	2	1.926188	6.020881	20.383238	2.798512e-25	-0.063116	-1.387872	0.171585
LINC00271	A1BG-AS1	50	2	0.008266	5.0487	14.845264	1.444398e-19	-0.00476	-0.090917	0.927937
LINC00271	A1CF	50	2	2.169655	3.027647	11.838958	7.606148e-16	0.057995	1.472975	0.147285
LINC00271	A2M	50	2	0.239107	4.186821	12.411982	1.360467e-16	-0.025395	-0.488985	0.627079
