##The total sample size is 50.
Marker1	Marker2	Correlation	Lower	Upper	t-statistic	Valid-num
0	1	-0.087473	-0.357130	0.195643	-0.608366	50
0	2	-0.144531	-0.406528	0.139431	-1.011964	50
0	3	-0.262327	-0.503886	0.017287	-1.883417	50
0	4	-0.081036	-0.351461	0.201870	-0.563287	50
0	5	-0.326890	-0.554764	-0.053395	-2.396410	50
0	6	-0.175951	-0.433092	0.107675	-1.238342	50
0	7	-0.278238	-0.516582	0.000124	-2.006942	50
0	8	0.036093	-0.244718	0.311318	0.250223	50
0	9	-0.176988	-0.433961	0.106617	-1.245875	50
0	10	-0.258338	-0.500686	0.021566	-1.852707	50
0	11	0.100048	-0.183412	0.368148	0.696649	50
0	12	-0.146679	-0.408359	0.137278	-1.027337	50
0	13	0.016548	-0.263016	0.293548	0.114662	50
0	14	-0.097873	-0.366248	0.185534	-0.681358	50
0	15	-0.019491	-0.296237	0.260273	-0.135065	50
0	16	-0.190176	-0.444973	0.093106	-1.342068	50
0	17	0.439564	0.183686	0.639652	3.390500	50
0	18	-0.043765	-0.318241	0.237480	-0.303505	50
0	19	-0.215863	-0.466203	0.066485	-1.531652	50
0	20	0.143080	-0.140884	0.405291	1.001589	50
0	21	0.020244	-0.259571	0.296923	0.140284	50
0	22	-0.118187	-0.383910	0.165614	-0.824603	50
0	23	0.029130	-0.251260	0.305009	0.201901	50
0	24	-0.174921	-0.432229	0.108725	-1.230866	50
0	25	-0.095037	-0.363767	0.188296	-0.661432	50
0	26	0.136373	-0.147581	0.399559	0.953733	50
0	27	0.376247	0.109346	0.592543	2.813449	50
0	28	0.124427	-0.159448	0.389296	0.868806	50
0	29	0.043259	-0.237958	0.317785	0.299991	50
0	30	-0.167709	-0.426167	0.116061	-1.178618	50
0	31	-0.202192	-0.454940	0.080703	-1.430370	50
0	32	0.034916	-0.245826	0.310253	0.242052	50
0	33	-0.097533	-0.365951	0.185865	-0.678968	50
0	34	-0.311243	-0.542588	-0.036010	-2.269058	50
0	35	-0.004778	-0.282754	0.273939	-0.033101	50
0	36	0.044564	-0.236725	0.318960	0.309055	50
0	37	-0.321351	-0.550465	-0.047223	-2.351088	50
0	38	0.141081	-0.142882	0.403585	0.987315	50
0	39	-0.100082	-0.368178	0.183379	-0.696885	50
0	40	-0.186145	-0.441616	0.097246	-1.312595	50
0	41	-0.008014	-0.285729	0.270943	-0.055525	50
0	42	-0.125082	-0.389861	0.158800	-0.873451	50
0	43	0.238911	-0.042252	0.485010	1.704585	50
0	44	0.181325	-0.102185	0.437592	1.277434	50
0	45	0.008644	-0.270359	0.286308	0.059891	50
0	46	-0.105300	-0.372727	0.178278	-0.733615	50
0	47	0.040091	-0.240950	0.314929	0.277982	50
0	48	-0.114294	-0.380540	0.169450	-0.797073	50
0	49	0.404667	0.142349	0.613873	3.065857	50
0	50	-0.114595	-0.380801	0.169153	-0.799204	50
0	51	0.026557	-0.253671	0.302672	0.184054	50
0	52	0.104547	-0.179015	0.372072	0.728313	50
0	53	0.253867	-0.026347	0.497093	1.818414	50
0	54	0.221395	-0.060699	0.470738	1.572899	50
0	55	0.039307	-0.241690	0.314222	0.272538	50
0	56	-0.358724	-0.579238	-0.089286	-2.662517	50
0	57	-0.015258	-0.292369	0.264217	-0.105723	50
0	58	0.148904	-0.135046	0.410253	1.043269	50
0	59	-0.385948	-0.599858	-0.120545	-2.898499	50
0	60	0.228488	-0.053251	0.476533	1.626024	50
0	61	0.007029	-0.271855	0.284824	0.048701	50
0	62	0.161762	-0.122088	0.421151	1.135674	50
