##The total sample size is 50.
Marker1	Marker2	Correlation	Lower	Upper	t-statistic	Valid-num
0	1	-0.114910	-0.381074	0.168843	-0.801428	50
0	2	-0.151597	-0.412541	0.132340	-1.062573	50
0	3	-0.240240	-0.486087	0.040844	-1.714648	50
0	4	-0.087443	-0.357104	0.195672	-0.608152	50
0	5	-0.338007	-0.563356	-0.065850	-2.488231	50
0	6	-0.151405	-0.412378	0.132533	-1.061195	50
0	7	-0.248980	-0.493154	0.031560	-1.781069	50
0	8	-0.000336	-0.278663	0.278042	-0.002329	50
0	9	-0.246771	-0.491371	0.033911	-1.764239	50
0	10	-0.283896	-0.521072	-0.006020	-2.051292	50
0	11	0.074958	-0.207729	0.346089	0.520789	50
0	12	-0.059496	-0.332344	0.222542	-0.412930	50
0	13	-0.019736	-0.296460	0.260045	-0.136761	50
0	14	-0.013013	-0.290314	0.266304	-0.090166	50
0	15	-0.022905	-0.299349	0.257087	-0.158733	50
0	16	-0.163557	-0.422667	0.120271	-1.148626	50
0	17	0.407059	0.145153	0.615654	3.087564	50
0	18	-0.085330	-0.355245	0.197719	-0.593349	50
0	19	-0.185210	-0.440836	0.098205	-1.305764	50
0	20	0.114718	-0.169032	0.380907	0.800071	50
0	21	0.027995	-0.252324	0.303979	0.194032	50
0	22	-0.130564	-0.394577	0.153362	-0.912386	50
0	23	-0.002737	-0.280876	0.275826	-0.018963	50
0	24	-0.170996	-0.428933	0.112721	-1.202407	50
0	25	-0.078703	-0.349402	0.204121	-0.546970	50
0	26	0.158223	-0.125664	0.418159	1.110188	50
0	27	0.319856	0.045560	0.549303	2.338898	50
0	28	0.119328	-0.164488	0.384896	0.832676	50
0	29	-0.064970	-0.337224	0.217313	-0.451078	50
0	30	-0.129892	-0.393999	0.154030	-0.907607	50
0	31	-0.144970	-0.406903	0.138991	-1.015105	50
0	32	0.128739	-0.155174	0.393009	0.899418	50
0	33	-0.104634	-0.372148	0.178930	-0.728926	50
0	34	-0.288355	-0.524601	-0.010876	-2.086408	50
0	35	0.030876	-0.249622	0.306594	0.214020	50
0	36	0.019736	-0.260045	0.296460	0.136761	50
0	37	-0.296711	-0.531192	-0.020011	-2.152609	50
0	38	0.155726	-0.128183	0.416045	1.092228	50
0	39	-0.144682	-0.406657	0.139280	-1.013044	50
0	40	-0.125954	-0.390612	0.157935	-0.879643	50
0	41	-0.126819	-0.391356	0.157079	-0.885778	50
0	42	-0.034526	-0.309900	0.246193	-0.239345	50
0	43	0.144010	-0.139953	0.406084	1.008237	50
0	44	0.206243	-0.076502	0.458286	1.460285	50
0	45	0.005906	-0.272895	0.283792	0.040921	50
0	46	-0.015894	-0.292951	0.263625	-0.110133	50
0	47	-0.059688	-0.332516	0.222359	-0.414268	50
0	48	-0.094358	-0.363172	0.188958	-0.656659	50
0	49	0.352605	0.082333	0.574565	2.610592	50
0	50	-0.165618	-0.424406	0.118183	-1.163505	50
0	51	0.035006	-0.245741	0.310335	0.242677	50
0	52	0.064586	-0.217680	0.336882	0.448400	50
0	53	0.199520	-0.083468	0.452729	1.410677	50
0	54	0.226795	-0.055032	0.475152	1.613319	50
0	55	0.025018	-0.255111	0.301273	0.173384	50
0	56	-0.365282	-0.584232	-0.096769	-2.718613	50
0	57	-0.080240	-0.350758	0.202638	-0.557718	50
0	58	0.149676	-0.134271	0.410909	1.048800	50
0	59	-0.327635	-0.555342	-0.054228	-2.402531	50
0	60	0.270012	-0.009018	0.510031	1.942862	50
0	61	-0.129508	-0.393669	0.154411	-0.904877	50
0	62	0.132485	-0.151453	0.396226	0.926046	50
0	63	-0.329940	-0.557126	-0.056804	-2.421490	50
0	64	0.103577	-0.179964	0.371227	0.721486	50
0	65	-0.075342	-0.346429	0.207359	-0.523473	50
0	66	-0.153229	-0.413927	0.130698	-1.074290	50
0	67	-0.012245	-0.289610	0.267018	-0.084842	50
0	68	0.120576	-0.163256	0.385974	0.841516	50
0	69	-0.151501	-0.412459	0.132437	-1.061884	50
0	70	-0.119328	-0.384896	0.164488	-0.832676	50
0	71	-0.241969	-0.487488	0.039011	-1.727751	50
0	72	-0.181465	-0.437708	0.102042	-1.278449	50
