Marker1	Marker2	Correlation	Lower	Upper	t-statistic
A1BG	A1BG-AS1	-0.114910	-0.381074	0.168843	-0.801428
A1BG	A1CF	-0.151597	-0.412541	0.132340	-1.062573
A1BG	A2M	-0.240240	-0.486087	0.040844	-1.714648
A1BG	A2M-AS1	-0.087443	-0.357104	0.195672	-0.608152
A1BG	A2ML1	-0.338007	-0.563356	-0.065850	-2.488231
A1BG	A2MP1	-0.151405	-0.412378	0.132533	-1.061195
A1BG	A4GALT	-0.248980	-0.493154	0.031560	-1.781069
A1BG	A4GNT	-0.000336	-0.278663	0.278042	-0.002329
A1BG	AA06	-0.246771	-0.491371	0.033911	-1.764239
A1BG	AAAS	-0.283896	-0.521072	-0.006020	-2.051292
A1BG	AACS	0.074958	-0.207729	0.346089	0.520789
A1BG	AACSP1	-0.059496	-0.332344	0.222542	-0.412930
A1BG	AADAC	-0.019736	-0.296460	0.260045	-0.136761
A1BG	AADACL2	-0.013013	-0.290314	0.266304	-0.090166
A1BG	AADACP1	-0.022905	-0.299349	0.257087	-0.158733
A1BG	AADAT	-0.163557	-0.422667	0.120271	-1.148626
A1BG	AAED1	0.407059	0.145153	0.615654	3.087564
A1BG	AAGAB	-0.085330	-0.355245	0.197719	-0.593349
A1BG	AAK1	-0.185210	-0.440836	0.098205	-1.305764
A1BG	AAMDC	0.114718	-0.169032	0.380907	0.800071
A1BG	AAMP	0.027995	-0.252324	0.303979	0.194032
A1BG	AANAT	-0.130564	-0.394577	0.153362	-0.912386
A1BG	AAR2	-0.002737	-0.280876	0.275826	-0.018963
A1BG	AARS	-0.170996	-0.428933	0.112721	-1.202407
A1BG	AARS2	-0.078703	-0.349402	0.204121	-0.546970
A1BG	AARSD1	0.158223	-0.125664	0.418159	1.110188
A1BG	AASDH	0.319856	0.045560	0.549303	2.338898
A1BG	AASDHPPT	0.119328	-0.164488	0.384896	0.832676
A1BG	AASS	-0.064970	-0.337224	0.217313	-0.451078
A1BG	AATF	-0.129892	-0.393999	0.154030	-0.907607
A1BG	AATK	-0.144970	-0.406903	0.138991	-1.015105
A1BG	AB074162	0.128739	-0.155174	0.393009	0.899418
A1BG	AB488780	-0.104634	-0.372148	0.178930	-0.728926
A1BG	ABAT	-0.288355	-0.524601	-0.010876	-2.086408
A1BG	ABCA1	0.030876	-0.249622	0.306594	0.214020
A1BG	ABCA11P	0.019736	-0.260045	0.296460	0.136761
A1BG	ABCA12	-0.296711	-0.531192	-0.020011	-2.152609
A1BG	ABCA13	0.155726	-0.128183	0.416045	1.092228
A1BG	ABCA17P	-0.144682	-0.406657	0.139280	-1.013044
A1BG	ABCA2	-0.125954	-0.390612	0.157935	-0.879643
A1BG	ABCA3	-0.126819	-0.391356	0.157079	-0.885778
A1BG	ABCA4	-0.034526	-0.309900	0.246193	-0.239345
A1BG	ABCA5	0.144010	-0.139953	0.406084	1.008237
A1BG	ABCA6	0.206243	-0.076502	0.458286	1.460285
A1BG	ABCA7	0.005906	-0.272895	0.283792	0.040921
A1BG	ABCA8	-0.015894	-0.292951	0.263625	-0.110133
A1BG	ABCA9	-0.059688	-0.332516	0.222359	-0.414268
A1BG	ABCB1	-0.094358	-0.363172	0.188958	-0.656659
A1BG	ABCB10	0.352605	0.082333	0.574565	2.610592
A1BG	ABCB11	-0.165618	-0.424406	0.118183	-1.163505
A1BG	ABCB4	0.035006	-0.245741	0.310335	0.242677
A1BG	ABCB5	0.064586	-0.217680	0.336882	0.448400
A1BG	ABCB6	0.199520	-0.083468	0.452729	1.410677
A1BG	ABCB7	0.226795	-0.055032	0.475152	1.613319
A1BG	ABCB8	0.025018	-0.255111	0.301273	0.173384
A1BG	ABCB9	-0.365282	-0.584232	-0.096769	-2.718613
A1BG	ABCC1	-0.080240	-0.350758	0.202638	-0.557718
A1BG	ABCC10	0.149676	-0.134271	0.410909	1.048800
A1BG	ABCC11	-0.327635	-0.555342	-0.054228	-2.402531
A1BG	ABCC12	0.270012	-0.009018	0.510031	1.942862
A1BG	ABCC13	-0.129508	-0.393669	0.154411	-0.904877
A1BG	ABCC2	0.132485	-0.151453	0.396226	0.926046
A1BG	ABCC3	-0.329940	-0.557126	-0.056804	-2.421490
A1BG	ABCC4	0.103577	-0.179964	0.371227	0.721486
A1BG	ABCC5	-0.075342	-0.346429	0.207359	-0.523473
A1BG	ABCC6	-0.153229	-0.413927	0.130698	-1.074290
A1BG	ABCC6P1	-0.012245	-0.289610	0.267018	-0.084842
A1BG	ABCC6P2	0.120576	-0.163256	0.385974	0.841516
A1BG	ABCC8	-0.151501	-0.412459	0.132437	-1.061884
A1BG	ABCC9	-0.119328	-0.384896	0.164488	-0.832676
A1BG	ABCD1	-0.241969	-0.487488	0.039011	-1.727751
A1BG	ABCD1P2	-0.181465	-0.437708	0.102042	-1.278449
A1BG	ABCD2	0.273854	-0.004870	0.513094	1.972728
A1BG	ABCD3	0.299496	0.023066	0.533383	2.174796
A1BG	ABCD4	0.278367	0.000016	0.516685	2.007951
A1BG	ABCE1	0.379208	0.112757	0.594779	2.839290
A1BG	ABCF1	-0.082161	-0.352453	0.200784	-0.571158
A1BG	ABCF2	0.058535	-0.223458	0.331487	0.406242
A1BG	ABCF3	-0.045090	-0.319433	0.236227	-0.312711
A1BG	ABCG1	-0.102617	-0.370390	0.180903	-0.714725
A1BG	ABCG2	0.212101	-0.070409	0.463112	1.503690
A1BG	ABCG4	-0.044226	-0.318655	0.237045	-0.306705
A1BG	ABCG5	-0.215846	-0.466190	0.066502	-1.531530
A1BG	ABCG8	-0.022233	-0.298737	0.257715	-0.154072
A1BG	ABHD1	0.079568	-0.203287	0.350165	0.553015
A1BG	ABHD10	0.315438	0.040655	0.545862	2.302997
A1BG	ABHD11	-0.337719	-0.563134	-0.065526	-2.485837
