##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	1	0.030398	-0.369174	0.420485	0.145850	25	0.213201	0.628373	0.310274	0.819927	3.873918	25	0.213201	-2.349216	0.018813
0	2	0.071257	-0.333264	0.453622	0.342606	25	0.213201	-0.464021	-0.726038	-0.084349	-2.512198	25	0.213201	1.903084	0.057030
0	3	-0.404920	-0.689705	-0.011646	-2.123832	25	0.213201	0.252333	-0.158620	0.588766	1.250615	25	0.213201	-2.279924	0.022612
0	4	-0.110333	-0.484354	0.297787	-0.532388	25	0.213201	-0.346656	-0.652426	0.056176	-1.772409	25	0.213201	0.831991	0.405414
0	5	-0.345868	-0.651912	0.057069	-1.767830	25	0.213201	0.074436	-0.330420	0.456157	0.357975	25	0.213201	-1.443781	0.148800
0	6	-0.228874	-0.572258	0.182795	-1.127571	25	0.213201	-0.253373	-0.589492	0.157537	-1.256121	25	0.213201	0.086274	0.931249
0	7	-0.354736	-0.657686	0.046988	-1.819588	25	0.213201	-0.107275	-0.481982	0.300604	-0.517459	25	0.213201	-0.872809	0.382767
0	8	-0.208376	-0.557602	0.203518	-1.021767	25	0.213201	0.275808	-0.133924	0.605010	1.376106	25	0.213201	-1.640446	0.100913
0	9	-0.325795	-0.638709	0.079588	-1.652624	25	0.213201	0.951946	0.892536	0.978879	14.906599	25	0.213201	-7.264227	3.751764e-13
0	10	-0.134228	-0.502703	0.275522	-0.649615	25	0.213201	0.755006	0.512874	0.885863	5.522004	25	0.213201	-3.713091	0.000205
0	11	-0.026761	-0.417484	0.372313	-0.128387	25	0.213201	-0.113707	-0.486965	0.294670	-0.548880	25	0.213201	0.289985	0.771828
0	12	-0.200108	-0.551628	0.211775	-0.979494	25	0.213201	-0.672184	-0.843329	-0.377244	-4.354062	25	0.213201	2.029347	0.042423
0	13	0.278861	-0.130676	0.607103	1.392612	25	0.213201	0.000618	-0.394616	0.395659	0.002962	25	0.213201	0.947986	0.343137
0	14	-0.183614	-0.539602	0.228070	-0.895813	25	0.213201	0.551848	0.200412	0.777457	3.173559	25	0.213201	-2.675706	0.007457
0	15	-0.282903	-0.609866	0.126359	-1.414543	25	0.213201	0.843642	0.672777	0.929070	7.535689	25	0.213201	-5.056222	4.276425e-07
0	16	-0.134294	-0.502753	0.275460	-0.649941	25	0.213201	0.611983	0.286007	0.811005	3.711059	25	0.213201	-2.809833	0.004957
0	17	0.410604	0.018462	0.693263	2.159640	25	0.213201	0.030433	-0.369143	0.420514	0.146020	25	0.213201	1.346203	0.178237
0	18	-0.113601	-0.486883	0.294768	-0.548361	25	0.213201	0.129354	-0.280100	0.498987	0.625616	25	0.213201	-0.809841	0.418032
0	19	-0.177418	-0.535046	0.234133	-0.864581	25	0.213201	-0.600918	-0.804929	-0.269856	-3.605479	25	0.213201	1.708947	0.087461
0	20	-0.149268	-0.514084	0.261280	-0.723977	25	0.213201	0.378821	-0.019189	0.673191	1.963069	25	0.213201	-1.821073	0.068596
0	21	-0.093780	-0.471447	0.312954	-0.451744	25	0.213201	0.597655	0.265130	0.803129	3.574983	25	0.213201	-2.598734	0.009357
0	22	-0.137302	-0.505039	0.272626	-0.664773	25	0.213201	0.110355	-0.297767	0.484371	0.532497	25	0.213201	-0.825776	0.408931
0	23	-0.073150	-0.455132	0.331571	-0.351756	25	0.213201	0.537720	0.181051	0.769384	3.058641	25	0.213201	-2.236144	0.025342
0	24	-0.264817	-0.597439	0.145550	-1.317040	25	0.213201	0.838572	0.663181	0.926660	7.382018	25	0.213201	-4.933897	8.060495e-07
0	25	-0.217131	-0.563889	0.194712	-1.066774	25	0.213201	0.557771	0.208611	0.780819	3.222884	25	0.213201	-2.819911	0.004804
0	26	0.273915	-0.135935	0.603710	1.365889	25	0.213201	0.716487	0.448256	0.866351	4.925674	25	0.213201	-2.053978	0.039978
0	27	0.333783	-0.070676	0.643985	1.698158	25	0.213201	0.573359	0.230426	0.789607	3.356181	25	0.213201	-1.013006	0.311057
0	28	0.181569	-0.230075	0.538100	0.885491	25	0.213201	0.776670	0.550466	0.896637	5.913214	25	0.213201	-2.830137	0.004653
0	29	-0.025194	-0.416188	0.373664	-0.120862	25	0.213201	0.345889	-0.057045	0.651925	1.767951	25	0.213201	-1.280102	0.200509
0	30	-0.269207	-0.600470	0.140920	-1.340564	25	0.213201	0.658096	0.355369	0.835874	4.191764	25	0.213201	-3.533723	0.000410
0	31	-0.010776	-0.404192	0.386005	-0.051681	25	0.213201	0.355372	-0.046261	0.658099	1.823324	25	0.213201	-1.268129	0.204752
0	32	-0.156957	-0.519853	0.253929	-0.762188	25	0.213201	0.392123	-0.003567	0.681645	2.044276	25	0.213201	-1.899006	0.057564
0	33	-0.144557	-0.510533	0.265761	-0.700630	25	0.213201	0.469941	0.091862	0.729598	2.553262	25	0.213201	-2.174285	0.029684
0	34	-0.309871	-0.628102	0.097163	-1.563023	25	0.213201	0.210826	-0.201061	0.559365	1.034332	25	0.213201	-1.772530	0.076307
0	35	-0.051793	-0.437967	0.350518	-0.248724	25	0.213201	0.861399	0.706855	0.937454	8.133288	25	0.213201	-4.479377	7.486112e-06
0	36	0.121897	-0.287067	0.493275	0.588990	25	0.213201	0.448348	0.064667	0.716543	2.405527	25	0.213201	-1.194398	0.232322
0	37	-0.513647	-0.755456	-0.148687	-2.871046	25	0.213201	0.361749	-0.038957	0.662227	1.860919	25	0.213201	-3.139410	0.001693
0	38	0.063414	-0.340249	0.447342	0.304734	25	0.213201	-0.502469	-0.748914	-0.133921	-2.787153	25	0.213201	2.043383	0.041015
0	39	-0.177153	-0.534851	0.234391	-0.863251	25	0.213201	0.388437	-0.007915	0.679310	2.021625	25	0.213201	-1.953492	0.050761
0	40	-0.281462	-0.608882	0.127900	-1.406715	25	0.213201	0.611766	0.285688	0.810886	3.708953	25	0.213201	-3.319967	0.000900
0	41	-0.010034	-0.403571	0.386636	-0.048125	25	0.213201	0.771230	0.540940	0.893945	5.810471	25	0.213201	-3.427372	0.000609
0	42	-0.281488	-0.608900	0.127872	-1.406857	25	0.213201	0.647707	0.339444	0.830334	4.077088	25	0.213201	-3.517730	0.000435
0	43	0.214939	-0.196923	0.562319	1.055482	25	0.213201	-0.194438	-0.547511	0.217402	-0.950637	25	0.213201	1.377361	0.168401
0	44	0.225376	-0.186357	0.569773	1.109410	25	0.213201	0.445626	0.061279	0.714884	2.387290	25	0.213201	-0.828879	0.407173
0	45	-0.139917	-0.507023	0.270156	-0.677685	25	0.213201	0.555421	0.205352	0.779487	3.203230	25	0.213201	-2.543945	0.010961
0	46	-0.173485	-0.532144	0.237965	-0.844815	25	0.213201	0.847023	0.679212	0.930673	7.642062	25	0.213201	-4.712195	2.450628e-06
0	47	0.189971	-0.221817	0.544254	0.927969	25	0.213201	0.021117	-0.377167	0.412810	0.101298	25	0.213201	0.567762	0.570196
0	48	0.000517	-0.394701	0.395573	0.002477	25	0.213201	0.444517	0.059901	0.714207	2.379883	25	0.213201	-1.583123	0.113393
0	49	0.551990	0.200608	0.777537	3.174731	25	0.213201	0.815910	0.620972	0.915798	6.767751	25	0.213201	-1.735326	0.082683
0	50	-0.066337	-0.449687	0.337651	-0.318844	25	0.213201	0.553378	0.202524	0.778326	3.186226	25	0.213201	-2.287380	0.022174
0	51	-0.071853	-0.454098	0.332731	-0.345489	25	0.213201	-0.575648	-0.790890	-0.233658	-3.376199	25	0.213201	1.936749	0.052776
0	52	0.175848	-0.235664	0.533889	0.856687	25	0.213201	0.680522	0.390350	0.847711	4.454142	25	0.213201	-2.163738	0.030484
0	53	0.261682	-0.148846	0.595268	1.300293	25	0.213201	0.793226	0.579825	0.904776	6.247337	25	0.213201	-2.693625	0.007068
0	54	0.252010	-0.158956	0.588542	1.248908	25	0.213201	0.423720	0.034331	0.701420	2.243438	25	0.213201	-0.645612	0.518531
0	55	0.155973	-0.254872	0.519117	0.757289	25	0.213201	-0.097472	-0.474341	0.309589	-0.469698	25	0.213201	0.845870	0.397625
0	56	-0.293427	-0.617024	0.115050	-1.472021	25	0.213201	-0.643968	-0.828331	-0.333757	-4.036795	25	0.213201	1.534309	0.124954
0	57	-0.196746	-0.549188	0.215115	-0.962369	25	0.213201	0.547055	0.193813	0.774726	3.134149	25	0.213201	-2.698121	0.006973
0	58	0.063550	-0.340128	0.447452	0.305395	25	0.213201	0.360466	-0.040431	0.661398	1.853326	25	0.213201	-1.040706	0.298012
0	59	-0.535574	-0.768151	-0.178135	-3.041515	25	0.213201	-0.058770	-0.443606	0.344364	-0.282341	25	0.213201	-1.787961	0.073782
0	60	0.342253	-0.061155	0.649547	1.746884	25	0.213201	0.391731	-0.004030	0.681397	2.041865	25	0.213201	-0.189717	0.849531
0	61	0.361809	-0.038888	0.662266	1.861273	25	0.213201	-0.043322	-0.431080	0.357942	-0.207962	25	0.213201	1.400662	0.161315
0	62	0.217546	-0.194293	0.564185	1.068913	25	0.213201	0.803506	0.598339	0.909790	6.473218	25	0.213201	-2.943010	0.003250
0	63	-0.325272	-0.638362	0.080170	-1.649655	25	0.213201	0.532413	0.173850	0.766332	3.016433	25	0.213201	-3.087905	0.002016
0	64	0.527057	0.166620	0.763242	2.974331	25	0.213201	0.251702	-0.159277	0.588326	1.247274	25	0.213201	1.090614	0.275443
0	65	0.001517	-0.393856	0.396417	0.007275	25	0.213201	0.440080	0.054403	0.711494	2.350389	25	0.213201	-1.561512	0.118403
0	66	-0.137831	-0.505441	0.272127	-0.667383	25	0.213201	0.598133	0.265821	0.803393	3.579430	25	0.213201	-2.749311	0.005972
0	67	0.009414	-0.387163	0.403052	0.045151	25	0.213201	0.564814	0.218424	0.784800	3.282468	25	0.213201	-2.090998	0.036528
0	68	0.059759	-0.343489	0.444403	0.287106	25	0.213201	0.239849	-0.171546	0.580017	1.184863	25	0.213201	-0.612860	0.539969
0	69	0.020002	-0.378124	0.411884	0.095947	25	0.213201	-0.644574	-0.828657	-0.334678	-4.043297	25	0.213201	2.606751	0.009141
0	70	-0.232549	-0.574863	0.179040	-1.146703	25	0.213201	0.894535	0.772420	0.952868	9.597442	25	0.213201	-5.575435	2.469125e-08
0	71	-0.372530	-0.669166	0.026510	-1.925164	25	0.213201	0.301787	-0.105989	0.622673	1.518103	25	0.213201	-2.331065	0.019750
0	72	-0.083858	-0.463633	0.321947	-0.403593	25	0.213201	0.633771	0.318360	0.822846	3.929385	25	0.213201	-2.758602	0.005805
0	73	0.520554	0.157894	0.759475	2.923875	25	0.213201	0.648897	0.341260	0.830971	4.090021	25	0.213201	-0.651026	0.515030
0	74	0.374653	-0.024044	0.670526	1.937920	25	0.213201	0.149902	-0.260676	0.514561	0.727120	25	0.213201	0.805226	0.420690
0	75	0.314394	-0.092197	0.631127	1.588318	25	0.213201	0.478206	0.102423	0.734546	2.611334	25	0.213201	-0.647547	0.517278
0	76	0.525193	0.164113	0.762164	2.959800	25	0.213201	0.687913	0.402065	0.851575	4.545530	25	0.213201	-0.863975	0.387601
0	77	-0.100488	-0.476697	0.306833	-0.484375	25	0.213201	0.813705	0.616924	0.914733	6.713470	25	0.213201	-4.108389	0.000040
0	78	0.158231	-0.252707	0.520806	0.768529	25	0.213201	0.606217	0.277568	0.807844	3.655625	25	0.213201	-1.802080	0.071533
