Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
A1BG	A1BG-AS1	-0.025385	-0.416346	0.373499	-0.121780	25	0.213201	0.576154	0.234374	0.791173	3.380641	25	0.213201	-2.262191	0.023686
A1BG	A1CF	0.156923	-0.253962	0.519828	0.762017	25	0.213201	-0.262024	-0.595505	0.148487	-1.302117	25	0.213201	1.414576	0.157193
A1BG	A2M	-0.453846	-0.719885	-0.071538	-2.442620	25	0.213201	0.028462	-0.370846	0.418888	0.136552	25	0.213201	-1.718021	0.085793
A1BG	A2M-AS1	-0.254615	-0.590358	0.156241	-1.262708	25	0.213201	-0.071538	-0.453847	0.333012	-0.343968	25	0.213201	-0.625785	0.531456
A1BG	A2ML1	-0.390769	-0.680788	0.005166	-2.035944	25	0.213201	0.130769	-0.278773	0.500067	0.632579	25	0.213201	-1.805007	0.071074
A1BG	A2MP1	-0.272308	-0.602605	0.137640	-1.357231	25	0.213201	-0.005385	-0.399672	0.390584	-0.025824	25	0.213201	-0.908656	0.363532
A1BG	A4GALT	-0.363077	-0.663085	0.037430	-1.868783	25	0.213201	-0.203885	-0.554362	0.208010	-0.998779	25	0.213201	-0.575907	0.564678
A1BG	A4GNT	-0.260000	-0.594102	0.150610	-1.291327	25	0.213201	0.235385	-0.176135	0.576868	1.161500	25	0.213201	-1.678181	0.093312
A1BG	AA06	-0.312308	-0.629733	0.094490	-1.576637	25	0.213201	0.734270	0.477744	0.875416	5.187295	25	0.213201	-4.182366	0.000029
A1BG	AAAS	-0.190769	-0.544837	0.221029	-0.932014	25	0.213201	0.655385	0.351195	0.834432	4.161438	25	0.213201	-3.243046	0.001183
A1BG	AACS	-0.051538	-0.437761	0.350742	-0.247499	25	0.213201	0.170769	-0.240603	0.530135	0.831190	25	0.213201	-0.743067	0.457441
A1BG	AACSP1	-0.123077	-0.494181	0.285968	-0.594778	25	0.213201	-0.410769	-0.693366	-0.018661	-2.160683	25	0.213201	1.037547	0.299481
A1BG	AADAC	0.254615	-0.156241	0.590358	1.262708	25	0.213201	-0.176572	-0.534423	0.234958	-0.860329	25	0.213201	1.455284	0.145591
A1BG	AADACL2	-0.098462	-0.475114	0.308686	-0.474511	25	0.213201	0.683846	0.395607	0.849451	4.494919	25	0.213201	-3.101326	0.001927
A1BG	AADACP1	-0.311538	-0.629219	0.095335	-1.572336	25	0.213201	0.836923	0.660071	0.925874	7.333439	25	0.213201	-5.084588	3.684248e-07
A1BG	AADAT	-0.092308	-0.470292	0.314293	-0.444590	25	0.213201	0.574341	0.231812	0.790157	3.364757	25	0.213201	-2.476021	0.013286
A1BG	AAED1	0.418462	0.027945	0.698159	2.209640	25	0.213201	0.197692	-0.214176	0.549876	0.967187	25	0.213201	0.814217	0.415520
A1BG	AAGAB	-0.079231	-0.459968	0.326116	-0.381176	25	0.213201	0.226923	-0.184783	0.570873	1.117436	25	0.213201	-1.029282	0.303347
A1BG	AAK1	-0.208462	-0.557664	0.203433	-1.022204	25	0.213201	-0.224615	-0.569231	0.187131	-1.105465	25	0.213201	0.056213	0.955172
A1BG	AAMDC	-0.166923	-0.527282	0.244330	-0.811926	25	0.213201	0.124615	-0.284532	0.495361	0.602329	25	0.213201	-0.974313	0.329901
A1BG	AAMP	-0.075385	-0.456912	0.329570	-0.362564	25	0.213201	0.565385	0.219223	0.785122	3.287342	25	0.213201	-2.375501	0.017525
A1BG	AANAT	-0.188462	-0.543151	0.223305	-0.920321	25	0.213201	0.063474	-0.340196	0.447390	0.305025	25	0.213201	-0.843420	0.398994
A1BG	AAR2	-0.069231	-0.452003	0.335073	-0.332818	25	0.213201	0.741340	0.489630	0.878993	5.297544	25	0.213201	-3.392207	0.000693
A1BG	AARS	-0.296923	-0.619390	0.111269	-1.491246	25	0.213201	0.636154	0.321943	0.824131	3.954168	25	0.213201	-3.508418	0.000451
A1BG	AARS2	-0.176154	-0.534114	0.235366	-0.858225	25	0.213201	0.471538	0.093896	0.730557	2.564416	25	0.213201	-2.288661	0.022099
A1BG	AARSD1	0.173846	-0.237614	0.532411	0.846629	25	0.213201	0.634353	0.319233	0.823160	3.935417	25	0.213201	-1.900547	0.057361
A1BG	AASDH	0.267692	-0.142520	0.599425	1.332435	25	0.213201	0.635122	0.320390	0.823575	3.943413	25	0.213201	-1.577316	0.114723
A1BG	AASDHPPT	0.226154	-0.185566	0.570326	1.113443	25	0.213201	0.813846	0.617183	0.914801	6.716918	25	0.213201	-3.012104	0.002594
A1BG	AASS	-0.128462	-0.498305	0.280936	-0.621227	25	0.213201	0.287692	-0.121226	0.613130	1.440630	25	0.213201	-1.410308	0.158449
A1BG	AATF	-0.189231	-0.543714	0.222547	-0.924217	25	0.213201	0.534463	0.176627	0.767512	3.032679	25	0.213201	-2.613207	0.008970
A1BG	AATK	0.040769	-0.360170	0.428996	0.195685	25	0.213201	0.140000	-0.270078	0.507086	0.678095	25	0.213201	-0.332106	0.739809
A1BG	AB074162	-0.109231	-0.483500	0.298803	-0.527006	25	0.213201	0.111538	-0.296674	0.485288	0.538278	25	0.213201	-0.735205	0.462214
A1BG	AB488780	-0.168462	-0.528424	0.242841	-0.819627	25	0.213201	0.364686	-0.035579	0.664122	1.878329	25	0.213201	-1.831979	0.066955
A1BG	ABAT	-0.290000	-0.614699	0.118744	-1.453242	25	0.213201	0.041931	-0.359157	0.429945	0.201272	25	0.213201	-1.129384	0.258736
A1BG	ABCA1	-0.080769	-0.461188	0.324732	-0.388625	25	0.213201	0.760769	0.522786	0.888743	5.621564	25	0.213201	-3.578586	0.000345
A1BG	ABCA11P	0.120769	-0.288117	0.492409	0.583459	25	0.213201	0.376299	-0.022129	0.671579	1.947834	25	0.213201	-0.910012	0.362816
A1BG	ABCA12	-0.535385	-0.768042	-0.177877	-3.040006	25	0.213201	0.353846	-0.048003	0.657108	1.814370	25	0.213201	-3.208824	0.001333
A1BG	ABCA13	0.096154	-0.310792	0.473308	0.463284	25	0.213201	-0.286154	-0.612083	0.122877	-1.432237	25	0.213201	1.296216	0.194901
A1BG	ABCA17P	-0.266923	-0.598894	0.143332	-1.328312	25	0.213201	0.136923	-0.272984	0.504752	0.662903	25	0.213201	-1.364249	0.172489
A1BG	ABCA2	-0.223077	-0.568135	0.188693	-1.097495	25	0.213201	0.532128	0.173464	0.766168	3.014177	25	0.213201	-2.719635	0.006535
A1BG	ABCA3	-0.073077	-0.455074	0.331637	-0.351404	25	0.213201	0.739515	0.486554	0.878071	5.268728	25	0.213201	-3.391634	0.000695
A1BG	ABCA4	-0.226923	-0.570873	0.184783	-1.117436	25	0.213201	0.667692	0.370234	0.840959	4.301423	25	0.213201	-3.441033	0.000579
A1BG	ABCA5	0.150000	-0.260582	0.514635	0.727607	25	0.213201	0.141538	-0.268622	0.508251	0.685698	25	0.213201	0.028673	0.977125
