Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
0	0	50.000000	2.000000	3.007354	6.110167	21.193501	5.175699e-26	-0.075954	-1.734172	0.089306
0	1	50.000000	2.000000	0.142565	4.892404	14.602308	2.770453e-19	0.019218	0.377578	0.707409
0	2	50.000000	2.000000	1.833434	3.061400	12.093513	3.522438e-16	0.052073	1.354043	0.182064
0	3	50.000000	2.000000	0.000351	4.029235	12.077754	3.693469e-16	-0.000949	-0.018730	0.985134
0	4	50.000000	2.000000	0.513933	8.277054	9.095062	5.141430e-12	-0.099113	-0.716891	0.476916
0	5	50.000000	2.000000	0.518956	2.746952	11.208529	5.306278e-15	0.026821	0.720387	0.474781
0	6	50.000000	2.000000	0.994073	3.901778	9.179657	3.865094e-12	0.064381	0.997032	0.323749
0	7	50.000000	2.000000	6.172074	4.379808	19.925711	7.432767e-25	0.082960	2.484367	0.016519
0	8	50.000000	2.000000	0.171737	4.653190	13.941184	1.689420e-18	-0.021013	-0.414411	0.680419
0	9	50.000000	2.000000	3.518521	3.717618	10.316124	9.053183e-14	0.102692	1.875772	0.066775
0	10	50.000000	2.000000	0.548519	5.526586	14.608099	2.727556e-19	0.042567	0.740622	0.462531
0	11	50.000000	2.000000	0.006231	6.548554	27.054764	1.028804e-30	0.002903	0.078937	0.937411
0	12	50.000000	2.000000	0.339154	2.983842	7.961905	2.514274e-10	0.033156	0.582369	0.563044
0	13	50.000000	2.000000	0.066337	3.564776	12.390306	1.450872e-16	-0.011257	-0.257560	0.797848
0	14	50.000000	2.000000	0.162491	2.184060	6.537261	3.770297e-08	-0.020459	-0.403103	0.688663
0	15	50.000000	2.000000	0.398906	2.062345	4.613129	0.000030	0.042895	0.631590	0.530651
0	16	50.000000	2.000000	0.819488	2.900444	8.145598	1.328084e-10	0.048969	0.905255	0.369852
0	17	50.000000	2.000000	1.309571	7.019581	18.273809	2.945120e-23	-0.066781	-1.144365	0.258147
0	18	50.000000	2.000000	4.552686	4.533921	16.227482	4.039200e-21	0.090566	2.133702	0.038005
0	19	50.000000	2.000000	4.477900	6.430734	13.839556	2.241172e-18	-0.149377	-2.116105	0.039549
0	20	50.000000	2.000000	0.112152	4.736608	13.955177	1.625103e-18	0.017268	0.334890	0.739167
0	21	50.000000	2.000000	0.570581	8.013964	42.788528	6.930804e-40	-0.021493	-0.755368	0.453719
0	22	50.000000	2.000000	0.555043	3.061036	8.096798	1.573091e-10	-0.042789	-0.745012	0.459897
0	23	50.000000	2.000000	0.097486	7.157066	39.843777	1.937631e-38	0.008520	0.312226	0.756221
0	24	50.000000	2.000000	0.001091	7.838776	29.750706	1.385220e-32	-0.001322	-0.033037	0.973782
0	25	50.000000	2.000000	2.154054	6.810594	25.940626	6.822737e-30	-0.058539	-1.467670	0.148716
0	26	50.000000	2.000000	0.032066	6.144393	23.434698	6.304806e-28	-0.007133	-0.179068	0.858638
0	27	50.000000	2.000000	0.863857	7.017805	24.251932	1.379260e-28	-0.040859	-0.929439	0.357312
0	28	50.000000	2.000000	0.822546	7.943464	28.510288	9.609439e-32	-0.038388	-0.906943	0.368968
0	29	50.000000	2.000000	0.124774	2.597364	7.402372	1.781597e-09	0.018829	0.353233	0.725460
0	30	50.000000	2.000000	0.050548	8.816026	36.954998	6.422097e-37	-0.008148	-0.224829	0.823066
0	31	50.000000	2.000000	2.021977	7.752315	25.577572	1.283354e-29	0.065474	1.421963	0.161503
0	32	50.000000	2.000000	0.050707	6.797946	9.704369	6.702338e-13	-0.023964	-0.225182	0.822794
0	33	50.000000	2.000000	0.336372	6.106086	23.082453	1.230743e-27	-0.023308	-0.579976	0.564643
0	34	50.000000	2.000000	0.088040	8.061955	15.702598	1.531849e-20	0.023143	0.296715	0.767964
0	35	50.000000	2.000000	0.005087	5.473498	11.032125	9.222192e-15	-0.005376	-0.071326	0.943434
0	36	50.000000	2.000000	0.242854	4.384863	10.738643	2.333585e-14	-0.030570	-0.492803	0.624399
0	37	50.000000	2.000000	1.903339	1.519380	4.704937	0.000022	0.067683	1.379615	0.174099
0	38	50.000000	2.000000	0.199887	1.913616	7.091146	5.330964e-09	-0.018329	-0.447087	0.656823
0	39	50.000000	2.000000	0.251347	3.829907	8.302963	7.703588e-11	-0.035132	-0.501345	0.618420
0	40	50.000000	2.000000	1.354890	4.604596	17.681934	1.170716e-22	0.046049	1.163997	0.250179
0	41	50.000000	2.000000	0.029912	5.613374	20.876280	9.958466e-26	-0.007065	-0.172949	0.863419
0	42	50.000000	2.000000	0.079543	3.349850	13.477608	6.195662e-18	0.010649	0.282034	0.779130
0	43	50.000000	2.000000	0.013994	4.724414	14.835242	1.483528e-19	0.005723	0.118294	0.906329
0	44	50.000000	2.000000	0.252485	2.555173	7.425611	1.641869e-09	-0.026267	-0.502479	0.617628
0	45	50.000000	2.000000	0.008801	8.481831	31.349661	1.266428e-33	-0.003856	-0.093810	0.925651
0	46	50.000000	2.000000	0.024246	2.743289	10.687288	2.748301e-14	0.006072	0.155712	0.876913
0	47	50.000000	2.000000	0.094359	2.263125	7.622205	8.236329e-10	-0.013856	-0.307178	0.760036
0	48	50.000000	2.000000	1.578612	5.777934	12.246477	2.226857e-16	-0.090055	-1.256428	0.215041
0	49	50.000000	2.000000	0.329715	7.029119	9.824869	4.502190e-13	-0.062410	-0.574208	0.568508
0	50	50.000000	2.000000	0.158763	3.164683	14.069848	1.183408e-18	0.013615	0.398451	0.692064
0	51	50.000000	2.000000	0.000142	4.974290	8.983246	7.505742e-12	0.001004	0.011931	0.990530
0	52	50.000000	2.000000	0.192234	2.709112	13.562412	4.875132e-18	0.013305	0.438445	0.663031
0	53	50.000000	2.000000	0.042642	4.748799	16.150705	4.899575e-21	-0.009224	-0.206500	0.837274
0	54	50.000000	2.000000	0.084096	7.508102	30.462860	4.706584e-33	-0.010858	-0.289992	0.773071
0	55	50.000000	2.000000	0.122001	4.290724	13.499502	5.823367e-18	0.016866	0.349285	0.728403
0	56	50.000000	2.000000	0.000676	4.728366	17.649139	1.265012e-22	0.001058	0.026001	0.979365
0	57	50.000000	2.000000	0.346754	6.651879	32.874611	1.431016e-34	-0.018101	-0.588858	0.558717
0	58	50.000000	2.000000	0.418970	6.897213	25.390564	1.782389e-29	-0.026712	-0.647279	0.520535
0	59	50.000000	2.000000	1.992420	3.137882	10.996488	1.031663e-14	0.061190	1.411531	0.164538
0	60	50.000000	2.000000	2.702544	3.137878	12.342690	1.671469e-16	-0.063492	-1.643941	0.106723
0	61	50.000000	2.000000	2.146589	3.745636	6.732232	1.893157e-08	0.123837	1.465124	0.149407
0	62	50.000000	2.000000	0.000003	4.344413	11.371810	3.192670e-15	-0.000096	-0.001662	0.998681
0	63	50.000000	2.000000	0.489562	5.606546	20.717230	1.386793e-25	0.028766	0.699686	0.487500
0	64	50.000000	2.000000	0.811792	5.238853	9.777277	5.267248e-13	-0.073342	-0.900995	0.372090
0	65	50.000000	2.000000	0.250481	6.317635	15.056424	8.246661e-20	0.031903	0.500481	0.619024
0	66	50.000000	2.000000	0.019153	4.561307	16.535437	1.873636e-21	-0.005800	-0.138395	0.890507
0	67	50.000000	2.000000	0.108203	3.517375	13.782523	2.627815e-18	0.012753	0.328942	0.743631
0	68	50.000000	2.000000	0.100157	4.764671	11.274898	4.314484e-15	0.020317	0.316475	0.753015
0	69	50.000000	2.000000	0.157861	4.662181	20.650705	1.593783e-25	0.013627	0.397317	0.692895
0	70	50.000000	2.000000	0.661283	2.858517	10.154332	1.530443e-13	0.034777	0.813193	0.420123
0	71	50.000000	2.000000	0.073971	5.836973	17.884157	7.278027e-23	-0.013485	-0.271978	0.786806
0	72	50.000000	2.000000	0.128067	3.251345	11.896340	6.389747e-16	0.014859	0.357864	0.722014
0	73	50.000000	2.000000	0.784169	2.461321	5.080083	6.133814e-06	0.065180	0.885533	0.380284
0	74	50.000000	2.000000	0.498297	5.937523	18.889250	7.264820e-24	-0.033709	-0.705901	0.483662
0	75	50.000000	2.000000	2.319386	5.989033	33.030380	1.151307e-34	-0.041951	-1.522952	0.134332
0	76	50.000000	2.000000	0.643954	7.034166	16.164280	4.734899e-21	-0.053051	-0.802468	0.426238
0	77	50.000000	2.000000	1.265666	8.325048	26.328684	3.502210e-30	-0.054041	-1.125019	0.266175
0	78	50.000000	2.000000	5.339830	6.531425	19.960493	6.896527e-25	-0.114871	-2.310807	0.025185
0	79	50.000000	2.000000	1.748404	7.091464	32.904205	1.372991e-34	-0.043293	-1.322274	0.192343
0	80	50.000000	2.000000	0.005094	6.395561	13.355962	8.751703e-18	0.005192	0.071374	0.943396
0	81	50.000000	2.000000	0.302775	4.261017	4.233081	0.000103	0.084145	0.550250	0.584700
0	82	50.000000	2.000000	0.483679	5.187699	16.302900	3.343376e-21	0.033620	0.695471	0.490114
0	83	50.000000	2.000000	0.000085	3.040498	7.271877	2.819642e-09	-0.000586	-0.009224	0.992679
0	84	50.000000	2.000000	0.025023	4.239492	9.292530	2.644461e-12	0.010964	0.158187	0.874973
0	85	50.000000	2.000000	0.569754	4.150241	12.325675	1.758309e-16	-0.038611	-0.754820	0.454045
0	86	50.000000	2.000000	0.708631	6.243600	14.201712	8.233645e-19	0.056223	0.841802	0.404074
0	87	50.000000	2.000000	5.130809	5.606109	28.548552	9.042018e-32	0.067574	2.265131	0.028056
0	88	50.000000	2.000000	0.901927	5.326689	15.362770	3.690785e-20	-0.050025	-0.949699	0.347023
0	89	50.000000	2.000000	0.175322	2.547330	11.109788	7.226689e-15	-0.014585	-0.418715	0.677292
0	90	50.000000	2.000000	0.032909	4.818664	6.961921	8.410991e-09	-0.019075	-0.181408	0.856811
0	91	50.000000	2.000000	0.311955	7.187855	24.507423	8.653321e-29	-0.024886	-0.558529	0.579079
0	92	50.000000	2.000000	0.039865	5.483458	17.548672	1.604904e-22	-0.009478	-0.199660	0.842590
0	93	50.000000	2.000000	0.324028	7.506862	24.142225	1.687104e-28	-0.026889	-0.569235	0.571851
0	94	50.000000	2.000000	0.000541	5.757213	16.687065	1.288356e-21	0.001219	0.023257	0.981541
0	95	50.000000	2.000000	0.187008	6.183381	34.214558	2.271131e-35	-0.011873	-0.432444	0.667356
0	96	50.000000	2.000000	3.121740	2.809743	6.237966	1.084576e-07	0.120901	1.766845	0.083612
0	97	50.000000	2.000000	1.105381	10.539663	37.943642	1.884393e-37	-0.044366	-1.051370	0.298353
0	98	50.000000	2.000000	2.252772	5.872351	14.772861	1.752543e-19	-0.090639	-1.500924	0.139925
0	99	50.000000	2.000000	1.506328	5.466519	10.627861	3.322413e-14	-0.095903	-1.227325	0.225686
1	0	50.000000	2.000000	1.926188	6.020881	20.383238	2.798512e-25	-0.063116	-1.387872	0.171585
1	1	50.000000	2.000000	0.008266	5.048700	14.845264	1.444398e-19	-0.004760	-0.090917	0.927937
1	2	50.000000	2.000000	2.169655	3.027647	11.838958	7.606148e-16	0.057995	1.472975	0.147285
1	3	50.000000	2.000000	0.239107	4.186821	12.411982	1.360467e-16	-0.025395	-0.488985	0.627079
1	4	50.000000	2.000000	0.895093	8.492585	9.242403	3.129394e-12	-0.133843	-0.946094	0.348839
1	5	50.000000	2.000000	1.322507	2.640869	10.718328	2.489483e-14	0.043624	1.150003	0.255840
1	6	50.000000	2.000000	0.402885	4.049302	9.341654	2.242822e-12	0.042360	0.634732	0.528617
1	7	50.000000	2.000000	5.494420	4.400083	19.624643	1.427314e-24	0.080914	2.344017	0.023264
1	8	50.000000	2.000000	0.523860	4.758141	14.115079	1.044702e-18	-0.037564	-0.723782	0.472712
1	9	50.000000	2.000000	4.400151	3.634278	10.033908	2.266935e-13	0.116974	2.097654	0.041226
1	10	50.000000	2.000000	0.800940	5.464851	14.287521	6.509714e-19	0.052702	0.894952	0.375279
1	11	50.000000	2.000000	0.006826	6.547394	26.686110	1.909264e-30	0.003121	0.082621	0.934496
1	12	50.000000	2.000000	0.299516	3.407047	8.965138	7.980965e-12	-0.032021	-0.547280	0.586722
1	13	50.000000	2.000000	0.074423	3.412215	11.701414	1.156968e-15	0.012248	0.272805	0.786173
1	14	50.000000	2.000000	0.108428	2.161150	6.378049	6.615852e-08	-0.017178	-0.329285	0.743373
1	15	50.000000	2.000000	0.013042	2.394265	5.262402	3.280187e-06	-0.008000	-0.114204	0.909553
1	16	50.000000	2.000000	0.045837	3.143113	8.639036	2.424876e-11	0.011992	0.214096	0.831379
1	17	50.000000	2.000000	0.390014	6.826907	17.368801	2.463660e-22	-0.037792	-0.624511	0.535249
1	18	50.000000	2.000000	5.483011	4.473022	15.933253	8.495616e-21	0.101207	2.341583	0.023401
1	19	50.000000	2.000000	6.420346	6.618277	14.309175	6.135859e-19	-0.180433	-2.533840	0.014601
1	20	50.000000	2.000000	0.432287	4.625580	13.489319	5.993613e-18	0.034711	0.657485	0.514010
1	21	50.000000	2.000000	0.081942	7.927745	41.547970	2.743478e-39	-0.008409	-0.286254	0.775915
1	22	50.000000	2.000000	0.351653	3.007537	7.831770	3.957620e-10	-0.035060	-0.593003	0.555963
1	23	50.000000	2.000000	0.014838	7.190704	39.458359	3.048026e-38	0.003418	0.121810	0.903558
1	24	50.000000	2.000000	0.547261	8.025217	30.218882	6.795070e-33	-0.030247	-0.739771	0.463042
1	25	50.000000	2.000000	3.822911	6.936342	26.494120	2.642438e-30	-0.078810	-1.955225	0.056392
1	26	50.000000	2.000000	0.008224	6.121720	23.028297	1.365082e-27	-0.003712	-0.090687	0.928118
1	27	50.000000	2.000000	0.003862	6.732527	22.750082	2.331851e-27	0.002832	0.062146	0.950704
1	28	50.000000	2.000000	1.632833	8.048007	28.732285	6.757391e-32	-0.055106	-1.277824	0.207457
1	29	50.000000	2.000000	0.183485	2.871605	8.078734	1.674909e-10	-0.023442	-0.428352	0.670311
1	30	50.000000	2.000000	0.002374	8.751071	36.170906	1.736002e-36	0.001815	0.048722	0.961343
1	31	50.000000	2.000000	3.341846	7.629717	25.159822	2.680875e-29	0.085349	1.828072	0.073757
1	32	50.000000	2.000000	0.053161	6.803907	9.582410	1.004323e-12	-0.025205	-0.230568	0.818630
1	33	50.000000	2.000000	0.563541	6.153182	23.001307	1.437525e-27	-0.030918	-0.750693	0.456502
1	34	50.000000	2.000000	0.008685	8.164995	15.676318	1.638884e-20	0.007473	0.093195	0.926136
1	35	50.000000	2.000000	0.087341	5.290906	10.529596	4.551047e-14	0.022863	0.295534	0.768860
1	36	50.000000	2.000000	0.337835	4.423738	10.698565	2.651264e-14	-0.037002	-0.581236	0.563801
1	37	50.000000	2.000000	1.409695	1.573845	4.784166	0.000017	0.060135	1.187306	0.240950
1	38	50.000000	2.000000	0.160932	1.902844	6.953524	8.664069e-09	-0.016902	-0.401163	0.690080
1	39	50.000000	2.000000	0.724466	3.993572	8.583036	2.937822e-11	-0.060973	-0.851156	0.398909
1	40	50.000000	2.000000	2.854349	4.469272	17.186592	3.815713e-22	0.067640	1.689482	0.097613
1	41	50.000000	2.000000	0.267211	5.706764	20.989641	7.874529e-26	-0.021638	-0.516925	0.607582
1	42	50.000000	2.000000	0.117860	3.505296	13.918771	1.797874e-18	-0.013311	-0.343307	0.732867
1	43	50.000000	2.000000	0.056225	4.837787	14.993395	9.743119e-20	-0.011779	-0.237118	0.813574
1	44	50.000000	2.000000	0.952720	2.719152	7.852169	3.685683e-10	-0.052039	-0.976074	0.333922
1	45	50.000000	2.000000	0.001906	8.444741	30.790304	2.887097e-33	0.001844	0.043663	0.965354
1	46	50.000000	2.000000	0.008148	2.806296	10.783811	2.021440e-14	-0.003616	-0.090264	0.928453
1	47	50.000000	2.000000	0.360963	2.351633	7.835337	3.908655e-10	-0.027762	-0.600802	0.550799
