Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
0	0	48.000000	5.000000	1.065372	6.169409	20.181479	1.489039e-23	-0.090920	-1.928914	0.060359	0.024377	0.946326	0.349270	-0.311795	-0.604500	0.548688	0.888324	0.355573	0.723899
0	1	48.000000	5.000000	0.818409	4.849452	14.104718	9.836681e-18	0.012398	0.233874	0.816192	0.039702	1.370394	0.177676	0.678044	1.168818	0.248916	-0.756930	-0.269386	0.788921
0	2	48.000000	5.000000	2.460661	3.006103	12.064071	2.159683e-15	0.070288	1.829447	0.074272	-0.026042	-1.240281	0.221597	0.095590	0.227362	0.821220	-4.224902	-2.074698	0.044034
0	3	48.000000	5.000000	0.788674	3.937002	11.555082	8.989889e-15	0.007527	0.143277	0.886740	0.010642	0.370664	0.712708	0.899954	1.565470	0.124803	-4.419122	-1.587053	0.119828
0	4	48.000000	5.000000	1.047416	8.659918	9.339537	6.585215e-12	-0.173491	-1.213484	0.231569	0.063969	0.818730	0.417455	-2.442514	-1.561227	0.125801	7.462095	0.984737	0.330262
0	5	48.000000	5.000000	0.671430	2.724180	10.951468	5.094486e-14	0.035552	0.926926	0.359138	-0.019064	-0.909508	0.368152	0.008437	0.020103	0.984054	-1.873922	-0.921799	0.361777
0	6	48.000000	5.000000	0.728800	3.829808	8.529044	8.556591e-11	0.063827	0.921884	0.361733	0.037037	0.978863	0.333123	0.851022	1.123263	0.267558	-3.267504	-0.890405	0.378203
0	7	48.000000	5.000000	2.310226	4.380996	19.555782	5.064515e-23	0.085034	2.461736	0.017913	0.000747	0.039545	0.968639	-0.107258	-0.283759	0.777957	-2.141469	-1.169667	0.248578
0	8	48.000000	5.000000	1.687095	4.602368	14.142797	8.937818e-18	-0.029188	-0.581704	0.563804	0.059454	2.168165	0.035725	0.798278	1.453870	0.153243	-4.054144	-1.524408	0.134729
0	9	48.000000	5.000000	1.279467	3.771041	9.912565	1.126163e-12	0.088413	1.507260	0.139056	0.029661	0.925262	0.359993	-0.266843	-0.415717	0.679685	-1.396742	-0.449251	0.655507
0	10	48.000000	5.000000	0.248194	5.571714	13.721822	2.602750e-17	0.035422	0.565768	0.574492	0.004618	0.134972	0.893264	-0.341581	-0.498579	0.620617	-0.331564	-0.099917	0.920875
