symbol	GSM1855317	GSM1855318	GSM1855319	GSM1855320	GSM1855321	GSM1855322	GSM2195410	GSM2195411	GSM2195412	GSM2195413	GSM2195414	GSM2195415	GSM2226784	GSM2226785	GSM2226786	GSM2226787	GSM2226788	GSM2226789	GSM2226790	GSM2226791	GSM2226792	GSM2226793	GSM2477389	GSM2477390	GSM2477391	GSM2477392	GSM2477393	GSM2477394	GSM2700243	GSM2700244	GSM2700245	GSM2700240	GSM2700241	GSM2700242	GSM2774691	GSM2774692	GSM2774693	GSM2774694	GSM2774695	GSM2774696	GSM3685851	GSM3685852	GSM3685853	GSM3685848	GSM3685849	GSM3685850	GSM3936838	GSM3936839	GSM3936840	GSM3936841
hsa-miR-1	6.785613458	6.667584064	6.698008378	6.867173359	6.858911057	6.630452374	7.258542111	6.909362629	6.787325291	7.197601304	6.680030718	6.947850739	6.063054185	6.124963872	5.865192094	5.828059399	5.764887976	5.807501956	5.863858454	5.929050923	5.793502676	5.799832797	5.745623331	5.744798935	5.748119168	5.761240753	5.747557102	5.750141363	6.959742706	6.90679427	6.952798228	7.152102104	7.253557904	7.010163775	5.825098866	5.855755015	5.821788506	5.883386919	5.828135216	5.85272457	8.04614162	8.172621021	8.399876749	8.203437774	8.173941535	8.092872814	6.244869445	6.26079325	6.201999698	6.029062533
hsa-miR-100	6.515162913	6.859589629	6.649826183	6.749252196	6.802472428	6.720013923	5.849884953	6.093283171	6.426921072	5.956280257	6.371370065	6.293819006	5.912770298	5.886769944	5.84692093	5.785788774	5.736299815	5.800502316	5.770220157	5.745667724	5.759972698	5.761056965	5.8389222	6.073884468	6.030469002	6.239141234	6.072299363	6.114737479	6.959742706	6.90679427	6.952798228	7.152102104	7.253557904	7.010163775	5.823872462	5.797004651	5.822448862	5.862064448	5.830856352	5.85272457	8.04614162	8.172621021	8.399876749	8.203437774	8.173941535	8.092872814	6.099438386	6.210670998	6.181435645	6.016201455
hsa-miR-100*	5.815840855	5.834148617	5.828718566	5.828718566	5.807583004	5.82812974	5.745150737	5.861440105	5.823358643	5.772038294	5.787584599	5.861440105	5.93123901	5.820406155	5.874866578	5.846917975	5.902685506	5.980944296	5.860523322	5.90240933	5.867858414	5.889892909	5.811901324	5.764804166	5.784857404	5.714060095	5.762774409	5.778315864	6.291595166	6.380580217	6.330721258	6.573895464	6.517572003	6.42905556	5.792418728	5.821224277	5.806479919	5.806028984	5.845917488	5.804575406	6.963874515	7.029822943	7.033624941	7.118346143	7.016886148	6.995626892	5.984525726	5.979056709	5.991203536	6.019914165
hsa-miR-101	8.79601193	9.261095434	8.966000111	8.392996269	8.481765017	9.025577396	5.745150737	5.720533309	5.753351764	6.083015813	5.782465036	5.771097783	6.579226768	6.53222069	6.629898631	6.673005579	6.620982281	6.599222882	6.599684743	6.66437772	6.579001112	6.52808791	5.867222645	5.740892304	5.746418919	5.858061181	5.755123816	5.727570469	6.928178742	6.821673995	6.831207916	7.262412737	7.415323418	7.372434089	7.115122054	7.258210151	6.921393781	5.902855992	7.12139767	7.338914677	13.24108829	11.15243869	12.92598571	10.27111404	11.17471312	10.88933997	6.490415359	6.468207954	6.708908328	6.417696323
hsa-miR-101*	5.856346998	5.845751194	5.836907325	5.844951022	5.843311121	5.843931138	5.762824357	5.728141667	5.757137036	5.927108898	6.442406148	6.608724562	6.199516159	6.688483564	6.560587852	6.562878652	6.524999337	6.832151704	6.457657909	5.863262378	6.331740613	5.862022688	5.737670788	5.719049148	5.722680682	5.746170415	5.733637266	5.735114553	5.811924199	5.888713459	5.776558778	5.786477676	5.810960156	5.753286658	8.39041961	8.635627299	7.758724383	5.92052282	8.43104468	8.757306534	5.933447248	5.954695341	5.91764128	5.961521683	5.952063736	5.903457625	7.177459009	7.219206866	7.7151312	7.034842535
hsa-miR-103	5.960923781	5.997590149	5.995048148	6.12594285	6.14729148	6.050651994	5.73171391	5.764514506	5.742235778	5.753351764	5.782465036	5.825321996	5.776136109	5.828412418	5.869173604	5.880363938	5.868326944	5.836513652	6.346806274	5.923137093	5.850330285	5.87949447	5.722227584	5.710151818	5.693275652	5.729012303	5.709013619	5.729498313	5.781653617	5.824439867	5.754226537	5.816429519	5.78366067	5.85229218	5.87141508	5.903839485	5.87141508	5.846490744	5.925155156	6.116231891	5.93991584	5.983118192	5.923888427	5.978196062	5.937366326	5.929076483	5.869613067	5.846787979	6.050111512	5.905630066
hsa-miR-103-2*	6.297019553	6.201271634	6.310280456	6.307361693	6.270222379	6.071110468	5.71880901	5.759692475	5.750117434	5.720145016	5.733164867	5.722031857	6.313231197	6.187945386	6.336099599	6.231660715	6.159017478	6.088411659	6.339210669	6.158891283	6.134786749	6.226987077	5.731055325	5.711101937	5.708031838	5.742613932	5.713388761	5.734969017	6.287572204	6.08923075	6.113321417	5.819578521	5.800063924	6.01967388	7.397815496	8.330141646	8.609661509	7.512058003	8.117691283	8.013810035	7.236742508	7.235147412	7.284564172	7.255747098	7.109328056	7.318853629	6.06788762	6.970205172	5.780716559	5.784326789
hsa-miR-103-as	5.810123873	5.834148617	5.858974684	5.811134602	6.083862028	5.808577059	5.70838708	5.816525357	5.753351764	5.743342743	5.84708254	5.771097783	5.81028865	5.846508785	5.786689515	5.770189052	5.789078979	5.793502676	5.759815538	5.798657601	5.793502676	5.764887976	5.868304991	6.070211868	5.846637417	6.049669828	5.995658461	6.15732706	7.126193306	7.297226518	7.209783069	7.483416712	7.381835585	7.356382949	10.33101751	10.10422506	10.33598638	10.30964834	10.11316632	10.07881634	7.929708457	7.815870301	7.606042779	8.019086853	7.970543377	8.070976285	5.809532204	5.804527511	5.78451623	5.752933277
hsa-miR-105	6.089918173	6.270856577	6.284478299	6.325486853	6.269179092	6.549873974	5.766065949	5.836179549	5.797698469	5.802620256	5.791422325	5.816416727	5.81028865	5.748724132	5.777026919	6.079026926	5.817527539	5.837452338	5.829029225	6.03470129	5.9822864	6.043784697	5.721875201	5.742343046	5.768257627	5.738027652	5.733724766	5.879741748	8.803433152	8.979283687	8.808000427	9.585495573	9.422573952	9.373482538	5.828082186	5.934758259	5.782716022	5.824829975	5.804559455	5.808481494	8.964440172	8.820687592	9.286155852	8.922314964	9.066742337	8.946153937	5.765011259	5.691064711	6.236791943	5.839490334
hsa-miR-105*	12.07920413	12.02627553	12.22011119	12.03582714	12.10234203	12.14291536	12.94546623	12.576592	13.47302361	13.10195474	12.91291224	13.47302361	5.81028865	5.743357814	5.786689515	5.802349331	5.772825045	5.755350443	5.802349331	5.757510003	5.772825045	5.782235942	6.847975969	6.444071678	6.640408395	6.108203457	6.494936377	6.437148709	9.007355755	9.35689317	9.199346377	9.485394275	9.369671119	9.497919334	5.863663315	5.859664334	5.802168439	5.830176428	5.850170331	5.803169206	8.785428653	8.611920084	8.676372202	8.696362683	8.869571378	8.756532026	5.910012409	5.823907806	5.702685456	5.741014913
hsa-miR-106a*	7.757610947	7.889959016	7.799766036	7.623209456	7.719900813	7.984369877	6.715086845	6.601725593	6.626933746	6.880832603	6.415462119	6.743675811	5.762567749	5.775410426	5.827166099	5.84847737	5.875989666	5.801525846	5.813751552	6.345705649	5.865799341	5.854712861	5.746775201	5.858061181	5.864571102	5.946785139	5.938384526	5.979302289	7.651892373	8.065822663	7.816666857	7.918071088	8.086979175	8.273564812	5.805359662	5.781000607	5.858119603	5.797004651	5.904709391	5.789782112	7.655776724	7.438038157	7.928228472	7.773091168	7.884634852	7.9872226	10.35675954	10.04527811	9.668944036	10.2145002
hsa-miR-106b	5.977136039	5.880568468	5.927862999	5.982986791	5.916122671	5.91058178	5.881345794	5.85736757	5.912806296	5.775086215	5.81321596	5.991341208	5.760564107	5.725948013	5.725632273	5.749614652	5.733944708	5.767818014	5.74375128	5.74892786	5.772825045	5.758030694	6.607099415	6.383079408	6.386980602	6.429755246	6.595084976	6.615128219	5.789174319	5.733137912	5.717096831	5.819578521	5.76284395	5.839049962	7.303230732	7.37940266	7.323518686	7.835784365	7.665926361	6.985174849	6.213238174	6.249997184	6.066059013	6.210534405	6.188096332	6.165215758	5.783593942	5.707073632	5.713612572	5.721502292
hsa-miR-106b*	6.488031921	6.757319914	6.516547081	6.356794755	6.389732406	6.585569715	5.771097783	5.816525357	5.742235778	5.792937484	5.795174399	5.743342743	9.42671216	9.40840677	9.587657654	9.610532813	9.797080436	9.654928792	9.589001114	9.190922092	9.629948696	9.339767612	5.848186841	5.73172478	5.742715335	5.745322563	5.798626466	5.740784859	5.789174319	5.753286658	5.724572759	5.728086709	5.750922423	5.739683973	5.823872462	5.847123425	5.924126314	5.811750659	5.847123425	5.864386604	6.085005194	6.462250906	6.091177638	6.203008983	6.088181974	6.099897679	7.062088895	6.670712353	7.243211696	6.674248235
hsa-miR-107	7.025455905	7.22700247	7.10329289	6.786183426	6.872424637	7.211362455	5.761888101	5.736784533	5.751564111	5.736110197	5.735283325	5.737603661	5.929050923	5.863858454	5.736803014	5.72644272	5.740837305	5.715774091	5.889656447	5.798657601	5.72644272	5.81028865	7.277898126	7.721566838	7.294081928	7.435086805	7.594382306	7.873888853	5.858119458	5.837597291	5.873023991	5.968193209	5.816264027	5.790821678	5.90850106	5.876331824	5.881975406	5.903358445	5.870585607	5.903451229	6.190224946	6.339569994	6.164380415	6.426089391	6.493346932	6.320783019	6.176793815	5.964609787	6.010618071	6.278932821
hsa-miR-10a	6.177089488	6.051173706	6.124672357	6.013323847	5.878757601	5.889428168	5.806787107	5.917788343	6.050043664	5.761767995	5.825321996	6.005143793	5.759200196	5.781585443	6.030349311	5.785788774	5.740837305	5.737470797	5.802349331	5.82459848	5.756651353	5.733825446	5.718086514	5.754367346	5.718641438	5.712460138	5.723566167	5.718289225	5.805901049	5.784647952	5.82481916	5.846381363	5.805901049	5.809963689	5.807507184	5.803169206	5.83392346	5.821972672	5.761224247	5.805981606	6.085005194	6.462250906	6.175508341	6.203008983	6.088181974	6.099897679	5.783593942	5.757073757	5.713612572	5.721502292
hsa-miR-10a*	5.902135057	6.195314995	5.955433712	6.397055955	6.162263986	6.103693052	6.742187542	6.861293033	6.433554132	6.390493718	6.709249963	6.864325124	5.796921776	5.72705211	5.745378411	5.817527539	5.756651353	5.755350443	5.81028865	5.775300314	5.793502676	5.74745751	5.73108437	5.760573333	5.741622889	5.783155986	5.74916975	5.717432193	5.841383547	5.858119458	5.890044502	5.968193209	6.042325135	6.064908415	5.862901151	5.811353975	5.790593164	5.798329951	5.805696127	5.784935178	6.671727469	6.716052311	6.509352184	6.604907144	6.63098881	6.61203762	5.756542118	5.784171152	5.753198366	5.745420014
hsa-miR-10b	5.78457389	5.78457389	5.775248853	5.806131922	5.943600942	5.848323975	6.297206677	5.783239791	5.804108331	6.274736098	5.778273205	5.855944562	5.744534924	5.763442453	5.768944084	5.794069053	5.721500193	5.766662884	5.792794482	5.772895522	5.78932976	5.768977063	5.81781302	5.742755212	5.780386245	5.721656189	5.738901981	5.758047542	5.938235633	6.057974268	5.961392912	6.009239183	6.200404218	5.964900386	5.807507184	5.850614831	5.880644044	5.811750659	5.821972672	5.803169206	6.969629003	6.949377254	7.061537881	6.960023976	6.980137442	6.843805045	5.857270901	5.793362324	5.893547626	6.121763823
hsa-miR-10b*	6.50113216	6.33964025	6.264264715	6.261266887	7.914832406	6.308771307	6.097155984	6.247500381	6.437235363	6.223824605	6.154430954	6.316910545	5.945078381	5.828412418	5.791779963	5.802226627	5.834627382	5.83873633	5.789423139	5.823627225	5.756585381	5.782360386	7.693290948	8.420601398	7.162398109	7.456362674	7.495869041	8.115899607	5.74979206	5.76284395	5.76284395	5.768329184	5.768329184	5.739683973	5.804236829	5.818162934	5.774836033	5.89043524	5.792939277	5.887269555	5.989117452	6.133896721	6.175508341	5.999720228	6.030359144	6.073592207	5.783593942	5.876993904	5.692355197	5.783593942
