##The total sample size is 50.
Marker1	Marker2	Correlation	Lower	Upper	t-statistic	Valid-num
0	1	0.910602	0.846915	0.948532	15.265093	50
0	2	0.824164	0.708301	0.896786	10.082026	50
0	3	0.749582	0.595473	0.850483	7.845840	50
0	4	-0.391791	-0.604247	-0.127324	-2.950267	50
0	5	0.139840	-0.144122	0.402525	0.978457	50
0	6	0.112735	-0.170983	0.379189	0.786063	50
0	7	0.106448	-0.177153	0.373727	0.741710	50
0	8	0.774624	0.632692	0.866207	8.486036	50
0	9	0.583761	0.364663	0.741609	4.981262	50
0	10	0.478538	0.230948	0.667922	3.775800	50
0	11	-0.257158	-0.499739	0.022828	-1.843649	50
0	12	-0.383132	-0.597738	-0.117288	-2.873699	50
0	13	-0.089102	-0.358561	0.194064	-0.619780	50
0	14	0.737693	0.578033	0.842954	7.570151	50
0	15	0.802080	0.674265	0.883240	9.304801	50
0	16	0.863369	0.770084	0.920505	11.854765	50
0	17	-0.166454	-0.425110	0.117335	-1.169543	50
0	18	0.763957	0.616758	0.859531	8.202576	50
0	19	0.674960	0.488358	0.802535	6.337639	50
0	20	0.600022	0.386166	0.752666	5.196454	50
0	21	0.319802	0.045500	0.549260	2.338457	50
0	22	0.751352	0.598083	0.851600	7.888332	50
0	23	0.769152	0.624503	0.862786	8.338485	50
0	24	0.811909	0.689347	0.889286	9.635549	50
0	25	-0.147862	-0.409366	0.136092	-1.035802	50
0	26	0.866502	0.775097	0.922382	12.026467	50
0	27	0.248970	-0.031570	0.493147	1.780999	50
0	28	0.805665	0.679754	0.885448	9.422832	50
0	29	0.586067	0.367699	0.743182	5.011210	50
0	30	0.220406	-0.061734	0.469928	1.565517	50
0	31	0.095420	-0.187924	0.364102	0.664120	50
0	32	0.149644	-0.134303	0.410882	1.048570	50
0	33	0.705369	0.531340	0.822275	6.894272	50
0	34	0.122780	-0.161078	0.387876	0.857127	50
0	35	0.670297	0.481847	0.799483	6.257910	50
0	36	0.792113	0.659078	0.877081	8.991065	50
0	37	0.434474	0.177600	0.635920	3.342039	50
0	38	0.758567	0.608751	0.856145	8.065596	50
0	39	0.495475	0.251859	0.680039	3.951955	50
0	40	0.659200	0.466434	0.792193	6.073498	50
0	41	0.804752	0.678354	0.884886	9.392487	50
0	42	0.353876	0.083776	0.575537	2.621349	50
0	43	0.560103	0.333790	0.725366	4.684206	50
0	44	0.752466	0.599726	0.852303	7.915255	50
0	45	0.759684	0.610408	0.856847	8.093653	50
0	46	0.670494	0.482122	0.799612	6.261262	50
0	47	0.838764	0.731103	0.905668	10.672485	50
0	48	0.384162	0.118478	0.598514	2.882755	50
0	49	0.860669	0.765772	0.918885	11.711102	50
0	50	0.394917	0.130960	0.606589	2.978137	50
0	51	0.715994	0.546572	0.829106	7.105714	50
0	52	0.176829	-0.106779	0.433828	1.244722	50
0	53	0.527419	0.291923	0.702621	4.300900	50
0	54	0.309493	0.034076	0.541221	2.254945	50
0	55	0.638045	0.437370	0.778190	5.740924	50
0	56	0.642273	0.443145	0.781000	5.805526	50
0	57	0.796343	0.665510	0.879698	9.121717	50
0	58	0.540434	0.308487	0.711721	4.450076	50
0	59	0.654753	0.460289	0.789261	6.001586	50
0	60	0.598578	0.384247	0.751688	5.176948	50
0	61	0.036059	-0.244750	0.311288	0.249990	50
0	62	0.221057	-0.061053	0.470461	1.570375	50
0	63	0.427554	0.169357	0.630831	3.276789	50
0	64	0.043848	-0.237403	0.318315	0.304077	50
0	65	0.790877	0.657202	0.876315	8.953547	50
0	66	0.598634	0.384321	0.751725	5.177702	50
0	67	0.375774	0.108802	0.592185	2.809330	50
0	68	0.457649	0.205470	0.652838	3.566038	50
0	69	-0.200230	-0.453317	0.082733	-1.415910	50
0	70	-0.225697	-0.474255	0.056185	-1.605091	50
0	71	-0.041633	-0.316320	0.239495	-0.288694	50
0	72	0.235290	-0.046081	0.482070	1.677222	50
0	73	0.130188	-0.153735	0.394254	0.909714	50
0	74	0.768039	0.622841	0.862089	8.309032	50
0	75	0.242678	-0.038259	0.488062	1.733127	50
0	76	0.663055	0.471774	0.794729	6.136727	50
0	77	0.815568	0.694989	0.891530	9.764658	50
0	78	0.832264	0.720923	0.901721	10.400994	50
0	79	0.805606	0.679663	0.885412	9.420858	50
0	80	0.605084	0.392908	0.756091	5.265451	50
0	81	0.662895	0.471553	0.794625	6.134091	50
0	82	0.518694	0.280898	0.696488	4.203260	50
0	83	-0.332123	-0.558815	-0.059248	-2.439490	50
0	84	0.327304	0.053859	0.555085	2.399815	50
0	85	0.312900	0.037843	0.543882	2.282443	50
0	86	0.067720	-0.214679	0.339670	0.470260	50
0	87	0.603039	0.390181	0.754708	5.237453	50
0	88	0.065456	-0.216848	0.337656	0.454465	50
0	89	0.852078	0.752109	0.913717	11.278557	50
0	90	0.298719	0.022214	0.532772	2.168606	50
0	91	0.699997	0.523682	0.818808	6.790950	50
0	92	-0.033574	-0.309039	0.247087	-0.232740	50
0	93	0.732578	0.570574	0.839703	7.456413	50
0	94	0.628208	0.423997	0.771631	5.593955	50
0	95	0.632679	0.430064	0.774616	5.660188	50
0	96	0.417908	0.157926	0.623707	3.186992	50
0	97	0.449675	0.195835	0.647039	3.487982	50
0	98	-0.050827	-0.324587	0.230791	-0.352595	50
0	99	0.457769	0.205616	0.652925	3.567221	50
1	2	0.905719	0.838848	0.945662	14.803793	50
1	3	0.842341	0.736728	0.907836	10.828416	50
1	4	-0.387224	-0.600818	-0.122024	-2.909772	50
1	5	0.185429	-0.097981	0.441018	1.307360	50
1	6	0.185320	-0.098093	0.440927	1.306564	50
1	7	0.188610	-0.094715	0.443670	1.330609	50
1	8	0.863633	0.770506	0.920663	11.869029	50
1	9	0.370121	0.102309	0.587905	2.760300	50
1	10	0.482023	0.235232	0.670423	3.811581	50
1	11	-0.155790	-0.416099	0.128118	-1.092688	50
1	12	-0.379987	-0.595367	-0.113655	-2.846104	50
1	13	0.125352	-0.158532	0.390094	0.875371	50
1	14	0.725992	0.561009	0.835504	7.313936	50
1	15	0.600598	0.386932	0.753056	5.204256	50
1	16	0.847236	0.744446	0.910795	11.049749	50
1	17	-0.049893	-0.323749	0.231677	-0.346100	50
1	18	0.854318	0.755663	0.915066	11.387921	50
1	19	0.754048	0.602063	0.853300	7.953771	50
1	20	0.716717	0.547614	0.829570	7.120474	50
1	21	0.399450	0.136247	0.609980	3.018769	50
1	22	0.840367	0.733622	0.906640	10.741786	50
1	23	0.852256	0.752392	0.913824	11.287177	50
1	24	0.892066	0.816443	0.937603	13.676318	50
1	25	-0.100785	-0.368792	0.182693	-0.701834	50
1	26	0.925530	0.871765	0.957268	16.933453	50
1	27	0.304085	0.028112	0.536986	2.211488	50
1	28	0.788026	0.652882	0.874547	8.868144	50
1	29	0.685065	0.502542	0.809126	6.515288	50
1	30	0.281231	0.003123	0.518959	2.030372	50
1	31	0.183723	-0.099729	0.439595	1.294914	50
1	32	0.234584	-0.046827	0.481496	1.671895	50
1	33	0.810960	0.687886	0.888703	9.602596	50
1	34	0.303600	0.027578	0.536605	2.207601	50
1	35	0.551342	0.322480	0.719305	4.578575	50
1	36	0.889477	0.812221	0.936070	13.485222	50
1	37	0.473581	0.224871	0.664356	3.725306	50
1	38	0.842933	0.737659	0.908194	10.854653	50
1	39	0.615279	0.406555	0.762963	5.407490	50
1	40	0.745829	0.589952	0.848111	7.757036	50
1	41	0.845239	0.741295	0.909589	10.958316	50
1	42	0.211204	-0.071343	0.462374	1.497036	50
1	43	0.723815	0.557857	0.834114	7.267791	50
1	44	0.839527	0.732302	0.906131	10.705366	50
1	45	0.845684	0.741997	0.909858	10.978554	50
1	46	0.658037	0.464825	0.791427	6.054590	50
1	47	0.928439	0.876640	0.958964	17.315454	50
1	48	0.403913	0.141466	0.613311	3.059033	50
1	49	0.900038	0.829498	0.942315	14.308159	50
1	50	0.462705	0.211606	0.656503	3.616095	50
1	51	0.797602	0.667428	0.880476	9.161288	50
1	52	-0.178023	-0.434828	0.105561	-1.253398	50
1	53	0.561623	0.335759	0.726416	4.702767	50
1	54	0.376118	0.109197	0.592445	2.812322	50
1	55	0.831297	0.719411	0.901133	10.361806	50
1	56	0.707831	0.534860	0.823861	6.942411	50
1	57	0.871561	0.783218	0.925408	12.315950	50
1	58	0.644292	0.445909	0.782340	5.836701	50
1	59	0.757207	0.606736	0.855290	8.031661	50
1	60	0.686902	0.505131	0.810321	6.548333	50
1	61	0.117817	-0.165979	0.383590	0.821982	50
1	62	0.174765	-0.108884	0.432098	1.229732	50
1	63	0.465138	0.214565	0.658263	3.640340	50
1	64	0.076004	-0.206722	0.347016	0.528102	50
1	65	0.896816	0.824213	0.940413	14.044503	50
1	66	0.599143	0.384998	0.752070	5.184569	50
1	67	0.427364	0.169130	0.630691	3.275000	50
1	68	0.552036	0.323374	0.719786	4.586866	50
1	69	-0.236076	-0.482709	0.045250	-1.683157	50
1	70	-0.297951	-0.532168	-0.021371	-2.162486	50
1	71	0.014147	-0.265250	0.291352	0.098023	50
1	72	0.239743	-0.041370	0.485685	1.710887	50
1	73	0.132679	-0.151260	0.396392	0.927423	50
1	74	0.862500	0.768696	0.919984	11.808125	50
1	75	0.277977	-0.000407	0.516375	2.004897	50
1	76	0.716447	0.547225	0.829397	7.114960	50
1	77	0.870176	0.780993	0.924581	12.235166	50
1	78	0.741414	0.583477	0.845315	7.654704	50
1	79	0.890544	0.813960	0.936702	13.563198	50
1	80	0.695688	0.517559	0.816021	6.709688	50
1	81	0.785676	0.649328	0.873089	8.798878	50
1	82	0.720654	0.553289	0.832092	7.201609	50
1	83	-0.314928	-0.545465	-0.040090	-2.298862	50
1	84	0.377336	0.110601	0.593366	2.822947	50
1	85	0.360599	0.091423	0.580668	2.678514	50
1	86	0.093495	-0.189797	0.362416	0.650605	50
1	87	0.377575	0.110875	0.593546	2.825026	50
1	88	0.132884	-0.151056	0.396568	0.928884	50
1	89	0.941090	0.897964	0.966313	19.281277	50
