Marker1	Marker2	Correlation	Lower	Upper	t-statistic
hsa-miR-1	hsa-miR-100	0.910602	0.846915	0.948532	15.265093
hsa-miR-1	hsa-miR-100*	0.824164	0.708301	0.896786	10.082026
hsa-miR-1	hsa-miR-101	0.749582	0.595473	0.850483	7.845840
hsa-miR-1	hsa-miR-101*	-0.391791	-0.604247	-0.127324	-2.950267
hsa-miR-1	hsa-miR-103	0.139840	-0.144122	0.402525	0.978457
hsa-miR-1	hsa-miR-103-2*	0.112735	-0.170983	0.379189	0.786063
hsa-miR-1	hsa-miR-103-as	0.106448	-0.177153	0.373727	0.741710
hsa-miR-1	hsa-miR-105	0.774624	0.632692	0.866207	8.486036
hsa-miR-1	hsa-miR-105*	0.583761	0.364663	0.741609	4.981262
hsa-miR-1	hsa-miR-106a*	0.478538	0.230948	0.667922	3.775800
hsa-miR-1	hsa-miR-106b	-0.257158	-0.499739	0.022828	-1.843649
hsa-miR-1	hsa-miR-106b*	-0.383132	-0.597738	-0.117288	-2.873699
hsa-miR-1	hsa-miR-107	-0.089102	-0.358561	0.194064	-0.619780
hsa-miR-1	hsa-miR-10a	0.737693	0.578033	0.842954	7.570151
hsa-miR-1	hsa-miR-10a*	0.802080	0.674265	0.883240	9.304801
hsa-miR-1	hsa-miR-10b	0.863369	0.770084	0.920505	11.854765
hsa-miR-1	hsa-miR-10b*	-0.166454	-0.425110	0.117335	-1.169543
hsa-miR-1	hsa-miR-1178	0.763957	0.616758	0.859531	8.202576
hsa-miR-1	hsa-miR-1179	0.674960	0.488358	0.802535	6.337639
hsa-miR-1	hsa-miR-1180	0.600022	0.386166	0.752666	5.196454
hsa-miR-1	hsa-miR-1181	0.319802	0.045500	0.549260	2.338457
hsa-miR-1	hsa-miR-1182	0.751352	0.598083	0.851600	7.888332
hsa-miR-1	hsa-miR-1183	0.769152	0.624503	0.862786	8.338485
hsa-miR-1	hsa-miR-1184	0.811909	0.689347	0.889286	9.635549
hsa-miR-1	hsa-miR-1185	-0.147862	-0.409366	0.136092	-1.035802
hsa-miR-1	hsa-miR-1197	0.866502	0.775097	0.922382	12.026467
hsa-miR-1	hsa-miR-1200	0.248970	-0.031570	0.493147	1.780999
hsa-miR-1	hsa-miR-1201_v15.0	0.805665	0.679754	0.885448	9.422832
hsa-miR-1	hsa-miR-1202	0.586067	0.367699	0.743182	5.011210
hsa-miR-1	hsa-miR-1203	0.220406	-0.061734	0.469928	1.565517
hsa-miR-1	hsa-miR-1204	0.095420	-0.187924	0.364102	0.664120
hsa-miR-1	hsa-miR-1205	0.149644	-0.134303	0.410882	1.048570
hsa-miR-1	hsa-miR-1206	0.705369	0.531340	0.822275	6.894272
hsa-miR-1	hsa-miR-1207-3p	0.122780	-0.161078	0.387876	0.857127
hsa-miR-1	hsa-miR-1207-5p	0.670297	0.481847	0.799483	6.257910
hsa-miR-1	hsa-miR-1208	0.792113	0.659078	0.877081	8.991065
hsa-miR-1	hsa-miR-122	0.434474	0.177600	0.635920	3.342039
hsa-miR-1	hsa-miR-122*	0.758567	0.608751	0.856145	8.065596
hsa-miR-1	hsa-miR-1224-3p	0.495475	0.251859	0.680039	3.951955
hsa-miR-1	hsa-miR-1224-5p	0.659200	0.466434	0.792193	6.073498
hsa-miR-1	hsa-miR-1225-3p	0.804752	0.678354	0.884886	9.392487
hsa-miR-1	hsa-miR-1225-5p	0.353876	0.083776	0.575537	2.621349
hsa-miR-1	hsa-miR-1226	0.560103	0.333790	0.725366	4.684206
hsa-miR-1	hsa-miR-1226*	0.752466	0.599726	0.852303	7.915255
hsa-miR-1	hsa-miR-1227	0.759684	0.610408	0.856847	8.093653
hsa-miR-1	hsa-miR-1228	0.670494	0.482122	0.799612	6.261262
hsa-miR-1	hsa-miR-1228*	0.838764	0.731103	0.905668	10.672485
hsa-miR-1	hsa-miR-1229	0.384162	0.118478	0.598514	2.882755
hsa-miR-1	hsa-miR-1231	0.860669	0.765772	0.918885	11.711102
hsa-miR-1	hsa-miR-1233	0.394917	0.130960	0.606589	2.978137
hsa-miR-1	hsa-miR-1234	0.715994	0.546572	0.829106	7.105714
hsa-miR-1	hsa-miR-1236	0.176829	-0.106779	0.433828	1.244722
hsa-miR-1	hsa-miR-1237	0.527419	0.291923	0.702621	4.300900
hsa-miR-1	hsa-miR-1238	0.309493	0.034076	0.541221	2.254945
hsa-miR-1	hsa-miR-124	0.638045	0.437370	0.778190	5.740924
hsa-miR-1	hsa-miR-124*	0.642273	0.443145	0.781000	5.805526
hsa-miR-1	hsa-miR-1243	0.796343	0.665510	0.879698	9.121717
hsa-miR-1	hsa-miR-1244	0.540434	0.308487	0.711721	4.450076
hsa-miR-1	hsa-miR-1245	0.654753	0.460289	0.789261	6.001586
hsa-miR-1	hsa-miR-1246	0.598578	0.384247	0.751688	5.176948
hsa-miR-1	hsa-miR-1247	0.036059	-0.244750	0.311288	0.249990
hsa-miR-1	hsa-miR-1248	0.221057	-0.061053	0.470461	1.570375
hsa-miR-1	hsa-miR-1249	0.427554	0.169357	0.630831	3.276789
hsa-miR-1	hsa-miR-1250	0.043848	-0.237403	0.318315	0.304077
hsa-miR-1	hsa-miR-1251	0.790877	0.657202	0.876315	8.953547
hsa-miR-1	hsa-miR-1252	0.598634	0.384321	0.751725	5.177702
hsa-miR-1	hsa-miR-1253	0.375774	0.108802	0.592185	2.809330
hsa-miR-1	hsa-miR-1254	0.457649	0.205470	0.652838	3.566038
hsa-miR-1	hsa-miR-1255a	-0.200230	-0.453317	0.082733	-1.415910
hsa-miR-1	hsa-miR-1255b	-0.225697	-0.474255	0.056185	-1.605091
hsa-miR-1	hsa-miR-1256	-0.041633	-0.316320	0.239495	-0.288694
hsa-miR-1	hsa-miR-1257	0.235290	-0.046081	0.482070	1.677222
hsa-miR-1	hsa-miR-1258	0.130188	-0.153735	0.394254	0.909714
hsa-miR-1	hsa-miR-1259_v15.0	0.768039	0.622841	0.862089	8.309032
hsa-miR-1	hsa-miR-125a-3p	0.242678	-0.038259	0.488062	1.733127
hsa-miR-1	hsa-miR-125a-5p	0.663055	0.471774	0.794729	6.136727
hsa-miR-1	hsa-miR-125b	0.815568	0.694989	0.891530	9.764658
hsa-miR-1	hsa-miR-125b-1*	0.832264	0.720923	0.901721	10.400994
hsa-miR-1	hsa-miR-125b-2*	0.805606	0.679663	0.885412	9.420858
hsa-miR-1	hsa-miR-126	0.605084	0.392908	0.756091	5.265451
hsa-miR-1	hsa-miR-126*	0.662895	0.471553	0.794625	6.134091
hsa-miR-1	hsa-miR-1260	0.518694	0.280898	0.696488	4.203260
hsa-miR-1	hsa-miR-1261	-0.332123	-0.558815	-0.059248	-2.439490
hsa-miR-1	hsa-miR-1262	0.327304	0.053859	0.555085	2.399815
hsa-miR-1	hsa-miR-1263	0.312900	0.037843	0.543882	2.282443
hsa-miR-1	hsa-miR-1264	0.067720	-0.214679	0.339670	0.470260
hsa-miR-1	hsa-miR-1265	0.603039	0.390181	0.754708	5.237453
hsa-miR-1	hsa-miR-1266	0.065456	-0.216848	0.337656	0.454465
hsa-miR-1	hsa-miR-1267	0.852078	0.752109	0.913717	11.278557
hsa-miR-1	hsa-miR-1268	0.298719	0.022214	0.532772	2.168606
hsa-miR-1	hsa-miR-1269	0.699997	0.523682	0.818808	6.790950
hsa-miR-1	hsa-miR-127-3p	-0.033574	-0.309039	0.247087	-0.232740
hsa-miR-1	hsa-miR-127-5p	0.732578	0.570574	0.839703	7.456413
hsa-miR-1	hsa-miR-1270	0.628208	0.423997	0.771631	5.593955
hsa-miR-1	hsa-miR-1271	0.632679	0.430064	0.774616	5.660188
hsa-miR-1	hsa-miR-1272	0.417908	0.157926	0.623707	3.186992
hsa-miR-1	hsa-miR-1273	0.449675	0.195835	0.647039	3.487982
hsa-miR-1	hsa-miR-1274a	-0.050827	-0.324587	0.230791	-0.352595
hsa-miR-1	hsa-miR-1274b	0.457769	0.205616	0.652925	3.567221
hsa-miR-100	hsa-miR-100*	0.905719	0.838848	0.945662	14.803793
hsa-miR-100	hsa-miR-101	0.842341	0.736728	0.907836	10.828416
hsa-miR-100	hsa-miR-101*	-0.387224	-0.600818	-0.122024	-2.909772
hsa-miR-100	hsa-miR-103	0.185429	-0.097981	0.441018	1.307360
hsa-miR-100	hsa-miR-103-2*	0.185320	-0.098093	0.440927	1.306564
hsa-miR-100	hsa-miR-103-as	0.188610	-0.094715	0.443670	1.330609
hsa-miR-100	hsa-miR-105	0.863633	0.770506	0.920663	11.869029
hsa-miR-100	hsa-miR-105*	0.370121	0.102309	0.587905	2.760300
hsa-miR-100	hsa-miR-106a*	0.482023	0.235232	0.670423	3.811581
hsa-miR-100	hsa-miR-106b	-0.155790	-0.416099	0.128118	-1.092688
hsa-miR-100	hsa-miR-106b*	-0.379987	-0.595367	-0.113655	-2.846104
hsa-miR-100	hsa-miR-107	0.125352	-0.158532	0.390094	0.875371
hsa-miR-100	hsa-miR-10a	0.725992	0.561009	0.835504	7.313936
hsa-miR-100	hsa-miR-10a*	0.600598	0.386932	0.753056	5.204256
hsa-miR-100	hsa-miR-10b	0.847236	0.744446	0.910795	11.049749
hsa-miR-100	hsa-miR-10b*	-0.049893	-0.323749	0.231677	-0.346100
hsa-miR-100	hsa-miR-1178	0.854318	0.755663	0.915066	11.387921
hsa-miR-100	hsa-miR-1179	0.754048	0.602063	0.853300	7.953771
hsa-miR-100	hsa-miR-1180	0.716717	0.547614	0.829570	7.120474
hsa-miR-100	hsa-miR-1181	0.399450	0.136247	0.609980	3.018769
hsa-miR-100	hsa-miR-1182	0.840367	0.733622	0.906640	10.741786
hsa-miR-100	hsa-miR-1183	0.852256	0.752392	0.913824	11.287177
hsa-miR-100	hsa-miR-1184	0.892066	0.816443	0.937603	13.676318
hsa-miR-100	hsa-miR-1185	-0.100785	-0.368792	0.182693	-0.701834
hsa-miR-100	hsa-miR-1197	0.925530	0.871765	0.957268	16.933453
hsa-miR-100	hsa-miR-1200	0.304085	0.028112	0.536986	2.211488
hsa-miR-100	hsa-miR-1201_v15.0	0.788026	0.652882	0.874547	8.868144
hsa-miR-100	hsa-miR-1202	0.685065	0.502542	0.809126	6.515288
hsa-miR-100	hsa-miR-1203	0.281231	0.003123	0.518959	2.030372
hsa-miR-100	hsa-miR-1204	0.183723	-0.099729	0.439595	1.294914
hsa-miR-100	hsa-miR-1205	0.234584	-0.046827	0.481496	1.671895
hsa-miR-100	hsa-miR-1206	0.810960	0.687886	0.888703	9.602596
hsa-miR-100	hsa-miR-1207-3p	0.303600	0.027578	0.536605	2.207601
hsa-miR-100	hsa-miR-1207-5p	0.551342	0.322480	0.719305	4.578575
hsa-miR-100	hsa-miR-1208	0.889477	0.812221	0.936070	13.485222
hsa-miR-100	hsa-miR-122	0.473581	0.224871	0.664356	3.725306
hsa-miR-100	hsa-miR-122*	0.842933	0.737659	0.908194	10.854653
hsa-miR-100	hsa-miR-1224-3p	0.615279	0.406555	0.762963	5.407490
hsa-miR-100	hsa-miR-1224-5p	0.745829	0.589952	0.848111	7.757036
hsa-miR-100	hsa-miR-1225-3p	0.845239	0.741295	0.909589	10.958316
hsa-miR-100	hsa-miR-1225-5p	0.211204	-0.071343	0.462374	1.497036
hsa-miR-100	hsa-miR-1226	0.723815	0.557857	0.834114	7.267791
hsa-miR-100	hsa-miR-1226*	0.839527	0.732302	0.906131	10.705366
hsa-miR-100	hsa-miR-1227	0.845684	0.741997	0.909858	10.978554
hsa-miR-100	hsa-miR-1228	0.658037	0.464825	0.791427	6.054590
hsa-miR-100	hsa-miR-1228*	0.928439	0.876640	0.958964	17.315454
hsa-miR-100	hsa-miR-1229	0.403913	0.141466	0.613311	3.059033
hsa-miR-100	hsa-miR-1231	0.900038	0.829498	0.942315	14.308159
hsa-miR-100	hsa-miR-1233	0.462705	0.211606	0.656503	3.616095
hsa-miR-100	hsa-miR-1234	0.797602	0.667428	0.880476	9.161288
hsa-miR-100	hsa-miR-1236	-0.178023	-0.434828	0.105561	-1.253398
hsa-miR-100	hsa-miR-1237	0.561623	0.335759	0.726416	4.702767
hsa-miR-100	hsa-miR-1238	0.376118	0.109197	0.592445	2.812322
hsa-miR-100	hsa-miR-124	0.831297	0.719411	0.901133	10.361806
hsa-miR-100	hsa-miR-124*	0.707831	0.534860	0.823861	6.942411
hsa-miR-100	hsa-miR-1243	0.871561	0.783218	0.925408	12.315950
hsa-miR-100	hsa-miR-1244	0.644292	0.445909	0.782340	5.836701
hsa-miR-100	hsa-miR-1245	0.757207	0.606736	0.855290	8.031661
