##The total sample size is 50.
Marker1	Marker2	Correlation	Lower	Upper	t-statistic	Valid-num
0	1	0.766050	0.619875	0.860843	8.256866	50
0	2	0.579524	0.359098	0.738713	4.926720	50
0	3	0.525186	0.289095	0.701054	4.275734	50
0	4	-0.081873	-0.352199	0.201062	-0.569142	50
0	5	0.260751	-0.018980	0.502622	1.871267	50
0	6	0.164274	-0.119545	0.423272	1.153796	50
0	7	0.151216	-0.132723	0.412218	1.059843	50
0	8	0.635246	0.433556	0.776327	5.698638	50
0	9	0.606670	0.395025	0.757162	5.287271	50
0	10	0.649940	0.453660	0.786081	5.925002	50
0	11	-0.139592	-0.402312	0.144370	-0.976683	50
0	12	-0.190689	-0.445400	0.092578	-1.345826	50
0	13	-0.100363	-0.368423	0.183105	-0.698861	50
0	14	0.716992	0.548009	0.829747	7.126092	50
0	15	0.806771	0.681449	0.886128	9.459817	50
0	16	0.757185	0.606704	0.855276	8.031120	50
0	17	-0.091435	-0.360610	0.191799	-0.636146	50
0	18	0.436217	0.179682	0.637199	3.358591	50
0	19	0.600768	0.387159	0.753172	5.206560	50
0	20	0.312468	0.037366	0.543545	2.278957	50
0	21	0.444226	0.189278	0.643063	3.435243	50
0	22	0.466806	0.216597	0.659469	3.657026	50
0	23	0.810306	0.686880	0.888301	9.580027	50
0	24	0.822905	0.706347	0.896018	10.034263	50
0	25	0.298151	0.021591	0.532326	2.164078	50
0	26	0.855771	0.757972	0.915941	11.460125	50
0	27	0.415626	0.155233	0.622017	3.165949	50
0	28	0.874478	0.787914	0.927150	12.490188	50
0	29	0.580984	0.361015	0.739712	4.945455	50
0	30	0.419604	0.159931	0.624963	3.202689	50
0	31	0.295298	0.018464	0.530080	2.141382	50
0	32	0.246291	-0.034422	0.490983	1.760584	50
0	33	0.577253	0.356122	0.737159	4.897738	50
0	34	0.175803	-0.107827	0.432968	1.237266	50
0	35	0.770660	0.626757	0.863730	8.378695	50
0	36	0.687380	0.505805	0.810631	6.556962	50
0	37	0.526915	0.291284	0.702267	4.295205	50
0	38	0.461032	0.209574	0.655292	3.599489	50
0	39	0.414646	0.154077	0.621291	3.156929	50
0	40	0.540434	0.308488	0.711722	4.450081	50
0	41	0.870918	0.782185	0.925024	12.278292	50
0	42	0.445282	0.190547	0.643834	3.445430	50
0	43	0.391222	0.126663	0.603820	2.945209	50
0	44	0.615270	0.406543	0.762957	5.407368	50
0	45	0.535955	0.302772	0.708596	4.398250	50
0	46	0.702761	0.527619	0.820593	6.843821	50
0	47	0.418487	0.158611	0.624136	3.192351	50
0	48	0.441537	0.186050	0.641097	3.409394	50
0	49	0.845666	0.741968	0.909847	10.977733	50
0	50	0.578487	0.357739	0.738004	4.913474	50
0	51	0.516735	0.278430	0.695107	4.181582	50
0	52	0.275211	-0.003402	0.514175	1.983308	50
0	53	0.785738	0.649422	0.873127	8.800703	50
0	54	0.535846	0.302633	0.708520	4.396996	50
0	55	0.379745	0.113377	0.595185	2.843990	50
0	56	0.499544	0.256915	0.682935	3.995136	50
0	57	0.741500	0.583602	0.845370	7.656671	50
0	58	0.579736	0.359376	0.738858	4.929437	50
0	59	0.555740	0.328149	0.722351	4.631320	50
0	60	0.526447	0.290692	0.701939	4.289932	50
0	61	0.226987	-0.054830	0.475308	1.614759	50
0	62	0.235444	-0.045918	0.482195	1.678386	50
0	63	0.553771	0.325609	0.720988	4.607636	50
0	64	0.465354	0.214829	0.658420	3.642502	50
0	65	0.659544	0.466909	0.792419	6.079100	50
0	66	0.716110	0.546740	0.829181	7.108096	50
0	67	0.635438	0.433817	0.776455	5.701529	50
0	68	0.153806	-0.130118	0.414416	1.078428	50
0	69	0.016086	-0.263446	0.293126	0.111465	50
0	70	0.346267	0.075158	0.569708	2.557203	50
0	71	0.120576	-0.163256	0.385974	0.841516	50
0	72	0.677119	0.491381	0.803946	6.375030	50
0	73	0.447609	0.193345	0.645532	3.467927	50
0	74	0.631852	0.428940	0.774064	5.647864	50
0	75	0.628265	0.424075	0.771669	5.594802	50
0	76	0.667867	0.478462	0.797890	6.216903	50
0	77	0.801104	0.672773	0.882638	9.273160	50
0	78	0.662233	0.470634	0.794189	6.123176	50
0	79	0.761056	0.612446	0.857710	8.128364	50
0	80	0.558957	0.332307	0.724575	4.670264	50
0	81	0.367683	0.099515	0.586055	2.739265	50
0	82	0.318511	0.044066	0.548256	2.327954	50
0	83	-0.109244	-0.376158	0.174412	-0.761420	50
0	84	0.245042	-0.035749	0.489974	1.751087	50
0	85	0.399539	0.136350	0.610047	3.019569	50
0	86	0.524418	0.288123	0.700514	4.267104	50
0	87	0.616918	0.408757	0.764065	5.430723	50
0	88	0.410296	0.148955	0.618062	3.117062	50
0	89	0.748860	0.594410	0.850027	7.828619	50
0	90	0.717551	0.548814	0.830105	7.137540	50
0	91	0.658311	0.465204	0.791607	6.059034	50
0	92	0.580292	0.360106	0.739239	4.936565	50
0	93	0.699112	0.522422	0.818236	6.774129	50
0	94	0.543145	0.311956	0.713610	4.481714	50
0	95	0.553195	0.324866	0.720589	4.600726	50
0	96	0.344922	0.073640	0.568676	2.545930	50
0	97	0.294941	0.018072	0.529798	2.138544	50
0	98	0.277311	-0.001129	0.515845	1.999694	50
0	99	0.616903	0.408737	0.764055	5.430513	50
1	2	0.473636	0.224939	0.664396	3.725867	50
1	3	0.510876	0.271071	0.690970	4.117301	50
1	4	-0.355966	-0.577134	-0.086150	-2.639070	50
1	5	0.137146	-0.146811	0.400220	0.959240	50
1	6	0.017239	-0.262373	0.294180	0.119452	50
1	7	0.375423	0.108398	0.591920	2.806278	50
1	8	0.611044	0.400875	0.760113	5.347979	50
1	9	0.620933	0.414164	0.766760	5.488136	50
1	10	0.721008	0.553801	0.832319	7.208982	50
1	11	0.090420	-0.192785	0.359719	0.629026	50
1	12	-0.394007	-0.605908	-0.129901	-2.970013	50
1	13	0.387140	0.121927	0.600755	2.909029	50
1	14	0.568081	0.344147	0.730864	4.782393	50
1	15	0.591164	0.374424	0.746654	5.078051	50
1	16	0.567601	0.343522	0.730534	4.776429	50
1	17	0.170384	-0.113344	0.428418	1.197975	50
1	18	0.720882	0.553618	0.832238	7.206342	50
1	19	0.442017	0.186626	0.641448	3.414001	50
1	20	0.607650	0.396333	0.757823	5.300797	50
1	21	0.461801	0.210507	0.655848	3.607112	50
1	22	0.764964	0.618257	0.860163	8.228620	50
1	23	0.762474	0.614552	0.858600	8.164488	50
1	24	0.854214	0.755498	0.915004	11.382795	50
1	25	0.368451	0.100395	0.586639	2.745887	50
1	26	0.804485	0.677945	0.884722	9.383655	50
1	27	0.440309	0.184579	0.640198	3.397633	50
1	28	0.777095	0.636400	0.867748	8.554198	50
1	29	0.655702	0.461599	0.789887	6.016849	50
1	30	0.440832	0.185205	0.640581	3.402637	50
1	31	0.398358	0.134971	0.609164	3.008953	50
1	32	0.283649	0.005751	0.520876	2.049352	50
1	33	0.883287	0.802156	0.932396	13.052795	50
1	34	0.634013	0.431878	0.775505	5.680126	50
1	35	0.685954	0.503795	0.809704	6.531254	50
1	36	0.811804	0.689185	0.889221	9.631868	50
1	37	0.709676	0.537501	0.825048	6.978823	50
1	38	0.362593	0.093697	0.582186	2.695557	50
1	39	0.735606	0.574987	0.841629	7.523412	50
1	40	0.626345	0.421474	0.770385	5.566626	50
1	41	0.757443	0.607087	0.855438	8.037546	50
1	42	0.230636	-0.050990	0.478284	1.642168	50
1	43	0.667579	0.478061	0.797701	6.212064	50
1	44	0.883890	0.803135	0.932754	13.093485	50
1	45	0.779755	0.640399	0.869406	8.628695	50
1	46	0.771909	0.628624	0.864510	8.412239	50
1	47	0.714478	0.544392	0.828134	7.074951	50
1	48	0.278367	0.000016	0.516685	2.007951	50
1	49	0.727539	0.563252	0.836492	7.347013	50
1	50	0.400048	0.136945	0.610427	3.024148	50
1	51	0.297191	0.020537	0.531570	2.156430	50
1	52	-0.190838	-0.445524	0.092425	-1.346915	50
1	53	0.751933	0.598940	0.851967	7.902350	50
1	54	0.489748	0.244762	0.675953	3.891746	50
1	55	0.734375	0.573192	0.840846	7.496059	50
1	56	0.298343	0.021801	0.532477	2.165608	50
1	57	0.719170	0.551148	0.831142	7.170861	50
1	58	0.537095	0.304224	0.709392	4.411387	50
1	59	0.592043	0.375586	0.747251	5.089666	50
1	60	0.658935	0.466067	0.792019	6.069184	50
1	61	0.137959	-0.146000	0.400916	0.965037	50
1	62	0.187904	-0.095441	0.443082	1.325444	50
1	63	0.421427	0.162088	0.626310	3.219595	50
1	64	0.469388	0.219746	0.661334	3.682948	50
1	65	0.725714	0.560607	0.835327	7.308029	50
1	66	0.707275	0.534065	0.823503	6.931499	50
1	67	0.697959	0.520784	0.817491	6.752338	50
1	68	0.297671	0.021064	0.531948	2.160253	50
1	69	-0.362689	-0.582259	-0.093807	-2.696379	50
1	70	0.078511	-0.204306	0.349232	0.545627	50
1	71	0.415702	0.155322	0.622074	3.166649	50
1	72	0.610180	0.399718	0.759530	5.335921	50
1	73	0.343354	0.071870	0.567471	2.532804	50
1	74	0.574468	0.352478	0.735250	4.862425	50
1	75	0.537025	0.304135	0.709343	4.410577	50
1	76	0.720786	0.553479	0.832177	7.204344	50
1	77	0.739352	0.580458	0.844007	7.607651	50
1	78	0.495318	0.251663	0.679927	3.950292	50
1	79	0.724466	0.558799	0.834530	7.281543	50
1	80	0.700569	0.524496	0.819178	6.801835	50
1	81	0.603938	0.391379	0.755316	5.249732	50
1	82	0.686050	0.503930	0.809767	6.532981	50
1	83	-0.295558	-0.530285	-0.018748	-2.143446	50
1	84	-0.026651	-0.302757	0.253583	-0.184707	50
1	85	0.426671	0.168308	0.630180	3.268512	50
1	86	0.328788	0.055516	0.556234	2.412005	50
1	87	0.429014	0.171093	0.631906	3.290493	50
1	88	0.344218	0.072845	0.568135	2.540036	50
1	89	0.687971	0.506639	0.811015	6.567665	50
1	90	0.666555	0.476636	0.797029	6.194899	50
1	91	0.674206	0.487304	0.802042	6.324657	50
1	92	0.528285	0.293021	0.703228	4.310687	50
1	93	0.769124	0.624460	0.862768	8.337733	50
1	94	0.554190	0.326149	0.721278	4.612666	50
1	95	0.501957	0.259921	0.684649	4.020914	50
1	96	0.328980	0.055730	0.556383	2.413584	50
1	97	0.385892	0.120480	0.599816	2.898003	50
1	98	0.197407	-0.085652	0.450979	1.395129	50
1	99	0.224874	-0.057050	0.473583	1.598924	50
2	3	0.554889	0.327051	0.721762	4.621069	50
2	4	0.186516	-0.096866	0.441925	1.315299	50
2	5	0.334142	0.061510	0.560374	2.456176	50
2	6	0.318959	0.044563	0.548605	2.331595	50
2	7	0.132398	-0.151539	0.396151	0.925431	50
2	8	0.690982	0.510892	0.812970	6.622553	50
2	9	-0.082003	-0.352313	0.200936	-0.570051	50
2	10	0.528717	0.293569	0.703531	4.315581	50
2	11	-0.397522	-0.608539	-0.133996	-3.001456	50
2	12	0.232094	-0.049454	0.479470	1.653132	50
2	13	-0.153288	-0.413977	0.130638	-1.074714	50
2	14	0.335823	0.063396	0.561672	2.470097	50
2	15	0.255667	-0.024424	0.498540	1.832203	50
2	16	0.526424	0.290663	0.701923	4.289675	50
2	17	-0.524145	-0.700322	-0.287778	-4.264038	50
2	18	0.122122	-0.161729	0.387309	0.852464	50
2	19	0.746350	0.590719	0.848441	7.769276	50
2	20	0.055946	-0.225924	0.329173	0.388216	50
2	21	0.193383	-0.089804	0.447639	1.365571	50
2	22	0.379163	0.112705	0.594746	2.838899	50
2	23	0.684324	0.501499	0.808644	6.502032	50
2	24	0.595467	0.380119	0.749577	5.135198	50
2	25	0.202555	-0.080327	0.455240	1.433046	50
2	26	0.521286	0.284166	0.698313	4.232074	50
2	27	0.001729	-0.276757	0.279947	0.011978	50
2	28	0.570976	0.347919	0.732854	4.818509	50
2	29	0.634124	0.432029	0.775579	5.681794	50
2	30	0.127035	-0.156864	0.391543	0.887314	50
2	31	0.243492	-0.037395	0.488721	1.739314	50
2	32	0.222580	-0.059456	0.471707	1.581757	50
2	33	0.309170	0.033719	0.540968	2.252342	50
2	34	0.064038	-0.218204	0.336394	0.444582	50
2	35	0.154965	-0.128949	0.415400	1.086760	50
2	36	0.590261	0.373230	0.746039	5.066133	50
2	37	0.452363	0.199077	0.648996	3.514174	50
2	38	0.732376	0.570280	0.839574	7.451972	50
2	39	0.192278	-0.090942	0.446722	1.357472	50
2	40	0.242904	-0.038019	0.488245	1.734850	50
2	41	0.626903	0.422229	0.770758	5.574799	50
2	42	0.193431	-0.089754	0.447679	1.365924	50
2	43	0.175235	-0.108406	0.432492	1.233142	50
2	44	0.433202	0.176082	0.634986	3.329993	50
2	45	0.251711	-0.028649	0.495357	1.801921	50
2	46	0.254850	-0.025297	0.497884	1.825945	50
2	47	0.293027	0.015978	0.528290	2.123359	50
2	48	0.469506	0.219891	0.661419	3.684141	50
2	49	0.461007	0.209543	0.655273	3.599232	50
2	50	0.383020	0.117158	0.597654	2.872710	50
2	51	0.621638	0.415115	0.767233	5.498294	50
2	52	-0.001729	-0.279947	0.276757	-0.011978	50
2	53	0.457117	0.204826	0.652452	3.560798	50
2	54	0.695063	0.516673	0.815616	6.698033	50
2	55	0.331981	0.059088	0.558705	2.438316	50
2	56	0.723156	0.556904	0.833693	7.253919	50
2	57	0.620684	0.413828	0.766593	5.484553	50
2	58	0.660824	0.468682	0.793262	6.100032	50
2	59	0.794319	0.662430	0.878446	9.058755	50
2	60	0.531707	0.297365	0.705626	4.349570	50
2	61	0.421149	0.161759	0.626104	3.217013	50
2	62	-0.351958	-0.574070	-0.081600	-2.605124	50
2	63	0.436862	0.180453	0.637673	3.364730	50
2	64	0.662313	0.470745	0.794242	6.124491	50
2	65	0.616980	0.408842	0.764107	5.431617	50
2	66	0.225173	-0.056736	0.473827	1.601163	50
2	67	0.556953	0.329717	0.723190	4.645977	50
2	68	0.212399	-0.070098	0.463357	1.505905	50
2	69	0.298934	0.022449	0.532941	2.170315	50
2	70	0.004034	-0.274627	0.282070	0.027947	50
2	71	0.186420	-0.096965	0.441845	1.314597	50
2	72	0.494766	0.250978	0.679533	3.944457	50
2	73	0.326538	0.053003	0.554491	2.393525	50
2	74	0.720772	0.553460	0.832168	7.204065	50
2	75	0.389089	0.124186	0.602219	2.926278	50
2	76	0.461306	0.209906	0.655490	3.602199	50
2	77	0.466337	0.216026	0.659130	3.652329	50
2	78	0.536496	0.303461	0.708974	4.404484	50
2	79	0.731560	0.569092	0.839054	7.434091	50
2	80	0.631978	0.429112	0.774148	5.649745	50
2	81	0.384412	0.118768	0.598702	2.884962	50
2	82	0.392816	0.128515	0.605015	2.959394	50
2	83	0.157703	-0.126189	0.417719	1.106441	50
2	84	0.588984	0.371544	0.745170	5.049343	50
2	85	0.351510	0.081092	0.573727	2.601342	50
2	86	0.310843	0.035568	0.542276	2.265832	50
2	87	0.112325	-0.171386	0.378833	0.783167	50
2	88	0.413293	0.152482	0.620287	3.144502	50
2	89	0.612466	0.402780	0.761070	5.367880	50
2	90	0.268056	-0.011127	0.508470	1.927694	50
2	91	0.298317	0.021772	0.532456	2.165396	50
2	92	0.395380	0.131500	0.606936	2.982277	50
2	93	0.485257	0.239216	0.672741	3.845005	50
2	94	0.755186	0.603746	0.854018	7.981698	50
2	95	0.556223	0.328773	0.722685	4.637146	50
2	96	0.836487	0.727531	0.904287	10.575704	50
2	97	0.791894	0.658746	0.876945	8.984396	50
2	98	0.447512	0.193230	0.645462	3.466996	50
2	99	0.352574	0.082298	0.574541	2.610329	50
3	4	0.216903	-0.065398	0.467057	1.539394	50
3	5	0.750510	0.596842	0.851069	7.868075	50
3	6	0.666651	0.476769	0.797092	6.196505	50
3	7	0.478235	0.230576	0.667704	3.772702	50
3	8	0.754718	0.603053	0.853722	7.970190	50
3	9	0.117031	-0.166754	0.382910	0.816426	50
3	10	0.378824	0.112314	0.594489	2.835931	50
3	11	0.098487	-0.184935	0.366785	0.685674	50
3	12	0.229153	-0.052551	0.477075	1.631020	50
3	13	0.203222	-0.079635	0.455792	1.437971	50
3	14	0.628587	0.424510	0.771884	5.599528	50
3	15	0.412821	0.151926	0.619937	3.140174	50
