##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_pearson	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_pearson	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
0	1	0.030398	-0.369174	0.420485	0.145850	25	0.213201	0.729927	0.470488	0.873211	5.121396	25	0.213201	-2.978870	0.002893
0	2	0.071257	-0.333264	0.453622	0.342606	25	0.213201	0.592083	0.257093	0.800046	3.523526	25	0.213201	-2.021447	0.043233
0	3	-0.404920	-0.689705	-0.011646	-2.123832	25	0.213201	0.459227	0.078297	0.723144	2.479259	25	0.213201	-3.070701	0.002136
0	4	-0.110333	-0.484354	0.297787	-0.532388	25	0.213201	-0.380069	-0.673987	0.017731	-1.970626	25	0.213201	0.959686	0.337213
0	5	-0.345868	-0.651912	0.057069	-1.767830	25	0.213201	0.046329	-0.355313	0.433530	0.222425	25	0.213201	-1.350214	0.176947
0	6	-0.228874	-0.572258	0.182795	-1.127571	25	0.213201	-0.153008	-0.516894	0.257711	-0.742542	25	0.213201	-0.261291	0.793868
0	7	-0.354736	-0.657686	0.046988	-1.819588	25	0.213201	-0.144155	-0.510229	0.266142	-0.698639	25	0.213201	-0.748513	0.454151
0	8	-0.208376	-0.557602	0.203518	-1.021767	25	0.213201	0.553017	0.202025	0.778121	3.183232	25	0.213201	-2.766695	0.005663
0	9	-0.325795	-0.638709	0.079588	-1.652624	25	0.213201	0.729876	0.470404	0.873186	5.120636	25	0.213201	-4.200766	0.000027
0	10	-0.134228	-0.502703	0.275522	-0.649615	25	0.213201	0.290834	-0.117846	0.615266	1.457809	25	0.213201	-1.441143	0.149544
0	11	-0.026761	-0.417484	0.372313	-0.128387	25	0.213201	-0.395125	-0.683542	0.000014	-2.062810	25	0.213201	1.297104	0.194595
0	12	-0.200108	-0.551628	0.211775	-0.979494	25	0.213201	-0.299133	-0.620883	0.108873	-1.503430	25	0.213201	0.350641	0.725858
0	13	0.278861	-0.130676	0.607103	1.392612	25	0.213201	-0.296913	-0.619384	0.111280	-1.491192	25	0.213201	1.965356	0.049373
0	14	-0.183614	-0.539602	0.228070	-0.895813	25	0.213201	0.715444	0.446544	0.865816	4.910975	25	0.213201	-3.595120	0.000324
