Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
hsa-miR-1	hsa-miR-100	-0.025385	-0.416346	0.373499	-0.121780	25	0.213201	0.530000	0.170588	0.764941	2.997403	25	0.213201	-2.041499	0.041201
hsa-miR-1	hsa-miR-100*	0.156923	-0.253962	0.519828	0.762017	25	0.213201	0.382070	-0.015391	0.675263	1.982770	25	0.213201	-0.810088	0.417889
hsa-miR-1	hsa-miR-101	-0.453846	-0.719885	-0.071538	-2.442620	25	0.213201	0.171538	-0.239857	0.530704	0.835047	25	0.213201	-2.198209	0.027934
hsa-miR-1	hsa-miR-101*	-0.254615	-0.590358	0.156241	-1.262708	25	0.213201	0.031538	-0.368187	0.421424	0.151328	25	0.213201	-0.968093	0.332998
hsa-miR-1	hsa-miR-103	-0.390769	-0.680788	0.005166	-2.035944	25	0.213201	0.161954	-0.249126	0.523585	0.787096	25	0.213201	-1.910709	0.056042
hsa-miR-1	hsa-miR-103-2*	-0.272308	-0.602605	0.137640	-1.357231	25	0.213201	0.022308	-0.376145	0.413798	0.107011	25	0.213201	-1.000513	0.317062
hsa-miR-1	hsa-miR-103-as	-0.363077	-0.663085	0.037430	-1.868783	25	0.213201	-0.246154	-0.584445	0.165036	-1.217989	25	0.213201	-0.428213	0.668496
hsa-miR-1	hsa-miR-105	-0.260000	-0.594102	0.150610	-1.291327	25	0.213201	0.464615	0.085101	0.726396	2.516302	25	0.213201	-2.551445	0.010728
hsa-miR-1	hsa-miR-105*	-0.312308	-0.629733	0.094490	-1.576637	25	0.213201	0.666410	0.368239	0.840282	4.286554	25	0.213201	-3.739023	0.000185
hsa-miR-1	hsa-miR-106a*	-0.190769	-0.544837	0.221029	-0.932014	25	0.213201	0.586154	0.248594	0.796754	3.469632	25	0.213201	-2.868622	0.004123
hsa-miR-1	hsa-miR-106b	-0.051538	-0.437761	0.350742	-0.247499	25	0.213201	-0.316154	-0.632302	0.090259	-1.598195	25	0.213201	0.914672	0.360364
hsa-miR-1	hsa-miR-106b*	-0.123077	-0.494181	0.285968	-0.594778	25	0.213201	-0.123077	-0.494181	0.285968	-0.594778	25	0.213201	0.000000	1.000000
hsa-miR-1	hsa-miR-107	0.254615	-0.156241	0.590358	1.262708	25	0.213201	-0.493846	-0.743834	-0.122640	-2.723713	25	0.213201	2.658196	0.007856
hsa-miR-1	hsa-miR-10a	-0.098462	-0.475114	0.308686	-0.474511	25	0.213201	0.646923	0.338250	0.829915	4.068602	25	0.213201	-2.881386	0.003959
hsa-miR-1	hsa-miR-10a*	-0.311538	-0.629219	0.095335	-1.572336	25	0.213201	0.818462	0.625668	0.917028	6.831654	25	0.213201	-4.889991	1.008407e-06
hsa-miR-1	hsa-miR-10b	-0.092308	-0.470292	0.314293	-0.444590	25	0.213201	0.660000	0.358305	0.836886	4.213223	25	0.213201	-2.936490	0.003319
hsa-miR-1	hsa-miR-10b*	0.418462	0.027945	0.698159	2.209640	25	0.213201	-0.167340	-0.527592	0.243926	-0.814012	25	0.213201	2.038909	0.041459
hsa-miR-1	hsa-miR-1178	-0.079231	-0.459968	0.326116	-0.381176	25	0.213201	0.166923	-0.244330	0.527282	0.811926	25	0.213201	-0.822181	0.410974
hsa-miR-1	hsa-miR-1179	-0.208462	-0.557664	0.203433	-1.022204	25	0.213201	0.492308	0.120638	0.742925	2.712508	25	0.213201	-2.489671	0.012786
hsa-miR-1	hsa-miR-1180	-0.166923	-0.527282	0.244330	-0.811926	25	0.213201	-0.038462	-0.427108	0.362180	-0.184592	25	0.213201	-0.431225	0.666305
hsa-miR-1	hsa-miR-1181	-0.075385	-0.456912	0.329570	-0.362564	25	0.213201	0.373077	-0.025875	0.669516	1.928447	25	0.213201	-1.550591	0.121000
hsa-miR-1	hsa-miR-1182	-0.188462	-0.543151	0.223305	-0.920321	25	0.213201	0.003078	-0.392537	0.397731	0.014759	25	0.213201	-0.642825	0.520338
hsa-miR-1	hsa-miR-1183	-0.069231	-0.452003	0.335073	-0.332818	25	0.213201	0.639231	0.326583	0.825787	3.986455	25	0.213201	-2.740241	0.006139
hsa-miR-1	hsa-miR-1184	-0.296923	-0.619390	0.111269	-1.491246	25	0.213201	0.707692	0.433885	0.861831	4.803784	25	0.213201	-3.942430	0.000081
hsa-miR-1	hsa-miR-1185	-0.176154	-0.534114	0.235366	-0.858225	25	0.213201	0.178462	-0.233114	0.535815	0.869835	25	0.213201	-1.188691	0.234561
hsa-miR-1	hsa-miR-1197	0.173846	-0.237614	0.532411	0.846629	25	0.213201	0.854615	0.693751	0.934262	7.893116	25	0.213201	-3.639647	0.000273
hsa-miR-1	hsa-miR-1200	0.267692	-0.142520	0.599425	1.332435	25	0.213201	0.381612	-0.015927	0.674971	1.979986	25	0.213201	-0.423097	0.672225
hsa-miR-1	hsa-miR-1201_v15.0	0.226154	-0.185566	0.570326	1.113443	25	0.213201	0.873846	0.731176	0.943279	8.619493	25	0.213201	-3.711273	0.000206
hsa-miR-1	hsa-miR-1202	-0.128462	-0.498305	0.280936	-0.621227	25	0.213201	0.259231	-0.151417	0.593568	1.287231	25	0.213201	-1.308272	0.190781
hsa-miR-1	hsa-miR-1203	-0.189231	-0.543714	0.222547	-0.924217	25	0.213201	0.337692	-0.066291	0.646556	1.720589	25	0.213201	-1.801009	0.071701
hsa-miR-1	hsa-miR-1204	0.040769	-0.360170	0.428996	0.195685	25	0.213201	-0.020000	-0.411882	0.378126	-0.095936	25	0.213201	0.201632	0.840204
hsa-miR-1	hsa-miR-1205	-0.109231	-0.483500	0.298803	-0.527006	25	0.213201	-0.049231	-0.435889	0.352769	-0.236389	25	0.213201	-0.200316	0.841233
hsa-miR-1	hsa-miR-1206	-0.168462	-0.528424	0.242841	-0.819627	25	0.213201	0.287692	-0.121226	0.613130	1.440630	25	0.213201	-1.545983	0.122109
hsa-miR-1	hsa-miR-1207-3p	-0.290000	-0.614699	0.118744	-1.453242	25	0.213201	-0.203116	-0.553806	0.208778	-0.994848	25	0.213201	-0.307072	0.758788
hsa-miR-1	hsa-miR-1207-5p	-0.080769	-0.461188	0.324732	-0.388625	25	0.213201	0.744615	0.495169	0.880645	5.349937	25	0.213201	-3.454944	0.000550
hsa-miR-1	hsa-miR-1208	0.120769	-0.288117	0.492409	0.583459	25	0.213201	0.319292	-0.086796	0.634392	1.615851	25	0.213201	-0.694823	0.487166
hsa-miR-1	hsa-miR-122	-0.535385	-0.768042	-0.177877	-3.040006	25	0.213201	0.300769	-0.107096	0.621987	1.512471	25	0.213201	-3.011589	0.002599
hsa-miR-1	hsa-miR-122*	0.096154	-0.310792	0.473308	0.463284	25	0.213201	0.188462	-0.223305	0.543151	0.920321	25	0.213201	-0.312724	0.754491
hsa-miR-1	hsa-miR-1224-3p	-0.266923	-0.598894	0.143332	-1.328312	25	0.213201	0.075385	-0.329570	0.456912	0.362564	25	0.213201	-1.157753	0.246965
hsa-miR-1	hsa-miR-1224-5p	-0.223077	-0.568135	0.188693	-1.097495	25	0.213201	0.346923	-0.055874	0.652601	1.773959	25	0.213201	-1.952940	0.050827
hsa-miR-1	hsa-miR-1225-3p	-0.073077	-0.455074	0.331637	-0.351404	25	0.213201	0.872308	0.728150	0.942562	8.555841	25	0.213201	-4.695874	2.654695e-06
hsa-miR-1	hsa-miR-1225-5p	-0.226923	-0.570873	0.184783	-1.117436	25	0.213201	0.610000	0.283099	0.809919	3.691888	25	0.213201	-3.117178	0.001826
hsa-miR-1	hsa-miR-1226	0.150000	-0.260582	0.514635	0.727607	25	0.213201	0.083077	-0.322652	0.463015	0.399805	25	0.213201	0.225104	0.821898
hsa-miR-1	hsa-miR-1226*	0.177692	-0.233865	0.535248	0.865963	25	0.213201	0.206154	-0.205743	0.556000	1.010383	25	0.213201	-0.098014	0.921921
hsa-miR-1	hsa-miR-1227	-0.175385	-0.533547	0.236116	-0.854358	25	0.213201	0.240046	-0.171343	0.580155	1.185895	25	0.213201	-1.399748	0.161589
hsa-miR-1	hsa-miR-1228	-0.113077	-0.486478	0.295253	-0.545799	25	0.213201	0.601538	0.270758	0.805271	3.611315	25	0.213201	-2.683538	0.007285
hsa-miR-1	hsa-miR-1228*	0.090769	-0.315691	0.469082	0.437118	25	0.213201	-0.135385	-0.503583	0.274434	-0.655315	25	0.213201	0.753672	0.451046
hsa-miR-1	hsa-miR-1229	0.032308	-0.367521	0.422057	0.155023	25	0.213201	0.436154	0.049557	0.709087	2.324464	25	0.213201	-1.443237	0.148954
hsa-miR-1	hsa-miR-1231	0.460000	0.079271	0.723611	2.484554	25	0.213201	0.722308	0.457844	0.869329	5.008975	25	0.213201	-1.376870	0.168552
hsa-miR-1	hsa-miR-1233	-0.073846	-0.455687	0.330948	-0.355123	25	0.213201	0.512308	0.146910	0.754675	2.860894	25	0.213201	-2.122091	0.033830
hsa-miR-1	hsa-miR-1234	-0.027692	-0.418253	0.371510	-0.132859	25	0.213201	0.420769	0.030743	0.699591	2.224438	25	0.213201	-1.579794	0.114154
hsa-miR-1	hsa-miR-1236	0.170769	-0.240603	0.530135	0.831190	25	0.213201	0.603077	0.272993	0.806118	3.625820	25	0.213201	-1.742919	0.081348
hsa-miR-1	hsa-miR-1237	0.217692	-0.194145	0.564290	1.069669	25	0.213201	0.658462	0.355931	0.836068	4.195868	25	0.213201	-1.886696	0.059201
hsa-miR-1	hsa-miR-1238	0.300000	-0.107932	0.621468	1.508219	25	0.213201	0.281538	-0.127818	0.608934	1.407130	25	0.213201	0.066888	0.946671
hsa-miR-1	hsa-miR-124	0.160769	-0.250267	0.522702	0.781184	25	0.213201	-0.078462	-0.459357	0.326808	-0.377452	25	0.213201	0.798641	0.424499
hsa-miR-1	hsa-miR-124*	-0.243077	-0.582286	0.168218	-1.201802	25	0.213201	0.466923	0.088027	0.727785	2.532274	25	0.213201	-2.501299	0.012374
hsa-miR-1	hsa-miR-1243	-0.203077	-0.553777	0.208817	-0.994648	25	0.213201	0.650894	0.344311	0.832038	4.111842	25	0.213201	-3.259542	0.001116
hsa-miR-1	hsa-miR-1244	0.063077	-0.340548	0.447071	0.303110	25	0.213201	0.280769	-0.128640	0.608408	1.402955	25	0.213201	-0.747422	0.454809
hsa-miR-1	hsa-miR-1245	-0.488462	-0.740647	-0.115645	-2.684642	25	0.213201	0.086170	-0.319858	0.465459	0.414802	25	0.213201	-2.057708	0.039618
hsa-miR-1	hsa-miR-1246	0.331538	-0.073187	0.642506	1.685322	25	0.213201	0.141538	-0.268622	0.508251	0.685698	25	0.213201	0.670159	0.502756
hsa-miR-1	hsa-miR-1247	0.086154	-0.319873	0.465446	0.414721	25	0.213201	0.026154	-0.372837	0.416982	0.125472	25	0.213201	0.199688	0.841725
hsa-miR-1	hsa-miR-1248	0.090769	-0.315691	0.469082	0.437118	25	0.213201	0.410769	0.018661	0.693366	2.160683	25	0.213201	-1.145949	0.251816
hsa-miR-1	hsa-miR-1249	-0.323846	-0.637417	0.081753	-1.641577	25	0.213201	0.381538	-0.016013	0.674924	1.979541	25	0.213201	-2.446995	0.014405
hsa-miR-1	hsa-miR-1250	0.390000	-0.006073	0.680301	2.031216	25	0.213201	0.173846	-0.237614	0.532411	0.846629	25	0.213201	0.783288	0.433458
hsa-miR-1	hsa-miR-1251	-0.020769	-0.412521	0.377466	-0.099627	25	0.213201	0.260769	-0.149804	0.594636	1.295425	25	0.213201	-0.954212	0.339976
hsa-miR-1	hsa-miR-1252	-0.173846	-0.532411	0.237614	-0.846629	25	0.213201	0.655385	0.351195	0.834432	4.161438	25	0.213201	-3.184987	0.001448
hsa-miR-1	hsa-miR-1253	0.047692	-0.354118	0.434639	0.228985	25	0.213201	0.384615	-0.012408	0.676883	1.998263	25	0.213201	-1.186478	0.235434
hsa-miR-1	hsa-miR-1254	0.108462	-0.299512	0.482903	0.523250	25	0.213201	-0.148462	-0.513477	0.262048	-0.719975	25	0.213201	0.857204	0.391332
hsa-miR-1	hsa-miR-1255a	0.062308	-0.341231	0.446453	0.299399	25	0.213201	0.113077	-0.295253	0.486478	0.545799	25	0.213201	-0.169725	0.865226
hsa-miR-1	hsa-miR-1255b	-0.210769	-0.559325	0.201118	-1.034043	25	0.213201	0.313077	-0.093645	0.630247	1.580942	25	0.213201	-1.784109	0.074406
hsa-miR-1	hsa-miR-1256	-0.241538	-0.581205	0.169805	-1.193722	25	0.213201	-0.301538	-0.622505	0.106260	-1.516725	25	0.213201	0.214930	0.829822
hsa-miR-1	hsa-miR-1257	-0.080769	-0.461188	0.324732	-0.388625	25	0.213201	0.627692	0.309259	0.819559	3.866994	25	0.213201	-2.714805	0.006631
hsa-miR-1	hsa-miR-1258	0.463846	0.084128	0.725932	2.510993	25	0.213201	0.313137	-0.093579	0.630288	1.581279	25	0.213201	0.590959	0.554548
hsa-miR-1	hsa-miR-1259_v15.0	0.375385	-0.023193	0.670994	1.942325	25	0.213201	0.355385	-0.046247	0.658107	1.823396	25	0.213201	0.076557	0.938976
hsa-miR-1	hsa-miR-125a-3p	0.242308	-0.169012	0.581746	1.197761	25	0.213201	0.680000	0.389526	0.847437	4.447779	25	0.213201	-1.929910	0.053618
hsa-miR-1	hsa-miR-125a-5p	0.456923	0.075399	0.721750	2.463531	25	0.213201	0.528462	0.168512	0.764053	2.985324	25	0.213201	-0.313728	0.753728
hsa-miR-1	hsa-miR-125b	-0.080769	-0.461188	0.324732	-0.388625	25	0.213201	0.678462	0.387100	0.846630	4.429116	25	0.213201	-3.008853	0.002622
hsa-miR-1	hsa-miR-125b-1*	0.096923	-0.310090	0.473911	0.467026	25	0.213201	0.633077	0.317317	0.822471	3.922198	25	0.213201	-2.153505	0.031279
hsa-miR-1	hsa-miR-125b-2*	-0.143846	-0.509996	0.266435	-0.697112	25	0.213201	0.511538	0.145889	0.754226	2.855074	25	0.213201	-2.353683	0.018588
hsa-miR-1	hsa-miR-126	-0.122308	-0.493591	0.286685	-0.591004	25	0.213201	0.166154	-0.245073	0.526711	0.808078	25	0.213201	-0.963917	0.335088
hsa-miR-1	hsa-miR-126*	0.485385	0.111664	0.738821	2.662497	25	0.213201	-0.113846	-0.487073	0.294541	-0.549560	25	0.213201	2.137055	0.032593
hsa-miR-1	hsa-miR-1260	-0.179231	-0.536381	0.232363	-0.873708	25	0.213201	-0.128462	-0.498305	0.280936	-0.621227	25	0.213201	-0.172506	0.863040
hsa-miR-1	hsa-miR-1261	-0.316923	-0.632814	0.089411	-1.602518	25	0.213201	-0.043077	-0.430880	0.358157	-0.206782	25	0.213201	-0.945634	0.344335
hsa-miR-1	hsa-miR-1262	0.031538	-0.368187	0.421424	0.151328	25	0.213201	0.066923	-0.337129	0.450157	0.321673	25	0.213201	-0.117655	0.906341
hsa-miR-1	hsa-miR-1263	0.031538	-0.368187	0.421424	0.151328	25	0.213201	0.125409	-0.283792	0.495969	0.606225	25	0.213201	-0.313499	0.753901
hsa-miR-1	hsa-miR-1264	0.372308	-0.026768	0.669023	1.923830	25	0.213201	0.417692	0.027013	0.697680	2.204719	25	0.213201	-0.178414	0.858398
hsa-miR-1	hsa-miR-1265	-0.394615	-0.683220	0.000618	-2.059658	25	0.213201	0.630769	0.313858	0.821224	3.898426	25	0.213201	-3.847111	0.000120
hsa-miR-1	hsa-miR-1266	0.103077	-0.304461	0.478716	0.496987	25	0.213201	0.202308	-0.209584	0.553221	0.990720	25	0.213201	-0.337278	0.735907
hsa-miR-1	hsa-miR-1267	-0.177692	-0.535248	0.233865	-0.865963	25	0.213201	0.461538	0.081212	0.724541	2.495108	25	0.213201	-2.251534	0.024352
hsa-miR-1	hsa-miR-1268	0.493077	0.121639	0.743379	2.718107	25	0.213201	0.633077	0.317317	0.822471	3.922198	25	0.213201	-0.684607	0.493592
hsa-miR-1	hsa-miR-1269	-0.102308	-0.478117	0.305166	-0.493239	25	0.213201	0.540000	0.184157	0.770692	3.076936	25	0.213201	-2.344265	0.019065
hsa-miR-1	hsa-miR-127-3p	-0.311538	-0.629219	0.095335	-1.572336	25	0.213201	0.404615	0.011282	0.689514	2.121919	25	0.213201	-2.492125	0.012698
hsa-miR-1	hsa-miR-127-5p	-0.135385	-0.503583	0.274434	-0.655315	25	0.213201	0.665385	0.366645	0.839739	4.274708	25	0.213201	-3.113102	0.001851
