Model	SNP1	SNP2	a	b	c	d	OR	Lower_CI	Upper_CI	chi_square	chi_pvalue
(AA+Aa)*(BB)_vs_other	0	1	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
(AA+Aa)*(BB)_vs_other	0	2	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	3	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	4	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
(AA+Aa)*(BB)_vs_other	0	5	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	6	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	7	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	8	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	9	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
(AA+Aa)*(BB)_vs_other	0	10	2	48	5	45	0.375000	0.069227	2.031357	0.614439	0.433121
(AA+Aa)*(BB)_vs_other	0	11	6	44	3	47	2.136364	0.503322	9.067847	0.488400	0.484642
(AA+Aa)*(BB)_vs_other	0	12	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	13	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	14	3	47	1	50	3.191489	0.320623	31.768194	0.281364	0.595809
(AA+Aa)*(BB)_vs_other	0	15	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	16	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	17	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	18	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	0	19	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	20	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	21	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	22	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	23	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	24	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	25	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	26	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	27	3	47	1	49	3.127660	0.314103	31.143450	0.260417	0.609834
(AA+Aa)*(BB)_vs_other	0	28	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	29	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	30	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	31	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	32	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	33	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	34	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	35	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	36	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	37	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	38	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	39	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	40	2	48	1	50	2.083333	0.182869	23.734346	0.000303	0.986109
(AA+Aa)*(BB)_vs_other	0	41	1	50	3	47	0.313333	0.031478	3.118931	0.281364	0.595809
(AA+Aa)*(BB)_vs_other	0	42	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
(AA+Aa)*(BB)_vs_other	0	43	5	45	3	47	1.740741	0.392861	7.713101	0.135870	0.712422
(AA+Aa)*(BB)_vs_other	0	44	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
(AA+Aa)*(BB)_vs_other	0	45	3	47	1	49	3.127660	0.314103	31.143450	0.260417	0.609834
(AA+Aa)*(BB)_vs_other	0	46	1	50	1	50	1.000000	0.060844	16.435440	0.510000	0.475139
