Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
cg00050873	A1BG	50	2	1.590584	5.490486	52.86216	3.341357e-44	0.200524	1.261184	0.213338
cg00050873	A1BG-AS1	50	2	0.243478	5.073223	42.671635	7.877337e-40	-0.089805	-0.493436	0.623955
cg00050873	A1CF	50	2	0.120243	3.43157	37.499908	3.255001e-37	-0.048575	-0.34676	0.730287
cg00050873	A2M	50	2	0.290062	4.082934	34.557644	1.432852e-35	-0.097409	-0.538574	0.59267
cg00050873	A2M-AS1	50	2	1.521052	7.25785	22.683027	2.655231e-27	0.60409	1.233309	0.223466
cg00050873	A2ML1	50	2	0.473934	2.978675	34.199562	2.317543e-35	-0.091788	-0.688428	0.494497
cg00050873	A2MP1	50	2	0.940788	4.18457	27.700016	3.547968e-31	0.224306	0.969943	0.336937
cg00050873	A4GALT	50	2	0.010097	4.9298	59.438519	1.305383e-46	-0.012758	-0.100482	0.92038
cg00050873	A4GNT	50	2	0.139274	4.4742	37.724129	2.467604e-37	0.067757	0.373194	0.710647
cg00050873	AA06	50	2	2.499908	4.196271	32.454903	2.583436e-34	0.312945	1.58111	0.120421
cg00050873	AAAS	50	2	0.367777	5.727896	42.542534	9.077146e-40	0.124993	0.606446	0.547076
cg00050873	AACS	50	2	1.242926	6.478425	76.311913	9.132013e-52	0.144885	1.114866	0.270459
cg00050873	AACSP1	50	2	0.473293	3.286618	24.722572	5.862509e-29	-0.140005	-0.687963	0.494788
cg00050873	AADAC	50	2	0.172177	3.451331	33.807686	3.943551e-35	0.064846	0.414943	0.680033
cg00050873	AADACL2	50	2	0.442195	1.976279	16.70084	1.245409e-21	0.120459	0.664977	0.509248
cg00050873	AADACP1	50	2	0.014202	2.360556	14.805298	1.606984e-19	-0.029086	-0.119171	0.905637
cg00050873	AADAT	50	2	0.922476	3.334703	26.392134	3.142988e-30	-0.185773	-0.960456	0.341639
cg00050873	AAED1	50	2	0.920915	6.459401	47.151253	7.294286e-42	0.201248	0.959643	0.342044
cg00050873	AAGAB	50	2	0.051937	5.10351	49.170601	1.014321e-42	0.03621	0.227897	0.820694
cg00050873	AAK1	50	2	1.655573	5.660077	33.356552	7.323659e-35	-0.334225	-1.286691	0.204373
cg00050873	AAMDC	50	2	0.28033	4.789466	39.793686	2.054659e-38	0.097551	0.529462	0.598925
cg00050873	AAMP	50	2	6.937921	7.718394	123.383751	9.915365e-62	0.252236	2.633993	0.011324
cg00050873	AANAT	50	2	3.533125	3.012072	23.106682	1.175079e-27	-0.375085	-1.87966	0.066232
cg00050873	AAR2	50	2	0.08274	7.195467	112.750679	7.389792e-60	0.028101	0.287644	0.774857
cg00050873	AARS	50	2	0.214322	7.789434	83.410156	1.318581e-53	0.066183	0.462949	0.645493
cg00050873	AARS2	50	2	0.159254	6.392285	67.164505	3.962976e-49	0.058141	0.399067	0.691614
cg00050873	AARSD1	50	2	4.341948	5.922768	66.384361	6.902922e-49	0.284593	2.083734	0.042532
cg00050873	AASDH	50	2	2.80567	6.591833	65.390518	1.412897e-48	0.258484	1.675014	0.100435
cg00050873	AASDHPPT	50	2	1.02585	7.786765	78.841064	1.932648e-52	-0.153133	-1.012842	0.316214
cg00050873	AASS	50	2	0.569338	2.632286	21.21628	4.939601e-26	0.143308	0.754544	0.454208
cg00050873	AATF	50	2	0.108792	8.789073	103.778641	3.892609e-58	-0.042762	-0.329837	0.742958
cg00050873	AATK	50	2	2.513257	8.340089	77.843475	3.544757e-52	-0.26001	-1.585327	0.119459
cg00050873	AB074162	50	2	1.435697	6.364623	25.94383	6.785029e-30	0.44998	1.198206	0.23672
cg00050873	AB488780	50	2	0.05207	5.974013	63.387779	6.184126e-48	-0.032921	-0.228188	0.820469
cg00050873	ABAT	50	2	5.013759	8.579332	49.392586	8.204631e-43	-0.595383	-2.239143	0.029817
cg00050873	ABCA1	50	2	0.87781	5.284315	30.254957	6.434849e-33	0.250505	0.936916	0.353492
cg00050873	ABCA11P	50	2	0.081158	4.146124	28.53698	9.209923e-32	0.063361	0.284882	0.77696
cg00050873	ABCA12	50	2	0.006878	1.952563	16.694778	1.264125e-21	0.014848	0.082933	0.93425
cg00050873	ABCA13	50	2	1.492512	1.902632	20.112427	4.978541e-25	-0.176918	-1.221684	0.227793
cg00050873	ABCA17P	50	2	1.24628	3.429867	21.147331	5.690111e-26	0.277174	1.116369	0.269822
cg00050873	ABCA2	50	2	6.670924	4.691829	53.381996	2.105092e-44	0.347507	2.582814	0.012904
cg00050873	ABCA3	50	2	0.216511	5.525448	57.961563	4.297464e-46	0.067903	0.465307	0.643816
cg00050873	ABCA4	50	2	0.197527	3.38255	38.358829	1.136071e-37	0.059995	0.44444	0.658722
cg00050873	ABCA5	50	2	0.076931	4.732296	41.8605	1.932823e-39	0.048	0.277364	0.782692
cg00050873	ABCA6	50	2	0.091525	2.348644	19.182493	3.774912e-24	0.056703	0.302531	0.763555
cg00050873	ABCA7	50	2	0.404133	8.513912	88.951736	6.132756e-55	-0.093145	-0.635714	0.527983
