Model	Marker1	Marker2	a	b	c	d	OR	Lower_CI	Upper_CI	chi_square	chi_pvalue
aa*bb_vs_other	rs1019916	rs10457834	16	34	21	29	0.64986	0.286903	1.471989	0.686401	0.407391
aa*bb_vs_other	rs1019916	rs1416770	14	36	21	29	0.537037	0.233106	1.237243	1.582418	0.208413
aa*bb_vs_other	rs1019916	rs1941955	14	36	21	29	0.537037	0.233106	1.237243	1.582418	0.208413
aa*bb_vs_other	rs1019916	rs2125573	12	38	18	32	0.561404	0.235499	1.338326	1.190476	0.275234
aa*bb_vs_other	rs1019916	rs2235751	24	26	22	28	1.174825	0.534699	2.581294	0.040258	0.840978
aa*bb_vs_other	rs1019916	rs2521373	24	26	21	29	1.274725	0.578849	2.807166	0.161616	0.687673
aa*bb_vs_other	rs1019916	rs264581	26	24	23	27	1.271739	0.579732	2.789773	0.160064	0.689098
aa*bb_vs_other	rs1019916	rs2804694	22	28	25	25	0.785714	0.357714	1.72581	0.160578	0.688625
aa*bb_vs_other	rs1019916	rs2959823	7	43	14	36	0.418605	0.152528	1.148838	2.169982	0.140728
aa*bb_vs_other	rs1019916	rs5931272	17	33	14	36	1.324675	0.565853	3.101095	0.187003	0.665423
aa*bb_vs_other	rs1019916	rs6546473	12	38	7	43	1.93985	0.693055	5.429605	1.039636	0.307906
aa*bb_vs_other	rs1019916	rs739259	6	44	15	35	0.318182	0.111826	0.905331	3.857746	0.049517
aa*bb_vs_other	rs1019916	rs798149	7	43	19	31	0.265606	0.099489	0.709086	6.288981	0.012149
aa*bb_vs_other	rs1019916	rs845016	4	46	8	42	0.456522	0.128071	1.627322	0.852273	0.35591
aa*bb_vs_other	rs1019916	rs472920	4	46	10	40	0.347826	0.101205	1.195419	2.076412	0.149591
aa*bb_vs_other	rs1019916	rs133860	4	46	10	40	0.347826	0.101205	1.195419	2.076412	0.149591
aa*bb_vs_other	rs1019916	rs9839873	12	38	23	27	0.370709	0.157702	0.871427	4.395605	0.036032
aa*bb_vs_other	rs1019916	rs1484127	11	39	8	42	1.480769	0.53951	4.064204	0.259909	0.610183
aa*bb_vs_other	rs1019916	rs1510189	4	46	15	35	0.202899	0.06189	0.665173	6.497726	0.010801
aa*bb_vs_other	rs1019916	rs6426327	4	46	15	35	0.202899	0.06189	0.665173	6.497726	0.010801
aa*bb_vs_other	rs1019916	rs3818562	4	46	15	35	0.202899	0.06189	0.665173	6.497726	0.010801
aa*bb_vs_other	rs1019916	rs7660805	6	44	16	34	0.289773	0.102468	0.819461	4.72028	0.029809
aa*bb_vs_other	rs1019916	rs6982811	6	44	16	34	0.289773	0.102468	0.819461	4.72028	0.029809
