Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
cg00050873	LINC00269	50	2	0.486098	6.75547	20.117544	4.924361e-25	-0.358398	-0.697207	0.489036
cg00050873	LINC00271	50	2	0.002485	6.434263	19.584944	1.556465e-24	0.025071	0.049852	0.960447
cg00050873	LINC00272	50	2	0.121502	5.998969	34.257618	2.143058e-35	0.09344	0.348572	0.728935
cg00050873	LINC00273	50	2	0.376174	7.824113	9.951997	2.964362e-13	-0.738146	-0.613331	0.542553
cg00050873	LINC00276	50	2	0.017231	6.29747	17.745604	1.007551e-22	0.07131	0.131265	0.896114
cg00050873	LINC00278	50	2	0.020808	5.871262	105.78421	1.559285e-58	0.012256	0.14425	0.885907
cg00050873	LINC00280	50	2	0.001148	6.42103	19.744116	1.100687e-24	-0.01687	-0.033886	0.973108
cg00050873	LINC00290	50	2	0.332228	6.447444	10.249272	1.124207e-13	0.555055	0.576392	0.567043
cg00050873	LINC00293	50	2	0.207588	6.421664	10.96881	1.125673e-14	0.408331	0.455618	0.650719
cg00050873	LINC00294	50	2	1.651064	9.68442	8.382648	5.851504e-11	-2.272466	-1.284937	0.20498
cg00050873	LINC00297	50	2	0.007587	6.966641	12.791199	4.457511e-17	0.072621	0.087102	0.930953
cg00050873	LINC00298	50	2	0.3135	6.007664	25.869665	7.714823e-30	0.199048	0.559911	0.578144
cg00050873	LINC00299	50	2	0.280815	7.062308	11.563388	1.766788e-15	-0.495444	-0.52992	0.59861
cg00050873	LINC00301	50	2	0.022038	6.215939	23.149019	1.083893e-27	0.061022	0.148452	0.882608
cg00050873	LINC00303	50	2	0.69097	5.926741	84.734436	6.221704e-54	-0.089004	-0.831246	0.409951
cg00050873	LINC00304	50	2	1.458639	6.221592	39.95985	1.691879e-38	-0.287855	-1.207741	0.233064
cg00050873	LINC00305	50	2	0.304425	6.074968	37.284203	4.254966e-37	-0.13762	-0.551748	0.583681
cg00050873	LINC00308	50	2	0.529608	6.017724	21.084534	6.474567e-26	0.317957	0.727742	0.470307
cg00050873	LINC00309	50	2	0.167457	6.047222	26.390305	3.152799e-30	0.143544	0.409215	0.684202
cg00050873	LINC00310	50	2	0.049992	7.885741	5.789937	5.240382e-07	0.466167	0.223588	0.824026
cg00050873	LINC00311	50	2	0.373759	6.29687	27.810308	2.964176e-31	-0.211903	-0.611358	0.543847
cg00050873	LINC00313	50	2	0.181919	6.913216	10.074337	1.986423e-13	0.448049	0.426519	0.671636
cg00050873	LINC00314	50	2	0.222558	7.003553	5.532035	1.28933e-06	0.914278	0.471761	0.639235
cg00050873	LINC00315	50	2	0.001227	6.731966	14.737539	1.926349e-19	0.024495	0.03503	0.972201
cg00050873	LINC00319	50	2	0.09476	7.098876	5.938313	3.11427e-07	0.563328	0.307831	0.759543
cg00050873	LINC00320	50	2	0.145421	6.846499	7.538645	1.103998e-09	0.530167	0.381341	0.704633
cg00050873	LINC00322	50	2	0.001512	7.697723	7.209992	3.506338e-09	0.063559	0.038889	0.96914
cg00050873	LINC00324	50	2	0.271307	7.112067	14.244406	7.324525e-19	-0.398112	-0.520871	0.604851
cg00050873	LINC00326	50	2	0.064196	7.311252	7.478333	1.364284e-09	0.379197	0.25337	0.801064
cg00050873	LINC00327	50	2	0.531643	6.818217	8.152185	1.298097e-10	0.933534	0.729139	0.46946
cg00050873	LINC00330	50	2	0.050811	7.027052	8.444383	4.730525e-11	0.28715	0.225414	0.822614
cg00050873	LINC00331	50	2	0.096872	6.160262	27.944866	2.382436e-31	0.105032	0.311243	0.756964
cg00050873	LINC00332	50	2	0.199093	6.637668	18.745031	1.005312e-23	-0.241869	-0.446198	0.65746
cg00050873	LINC00334	50	2	0.000854	7.075179	12.227955	2.353626e-16	-0.025888	-0.029228	0.976804
cg00050873	LINC00337	50	2	0.063164	6.965693	10.504689	4.92985e-14	0.255117	0.251325	0.802636
cg00050873	LINC00339	50	2	1.617683	8.121187	12.068455	3.798324e-16	-1.3102	-1.271882	0.209543
cg00050873	LINC00342	50	2	0.032233	7.54915	9.236721	3.189749e-12	-0.224622	-0.179535	0.858273
cg00050873	LINC00343	50	2	0.398837	6.435315	11.968485	5.13565e-16	0.519818	0.631535	0.530687
cg00050873	LINC00345	50	2	0.145748	7.326342	4.763895	1.8e-05	0.898771	0.381769	0.704317
cg00050873	LINC00346	50	2	0.004021	6.613749	15.350806	3.807739e-20	-0.041823	-0.063413	0.949701
cg00050873	LINC00347	50	2	0.024793	6.52266	13.9322	1.732069e-18	0.112848	0.157458	0.875544
cg00050873	LINC00348	50	2	0.115453	6.963409	7.482214	1.345818e-09	0.484081	0.339784	0.735501
cg00050873	LINC00350	50	2	0.67798	7.233197	21.581961	2.347366e-26	-0.422446	-0.823396	0.414355
cg00050873	LINC00351	50	2	0.583326	6.049973	27.617529	4.060245e-31	0.256122	0.763758	0.44875
cg00050873	LINC00353	50	2	0.13207	6.786315	7.32089	2.372841e-09	0.515697	0.363414	0.717892
cg00050873	LINC00354	50	2	0.040629	7.107183	10.844686	1.666442e-14	0.202219	0.201566	0.841108
cg00050873	LINC00355	50	2	0.015032	8.223115	9.243678	3.116009e-12	-0.166964	-0.122605	0.902932
cg00050873	LINC00358	50	2	0.085947	6.472396	9.333872	2.30208e-12	0.311202	0.293168	0.770657
cg00050873	LINC00362	50	2	0.962859	7.735318	12.38259	1.484501e-16	-0.938364	-0.981254	0.331388
cg00050873	LINC00363	50	2	0.294777	6.446417	17.400188	2.285595e-22	-0.307917	-0.542933	0.589688
cg00050873	LINC00364	50	2	0.960095	6.152786	8.728062	1.788445e-11	1.057387	0.979844	0.332076
cg00050873	LINC00365	50	2	0.158439	6.727105	9.055245	5.882032e-12	0.45267	0.398044	0.692363
cg00050873	LINC00366	50	2	2.347209	7.960475	15.300496	4.342282e-20	-1.220204	-1.53206	0.132072
cg00050873	LINC00368	50	2	0.272243	6.356778	10.836071	1.712562e-14	0.468562	0.521769	0.60423
cg00050873	LINC00370	50	2	0.258704	6.436513	14.327108	5.842807e-19	0.349798	0.50863	0.613342
cg00050873	LINC00374	50	2	0.566947	6.151167	20.796413	1.17571e-25	0.340928	0.752959	0.455152
cg00050873	LINC00375	50	2	7e-06	6.416388	18.87043	7.578576e-24	-0.001363	-0.002619	0.997922
cg00050873	LINC00376	50	2	0.264023	6.077837	24.557592	7.900207e-29	0.194674	0.513832	0.609727
cg00050873	LINC00377	50	2	0.003232	6.484852	18.759859	9.722053e-24	-0.030083	-0.05685	0.9549
cg00050873	LINC00379	50	2	0.196218	6.518752	15.909684	9.020668e-21	0.27784	0.442965	0.659781
cg00050873	LINC00380	50	2	0.522154	6.232321	11.319755	3.752605e-15	0.609025	0.722602	0.473431
cg00050873	LINC00381	50	2	0.032851	5.969169	54.354019	8.97639e-45	-0.03047	-0.181247	0.856937
cg00050873	LINC00382	50	2	0.08373	5.89897	41.877319	1.896867e-39	0.062397	0.289362	0.77355
cg00050873	LINC00383	50	2	0.000462	5.985496	33.912407	3.419435e-35	-0.005805	-0.021484	0.982949
cg00050873	LINC00384	50	2	0.129012	6.491738	8.591776	2.851092e-11	0.415448	0.359183	0.721034
cg00050873	LINC00385	50	2	0	7.15837	10.100983	1.821e-13	-0.00032	-0.000295	0.999766
cg00050873	LINC00388	50	2	1.775075	7.101657	15.900352	9.237566e-21	-0.910929	-1.332319	0.189046
cg00050873	LINC00390	50	2	0.252158	6.45377	8.837555	1.2312e-11	0.561359	0.502153	0.617856
cg00050873	LINC00391	50	2	0.00228	6.40066	20.281034	3.475603e-25	0.023068	0.047747	0.962116
cg00050873	LINC00392	50	2	0.202878	7.217223	12.771381	4.723014e-17	-0.389649	-0.45042	0.654435
