Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
cg00050873	ABHD14B	50	2	0.236287	9.173663	69.590935	7.337971e-50	-0.098092	-0.486094	0.629112
cg00050873	ABHD15	50	2	1.3567	6.640263	31.394831	1.185588e-33	0.377131	1.164774	0.249867
cg00050873	ABHD2	50	2	0.41361	7.687786	63.063591	7.887216e-48	-0.120017	-0.643125	0.523203
cg00050873	ABHD3	50	2	1.457882	9.308637	31.356497	1.253842e-33	-0.54871	-1.207428	0.233184
cg00050873	ABHD4	50	2	0.002538	6.00094	50.157871	3.97665e-43	0.009226	0.050377	0.960031
cg00050873	ABHD5	50	2	0.064005	8.138643	54.264351	9.704653e-45	-0.058085	-0.252992	0.801355
cg00050873	ABHD6	50	2	0.047952	6.277464	41.109524	4.503294e-39	0.051188	0.21898	0.827594
cg00050873	ABHD8	50	2	0.190036	4.164844	48.98518	1.211786e-42	-0.056738	-0.435931	0.664841
cg00050873	ABI1	50	2	1.385719	9.58313	71.681343	1.796276e-50	-0.240914	-1.177166	0.244934
cg00050873	ABI2	50	2	0.200895	4.90707	94.609657	3.230836e-56	-0.035587	-0.448214	0.656015
cg00050873	ABI3	50	2	0.066319	8.332605	41.370228	3.351915e-39	-0.079403	-0.257526	0.797873
cg00050873	ABI3BP	50	2	10.016418	2.465883	67.118797	4.09323e-49	0.177995	3.164872	0.002693
cg00050873	ABL1	50	2	0.188673	7.045485	63.490803	5.725532e-48	0.073787	0.434366	0.665969
cg00050873	ABL2	50	2	0.064839	7.652027	31.029953	2.024957e-33	-0.096125	-0.254635	0.800092
cg00050873	ABLIM1	50	2	0.220312	6.610185	14.415856	4.588649e-19	0.32947	0.469374	0.640927
cg00050873	ABLIM2	50	2	0.004116	3.645808	64.358871	3.005745e-48	0.005563	0.064153	0.949115
cg00050873	ABLIM3	50	2	0.937706	4.687388	39.076958	4.79187e-38	0.177814	0.968353	0.337722
cg00050873	ABO	50	2	1.414725	5.504532	54.7953	6.125802e-45	-0.182909	-1.189422	0.240124
cg00050873	LRRK2	50	2	2.583488	11.30988	57.002094	9.46878e-46	-0.488195	-1.607322	0.114543
cg00050873	LRRN1	50	2	0.009076	2.745404	32.647282	1.96892e-34	-0.012264	-0.095269	0.924498
cg00050873	LRRN2	50	2	1.589386	4.106496	48.856815	1.371105e-42	-0.162212	-1.260709	0.213508
cg00050873	LRRN3	50	2	0.368424	3.486205	12.061309	3.880946e-16	0.268569	0.606979	0.546725
cg00050873	LRRN4	50	2	0.058307	3.782225	82.793686	1.878033e-53	0.016886	0.241469	0.81022
cg00050873	LRRN4CL	50	2	0.270307	2.710177	58.464336	2.855169e-46	-0.036894	-0.519911	0.605515
cg00050873	LRRTM1	50	2	1.266777	4.909215	50.258701	3.617595e-43	0.168296	1.125512	0.265969
cg00050873	LRRTM2	50	2	0.003139	3.232633	14.279728	6.649862e-19	0.019415	0.056025	0.955554
cg00050873	LRRTM4	50	2	2.363691	3.204419	56.860519	1.065104e-45	0.132635	1.53743	0.130755
cg00050873	LRSAM1	50	2	0.372371	3.870932	56.862823	1.063064e-45	0.063591	0.610221	0.544594
cg00050873	LRTM1	50	2	3.453739	3.470988	55.088402	4.760573e-45	-0.179251	-1.858424	0.069247
cg00050873	LRTM2	50	2	6.852702	6.536921	73.815613	4.447765e-51	-0.354878	-2.617765	0.011805
cg00050873	LRTOMT	50	2	0.406358	4.614768	57.350185	7.098738e-46	0.078522	0.637463	0.526853
cg00050873	LRWD1	50	2	0.628094	6.314517	70.014496	5.499094e-50	0.109418	0.792524	0.431955
cg00050873	LSAMP	50	2	0.541806	3.127593	72.716888	9.079199e-51	0.048464	0.736074	0.465268
cg00050873	LSG1	50	2	0.366876	7.971273	67.313034	3.56818e-49	0.109802	0.605703	0.547565
cg00050873	LSM1	50	2	0.050076	9.393064	87.394768	1.424143e-54	0.036818	0.223778	0.82388
cg00050873	LSM10	50	2	0.641409	7.616363	48.650021	1.674084e-42	0.191935	0.80088	0.427148
cg00050873	LSM11	50	2	4.4e-05	3.820113	33.650677	4.887381e-35	0.001154	0.006643	0.994727
cg00050873	LSM12	50	2	0.096311	8.725507	55.34631	3.817424e-45	0.074897	0.31034	0.757646
cg00050873	LSM14A	50	2	1.859469	11.108565	109.294907	3.27407e-59	-0.212166	-1.363623	0.179048
cg00050873	LSM14B	50	2	3.847302	5.768939	54.327038	9.189462e-45	-0.318846	-1.961455	0.05564
cg00050873	LSM2	50	2	0.020154	6.841962	41.277435	3.72262e-39	-0.036022	-0.141964	0.887703
cg00050873	LSM3	50	2	0.499715	10.550357	121.121315	2.40377e-61	0.094261	0.706904	0.483044
cg00050873	LSM4	50	2	0.005263	10.433408	80.583282	6.821227e-53	0.014379	0.072547	0.942468
cg00050873	LSM5	50	2	1.669939	7.831812	56.084103	2.040973e-45	-0.276246	-1.292261	0.202454
cg00050873	LSM6	50	2	1.006188	9.641768	74.934479	2.173601e-51	-0.197577	-1.003089	0.320848
cg00050873	LSM7	50	2	0.288044	7.545282	46.490292	1.416084e-41	0.133341	0.536697	0.593956
cg00050873	LSMD1	50	2	2.528027	7.914004	66.307999	7.290757e-49	0.290499	1.589977	0.118406
cg00050873	LSP1	50	2	0.790319	11.798538	111.133728	1.474428e-59	-0.14448	-0.888998	0.378438
cg00050873	LSR	50	2	0.902021	4.185184	30.304745	5.969436e-33	0.200787	0.949748	0.346998
cg00050873	LSS	50	2	0.814841	4.131758	34.726387	1.144157e-35	0.164412	0.902685	0.371201
cg00050873	LST1	50	2	0.085792	11.971878	194.805084	3.126956e-71	-0.027556	-0.292903	0.770859
cg00050873	LTA	50	2	0.276616	4.229826	21.627131	2.142791e-26	0.157465	0.525943	0.60135
cg00050873	LTA4H	50	2	1.27163	12.342997	134.939697	1.365366e-63	0.157901	1.127665	0.265067
cg00050873	LTB	50	2	0.979221	5.530047	30.107395	8.043768e-33	0.27824	0.989556	0.327353
cg00050873	LTB4R	50	2	0.049022	7.904008	44.750362	8.48527e-41	0.059865	0.221409	0.825713
cg00050873	LTB4R2	50	2	0.24292	5.135127	55.686661	2.856872e-45	-0.069575	-0.49287	0.624352
cg00050873	LTBP1	50	2	0.032131	4.575078	23.177666	1.026314e-27	0.054164	0.17925	0.858496
cg00050873	LTBP2	50	2	0.768572	3.963112	45.852642	2.708788e-41	0.115994	0.876682	0.385026
cg00050873	LTBP3	50	2	0.44552	5.213853	70.67733	3.513309e-50	-0.075376	-0.667473	0.507667
cg00050873	LTBP4	50	2	0.079915	5.90713	89.437096	4.730271e-55	-0.028582	-0.282691	0.778629
cg00050873	LTBR	50	2	2.281207	5.763056	74.753883	2.438158e-51	0.178248	1.510367	0.137505
cg00050873	LTC4S	50	2	1.1991	5.334352	58.594086	2.570664e-46	-0.152608	-1.095034	0.278966
cg00050873	LTF	50	2	4.328755	5.111352	10.558178	4.152486e-14	1.541883	2.080567	0.042834
cg00050873	LTK	50	2	2.15572	4.22545	51.753483	9.084714e-44	-0.183507	-1.468236	0.148563
cg00050873	LTV1	50	2	1.016792	6.430901	56.199955	1.851196e-45	-0.176634	-1.008361	0.318337
cg00050873	LUC7L	50	2	0.266004	8.772118	60.104034	7.702697e-47	0.115231	0.515755	0.608393
cg00050873	LUC7L2	50	2	0.176664	8.384203	81.077354	5.097435e-53	0.066536	0.420314	0.676131
cg00050873	LUC7L3	50	2	0.38148	9.983029	56.065079	2.073983e-45	-0.168356	-0.617641	0.539732
cg00050873	LUM	50	2	2.402275	3.464147	7.3604	2.064922e-09	-1.116681	-1.549927	0.127728
cg00050873	LUZP1	50	2	0.444943	7.707622	59.986305	8.452576e-47	0.131203	0.667041	0.50794
cg00050873	LUZP2	50	2	0.532756	3.060518	38.351326	1.146456e-37	-0.089166	-0.729901	0.468998
cg00050873	LUZP3P	50	2	0.083963	2.761724	39.35384	3.448938e-38	0.031129	0.289763	0.773245
cg00050873	LUZP4	50	2	0.627948	2.88012	58.258602	3.373784e-46	0.05997	0.792431	0.432008
cg00050873	LXN	50	2	1.559828	6.128544	23.148596	1.084768e-27	0.506167	1.248931	0.217747
cg00050873	PBX1	50	2	0.655388	3.856783	35.909657	2.428752e-36	-0.133103	-0.809561	0.422188
cg00050873	PBX2	50	2	2.396093	7.550907	81.842163	3.258426e-53	-0.218623	-1.547931	0.128208
cg00050873	PBX3	50	2	0.259552	5.22826	80.931061	5.555612e-53	0.050382	0.509462	0.612763
cg00050873	PBX4	50	2	0.135146	5.296084	39.773159	2.104677e-38	0.074936	0.367622	0.714771
cg00050873	PBXIP1	50	2	3.902635	7.027566	56.049911	2.100692e-45	0.379168	1.975509	0.053975
cg00050873	PC	50	2	0.890356	4.634001	52.008354	7.205436e-44	-0.128703	-0.943587	0.350106
cg00050873	PCA3	50	2	1.999463	3.376358	66.186951	7.951682e-49	0.110422	1.414024	0.163809
cg00050873	PCBD1	50	2	0.227032	7.132484	56.535255	1.397199e-45	0.092021	0.476478	0.635896
cg00050873	PCBD2	50	2	0.00191	5.876961	43.39381	3.590828e-40	0.00906	0.043699	0.965326
cg00050873	PCBP1	50	2	1.455506	11.56528	204.730362	2.886743e-72	0.104329	1.206442	0.23356
cg00050873	PCBP2	50	2	0.839418	8.087448	54.389557	8.703419e-45	-0.208549	-0.916197	0.364144
cg00050873	PCBP3	50	2	0.654381	5.02075	52.546066	4.434725e-44	-0.118322	-0.808939	0.422542
cg00050873	PCBP4	50	2	3.23998	4.780696	37.919029	1.942092e-37	0.347399	1.799995	0.078148
cg00050873	PCCA	50	2	1.283013	4.275678	36.312706	1.448123e-36	-0.204167	-1.132701	0.262966
cg00050873	PCCB	50	2	0.170819	6.092631	58.943687	1.939555e-46	-0.065397	-0.413303	0.681225
cg00050873	PCDH1	50	2	1.593999	4.470097	61.800064	2.059691e-47	-0.139796	-1.262536	0.212855
cg00050873	PCDH10	50	2	0.178149	2.771695	70.661896	3.549986e-50	0.025344	0.422078	0.674853
cg00212031	ABHD14B	50	2	0.727394	9.082253	158.43956	6.250005e-67	0.348214	0.852875	0.397964
cg00212031	ABHD15	50	2	0.168095	6.847788	73.179626	6.713837e-51	0.273255	0.409994	0.683635
cg00212031	ABHD2	50	2	0.192621	7.628883	142.858231	8.900171e-65	-0.166931	-0.438886	0.662714
cg00212031	ABHD3	50	2	2.481773	8.842559	68.854019	1.217141e-49	1.44099	1.575365	0.121741
cg00212031	ABHD4	50	2	3.049335	5.950313	117.349976	1.091745e-60	0.630653	1.746235	0.087168
cg00212031	ABHD5	50	2	0.063028	8.113388	123.771561	8.532779e-62	-0.117215	-0.251056	0.802843
cg00212031	ABHD6	50	2	0.899139	6.348831	95.967781	1.635788e-56	-0.446799	-0.948229	0.347763
cg00212031	ABHD8	50	2	2.99066	4.090229	113.224525	6.046842e-60	0.444961	1.729354	0.090173
cg00212031	ABI1	50	2	0.007389	9.438217	159.258392	4.88228e-67	-0.036285	-0.085963	0.931854
cg00212031	ABI2	50	2	0.018828	4.883204	215.008896	2.756375e-73	0.022196	0.137213	0.891436
cg00212031	ABI3	50	2	0.086692	8.267299	93.934036	4.549122e-56	0.18457	0.294436	0.769695
cg00212031	ABI3BP	50	2	3.165622	2.594687	151.750656	4.935265e-66	-0.216678	-1.779219	0.081536
cg00212031	ABL1	50	2	0.600354	7.114654	147.31987	2.040503e-65	-0.266518	-0.774825	0.442243
cg00212031	ABL2	50	2	2.657776	7.701742	73.360664	5.969128e-51	-1.219034	-1.630269	0.10959
cg00212031	ABLIM1	50	2	0.272189	6.746348	33.681343	4.686445e-35	0.744296	0.521717	0.604266
cg00212031	ABLIM2	50	2	0.166328	3.64282	147.382202	1.999577e-65	0.071797	0.407833	0.68521
cg00212031	ABLIM3	50	2	0.073347	4.787627	90.51088	2.676299e-55	0.102034	0.270827	0.787685
cg00212031	ABO	50	2	0.331201	5.375805	121.091141	2.432598e-61	0.181974	0.575501	0.567641
cg00212031	LRRK2	50	2	2.065607	10.930003	125.39463	4.574289e-62	0.892269	1.437221	0.157142
cg00212031	LRRN1	50	2	0.382382	2.752257	75.174774	1.866342e-51	-0.161249	-0.61837	0.539255
cg00212031	LRRN2	50	2	0.015147	4.003821	107.246605	8.089047e-59	0.032725	0.123072	0.902564
cg00212031	LRRN3	50	2	0.079023	3.628715	28.638584	7.837802e-32	0.253693	0.28111	0.779834
cg00212031	LRRN4	50	2	0.057298	3.78957	189.799759	1.089067e-70	0.03404	0.23937	0.811838
cg00212031	LRRN4CL	50	2	0.01536	2.685888	132.218353	3.621058e-63	0.017931	0.123933	0.901886
cg00212031	LRRTM1	50	2	0.438089	5.030829	116.846504	1.341048e-60	-0.202972	-0.661883	0.511212
cg00212031	LRRTM2	50	2	0.970415	3.305932	33.748135	4.277456e-35	-0.687312	-0.985097	0.329516
cg00212031	LRRTM4	50	2	0.07603	3.290404	130.519867	6.724015e-63	-0.04951	-0.275735	0.783935
cg00212031	LRSAM1	50	2	0.371625	3.898505	131.02919	5.580364e-63	0.129185	0.60961	0.544995
cg00212031	LRTM1	50	2	0.212443	3.352418	117.841087	8.940399e-61	0.093393	0.460915	0.646941
cg00212031	LRTM2	50	2	0.418359	6.301743	152.968536	3.365223e-66	0.189786	0.646807	0.520838
cg00212031	LRTOMT	50	2	0.127885	4.655035	131.982254	3.94451e-63	0.089835	0.357609	0.722204
cg00212031	LRWD1	50	2	0.018944	6.385276	160.972076	2.923593e-67	-0.038886	-0.137637	0.891103
