Marker1	Marker2	Correlation	Lower	Upper	t-statistic
cg00050873	cg00212031	-0.414686	-0.621320	-0.154123	-3.157295
cg00050873	cg00213748	0.801585	0.673507	0.882934	9.288703
cg00050873	cg00214611	-0.789388	-0.875392	-0.654945	-8.908754
cg00050873	cg00455876	0.816279	0.696086	0.891965	9.790115
cg00050873	cg01707559	-0.759328	-0.856624	-0.609880	-8.084691
cg00050873	cg02004872	-0.858439	-0.917546	-0.762218	-11.595376
cg00050873	cg02011394	0.791693	0.658440	0.876821	8.978282
cg00050873	cg02050847	0.758440	0.608564	0.856066	8.062428
cg00050873	cg02233190	-0.731861	-0.839246	-0.569530	-7.440675
cg00050873	cg02494853	0.045954	-0.235409	0.320211	0.318718
cg00050873	cg02839557	-0.729940	-0.838023	-0.566738	-7.398814
cg00050873	cg02842889	-0.580998	-0.739721	-0.361033	-4.945634
cg00050873	cg03052502	0.821340	0.703919	0.895062	9.975504
cg00050873	cg03155755	0.844802	0.740605	0.909324	10.938492
cg00050873	cg03244189	-0.459304	-0.654039	-0.207477	-3.582375
cg00050873	cg03443143	0.846242	0.742877	0.910195	11.004059
cg00050873	cg03683899	-0.156420	-0.416632	0.127483	-1.097215
cg00050873	cg03695421	0.858055	0.761606	0.917315	11.575688
cg00050873	cg03706273	0.124226	-0.159647	0.389123	0.867379
cg00050873	cg03750315	0.020498	-0.259335	0.297155	0.142041
cg00050873	cg03767353	0.794286	0.662380	0.878426	9.057729
cg00050873	cg04016144	0.697383	0.519965	0.817118	6.741481
cg00050873	cg04023335	0.846819	0.743787	0.910543	11.030524
cg00050873	cg04042030	-0.475978	-0.666081	-0.227807	-3.749666
cg00050873	cg04303809	-0.641585	-0.780543	-0.442204	-5.794949
cg00050873	cg04448376	-0.604672	-0.755813	-0.392359	-5.259797
cg00050873	cg04462340	0.511068	0.271312	0.691106	4.119396
cg00050873	cg04689676	-0.628139	-0.771585	-0.423904	-5.592946
cg00050873	cg04792227	0.686050	0.503930	0.809767	6.532981
cg00050873	cg04840163	-0.070067	-0.341754	0.212429	-0.486633
cg00050873	cg04964672	0.843457	0.738485	0.908511	10.878048
cg00050873	cg05213048	0.795726	0.664571	0.879317	9.102444
cg00050873	cg05230942	0.777383	0.636832	0.867928	8.562211
cg00050873	cg05480730	-0.729844	-0.837961	-0.566598	-7.396730
cg00050873	cg05544622	0.768836	0.624030	0.862588	8.330092
cg00050873	cg05621349	-0.410134	-0.617942	-0.148765	-3.115589
cg00050873	cg05865243	0.740696	0.582425	0.844860	7.638267
cg00050873	cg05890011	-0.608451	-0.758364	-0.397405	-5.311897
cg00050873	cg06322277	0.766146	0.620018	0.860904	8.259374
cg00050873	cg06479204	-0.388869	-0.602054	-0.123931	-2.924327
cg00050873	cg07731488	0.082976	-0.199995	0.353172	0.576866
cg00050873	cg07747963	0.785258	0.648697	0.872829	8.786667
cg00050873	cg07939587	0.781032	0.642322	0.870201	8.664905
cg00050873	cg08242338	0.818007	0.698758	0.893023	9.852646
cg00050873	cg08265308	0.813205	0.691344	0.890081	9.680885
cg00050873	cg08921682	0.211482	-0.071054	0.462602	1.499095
cg00050873	cg09350919	0.801489	0.673360	0.882875	9.285589
cg00050873	cg09460641	0.791789	0.658586	0.876880	8.981200
cg00050873	cg09856092	-0.630892	-0.773423	-0.427636	-5.633596
cg00050873	cg10076560	0.603265	0.390483	0.754861	5.240541
cg00050873	cg10213302	-0.717071	-0.829797	-0.548123	-7.127705
cg00050873	cg10252249	0.781128	0.642467	0.870261	8.667639
cg00050873	cg10267609	0.805810	0.679976	0.885537	9.427669
cg00050873	cg10363397	0.595006	0.379508	0.749264	5.129045
cg00050873	cg10698069	-0.725714	-0.835327	-0.560607	-7.308029
cg00050873	cg10841270	0.850564	0.749711	0.912804	11.205942
cg00050873	cg11131351	0.762881	0.615157	0.858856	8.174910
cg00050873	cg13268984	-0.352517	-0.574498	-0.082234	-2.609851
cg00050873	cg13851368	0.856423	0.759008	0.916333	11.492835
cg00050873	cg14180491	-0.729844	-0.837961	-0.566598	-7.396730
cg00050873	cg14210405	0.778920	0.639142	0.868885	8.605179
cg00050873	cg14466580	0.848163	0.745912	0.911355	11.092806
cg00050873	cg14741114	-0.558780	-0.724453	-0.332078	-4.668111
cg00050873	cg15027426	0.684322	0.501495	0.808642	6.501987
cg00050873	cg15295597	-0.409364	-0.617369	-0.147859	-3.108554
cg00050873	cg15329860	-0.800528	-0.882283	-0.671893	-9.254578
cg00050873	cg15345074	-0.594430	-0.748873	-0.378745	-5.121362
cg00050873	cg15422579	-0.724466	-0.834530	-0.558799	-7.281543
cg00050873	cg15429127	-0.760576	-0.857408	-0.611733	-8.116193
cg00050873	cg15563434	0.749626	0.595539	0.850511	7.846905
cg00050873	cg15682806	0.816567	0.696531	0.892141	9.800483
cg00050873	cg15682993	0.299748	0.023343	0.533581	2.176806
cg00050873	cg15746461	-0.569364	-0.731746	-0.345818	-4.798366
