symbol	GSM1855317	GSM1855318	GSM1855319	GSM1855320	GSM1855321	GSM1855322	GSM2195410	GSM2195411	GSM2195412	GSM2195413	GSM2195414	GSM2195415	GSM2226784	GSM2226785	GSM2226786	GSM2226787	GSM2226788	GSM2226789	GSM2226790	GSM2226791	GSM2226792	GSM2226793	GSM2477389	GSM2477390	GSM2477391	GSM2477392	GSM2477393	GSM2477394	GSM2700243	GSM2700244	GSM2700245	GSM2700240	GSM2700241	GSM2700242	GSM2774691	GSM2774692	GSM2774693	GSM2774694	GSM2774695	GSM2774696	GSM3685851	GSM3685852	GSM3685853	GSM3685848	GSM3685849	GSM3685850	GSM3936838	GSM3936839	GSM3936840	GSM3936841
cg00050873	0.293488	0.443111	0.80018	0.389513	0.797597	0.347282	0.08931	0.818861	0.801887	0.451901	0.285668	0.782428	0.212347	0.443243	0.372027	0.410461	0.475083	0.793149	0.801741	0.783038	0.79604	0.807622	0.78481	0.42102	0.777855	0.772041	0.799751	0.761512	0.762209	0.794385	0.41072	0.765204	0.850132	0.48501	0.779676	0.81037	0.506002	0.78203	0.172954	0.809309	0.526383	0.421448	0.809143	0.766551	0.286306	0.79662	0.780501	0.790614	0.788253	0.341133
cg00212031	0.365935	0.022972	0.044824	0.019167	0.03516	0.324261	0.150799	0.013591	0.023534	0.365055	0.146694	0.038139	0.105289	0.189361	0.209177	0.058822	0.322195	0.022887	0.000834	0.028617	0.019858	0.020517	0	0.302857	0.030391	0.02392	0.025651	0.010391	0.039096	0.01727	0.291145	0.024507	0.054943	0	0.001405	0.145974	0.21422	0.020076	0.106111	0.03988	0.287705	0.089918	0.021785	0.032693	0	0.04733	0.019605	0.039412	0.017454	0.0323
cg00213748	0.195021	0.268648	0.597747	0.234184	0.720005	0.134392	0.216846	0.739077	0.717192	0.276867	0.245003	0.649916	0.128831	0.320298	0.14845	0.29176	0.13115	0.53938	0.631584	0.654363	0.701602	0.743	0.718193	0.273958	0.674543	0.663253	0.594339	0.664062	0.658067	0.680089	0.197668	0.616557	0.653154	0.16562	0.707749	0.674389	0.303283	0.669076	0.109969	0.714603	0.329817	0.205499	0.584366	0.600661	0.103368	0.660272	0.690468	0.670641	0.654315	0.245121
cg00214611	0.3835	0.522901	0.036436	0.375869	0.033757	0.36882	0.496281	0.055488	0.026175	0.278659	0.488203	0.034308	0.326473	0.3794	0.295494	0.25793	0.250377	0.029281	0.020609	0.038303	0.023167	0.009511	0.055662	0.407375	0.02616	0.058889	0.03866	0.045638	0.028107	0.028465	0.392108	0.031189	0.042159	0.382996	0.052983	0.023111	0.309442	0.049359	0.499787	0.048216	0.536317	0.399483	0.033978	0.044102	0.473863	0.039246	0.037196	0.035011	0.034088	0.476278
cg00455876	0.182516	0.194256	0.432622	0.111811	0.435054	0.191078	0.157288	0.455564	0.463625	0.189556	0.139138	0.460174	0.170917	0.206624	0.142602	0.133189	0.118455	0.410767	0.481804	0.487591	0.518313	0.530668	0.493402	0.19963	0.444023	0.50807	0.527187	0.466707	0.481352	0.523914	0.163174	0.419579	0.487797	0.21249	0.457917	0.518808	0.158708	0.462545	0.194151	0.510625	0.179091	0.168078	0.500153	0.432362	0.183377	0.481614	0.43663	0.526585	0.422392	0.180819
cg01707559	0.290183	0.299409	0.151883	0.28493	0.168539	0.30889	0.287498	0.166109	0.181998	0.263845	0.277629	0.195562	0.245537	0.233383	0.284453	0.283549	0.269837	0.135143	0.17133	0.189654	0.179772	0.164091	0.135419	0.27701	0.17751	0.190766	0.177363	0.162074	0.200935	0.195269	0.293891	0.22878	0.173629	0.272146	0.170066	0.196112	0.312609	0.154454	0.269452	0.174058	0.272286	0.238841	0.208476	0.179027	0.290059	0.187356	0.171027	0.175064	0.195998	0.260128
cg02004872	0.192521	0.125077	0.010739	0.123803	0.015228	0.045078	0.14453	0.013523	0.016035	0.149816	0.141656	0.030154	0.111603	0.122719	0.129846	0.159506	0.064369	0.010596	0.016059	0.022128	0.018144	0.014659	0.018508	0.150272	0.016475	0.028142	0.022718	0.040784	0.027204	0.021335	0.136567	0.019845	0.00701	0.170972	0.022449	0.013573	0.163875	0.021387	0.087415	0.006701	0.095074	0.068149	0.020249	0.019734	0.152153	0.028143	0.023178	0.02231	0.021992	0.122364
cg02011394	0.419491	0.291876	0.944579	0.04687	0.926321	0.357451	0.391073	0.946376	0.938414	0.271738	0.446857	0.951911	0.422659	0.106349	0.258718	0.398018	0.419212	0.952663	0.944017	0.927739	0.948227	0.942671	0.949657	0.275644	0.940828	0.918252	0.948008	0.936983	0.938282	0.94368	0.271879	0.939892	0.964841	0.3364	0.945655	0.960742	0.039653	0.932583	0.309094	0.948345	0.420465	0.236043	0.940597	0.947196	0.292398	0.940404	0.940239	0.948341	0.936006	0.127082
cg02050847	0.160976	0.174448	0.951929	0.062797	0.952144	0.046878	0.061766	0.899208	0.946783	0.186052	0.092671	0.940774	0.183967	0	0.196117	0.200493	0.037431	0.946915	0.868832	0.955226	0.955775	0.91854	0.939727	0.187873	0.939105	0.936516	0.919919	0.91948	0.937852	0.954673	0.043298	0.953605	0.937436	0	0.913461	0.971124	0.086853	0.91187	0.208155	0.946033	0.22525	0.377587	0.951745	0.934561	0	0.959365	0.902899	0.943282	0.924212	0.275174
cg02233190	0.225884	0.162556	0.034129	0.094877	0.046883	0.094999	0.128615	0.021001	0.030536	0.148839	0.201341	0.026591	0.208565	0.179142	0.073116	0.186777	0.100704	0.028217	0.015305	0.033347	0.039569	0.021877	0.026744	0.132935	0.025699	0.021089	0.019795	0.017435	0.028026	0.023052	0.17467	0.031708	0.035018	0.163101	0.034983	0.025919	0.155312	0.019696	0.180099	0.024497	0.141674	0.129093	0.032711	0.042034	0.154471	0.031895	0.013223	0.017079	0.044814	0.073132
