Model	SNP1	SNP2	a	b	c	d	OR	Lower_CI	Upper_CI	chi_square	chi_pvalue
aa*Bb_vs_other	0	1	10	40	11	39	0.886364	0.338266	2.322555	0.000000	1.000000
aa*Bb_vs_other	0	2	11	39	13	37	0.802761	0.319799	2.015099	0.054825	0.814871
aa*Bb_vs_other	0	3	10	40	12	38	0.791667	0.306343	2.045865	0.058275	0.809243
aa*Bb_vs_other	0	4	13	37	14	36	0.903475	0.373463	2.185668	0.000000	1.000000
aa*Bb_vs_other	0	5	7	43	12	38	0.515504	0.184175	1.442886	1.039636	0.307906
aa*Bb_vs_other	0	6	7	43	13	37	0.463327	0.167313	1.283054	1.562500	0.211300
aa*Bb_vs_other	0	7	5	45	11	39	0.393939	0.125888	1.232745	1.860119	0.172611
aa*Bb_vs_other	0	8	9	41	10	40	0.878049	0.322896	2.387670	0.000000	1.000000
aa*Bb_vs_other	0	9	17	33	17	33	1.000000	0.437135	2.287621	0.044563	0.832809
aa*Bb_vs_other	0	10	13	37	18	32	0.624625	0.265366	1.470257	0.748013	0.387106
aa*Bb_vs_other	0	11	18	32	18	32	1.000000	0.441902	2.262944	0.043403	0.834969
aa*Bb_vs_other	0	12	16	34	15	35	1.098039	0.470299	2.563666	0.000000	1.000000
aa*Bb_vs_other	0	13	18	32	14	36	1.446429	0.621119	3.368366	0.413603	0.520146
aa*Bb_vs_other	0	14	14	36	17	33	0.754902	0.322467	1.767243	0.187003	0.665423
aa*Bb_vs_other	0	15	16	34	16	34	1.000000	0.431562	2.317162	0.045956	0.830256
aa*Bb_vs_other	0	16	16	34	16	34	1.000000	0.431562	2.317162	0.045956	0.830256
aa*Bb_vs_other	0	17	14	36	12	38	1.231481	0.502824	3.016061	0.051975	0.819661
aa*Bb_vs_other	0	18	19	31	15	35	1.430107	0.622443	3.285774	0.401070	0.526537
aa*Bb_vs_other	0	19	19	31	14	36	1.576037	0.679735	3.654207	0.723654	0.394948
aa*Bb_vs_other	0	20	19	31	14	36	1.576037	0.679735	3.654207	0.723654	0.394948
aa*Bb_vs_other	0	21	19	31	14	36	1.576037	0.679735	3.654207	0.723654	0.394948
aa*Bb_vs_other	0	22	17	33	14	36	1.324675	0.565853	3.101095	0.187003	0.665423
aa*Bb_vs_other	0	23	17	33	14	36	1.324675	0.565853	3.101095	0.187003	0.665423
aa*Bb_vs_other	0	24	16	34	14	36	1.210084	0.513675	2.850642	0.047619	0.827259
aa*Bb_vs_other	0	25	15	35	14	36	1.102041	0.464351	2.615467	0.000000	1.000000
