Marker1	Marker2	Correlation	Lower	Upper	t-statistic
cg00050873	cg00212031	-0.558368	-0.724168	-0.331545	-4.663113
cg00050873	cg00213748	0.945632	0.905669	0.968941	20.143764
cg00050873	cg00214611	-0.931482	-0.960735	-0.881750	-17.739738
cg00050873	cg00455876	0.926837	0.873953	0.958030	17.102345
cg00050873	cg01707559	-0.874977	-0.927448	-0.788719	-12.520583
cg00050873	cg02004872	-0.863384	-0.920514	-0.770108	-11.855569
cg00050873	cg02011394	0.892806	0.817653	0.938042	13.732213
cg00050873	cg02050847	0.930748	0.880516	0.960308	17.634912
cg00050873	cg02233190	-0.876969	-0.928636	-0.791933	-12.643563
cg00050873	cg02494853	-0.033121	-0.308628	0.247513	-0.229596
cg00050873	cg02839557	-0.910501	-0.948473	-0.846749	-15.255243
cg00050873	cg02842889	-0.693375	-0.814522	-0.514279	-6.666655
cg00050873	cg03052502	0.945919	0.906157	0.969107	20.201855
cg00050873	cg03155755	0.923964	0.869144	0.956354	16.736563
cg00050873	cg03244189	-0.498417	-0.682134	-0.255514	-3.983145
cg00050873	cg03443143	0.917272	0.857984	0.952442	15.956974
cg00050873	cg03683899	-0.446721	-0.644885	-0.192277	-3.459334
cg00050873	cg03695421	0.945312	0.905125	0.968756	20.079575
cg00050873	cg03706273	-0.051258	-0.324974	0.230381	-0.355596
cg00050873	cg03750315	-0.319115	-0.548726	-0.044736	-2.332861
cg00050873	cg03767353	0.903924	0.835889	0.944605	14.642642
cg00050873	cg04016144	0.937294	0.891544	0.964112	18.631353
cg00050873	cg04023335	0.927856	0.875662	0.958624	17.237127
cg00050873	cg04042030	-0.621828	-0.767360	-0.415370	-5.501021
cg00050873	cg04303809	-0.768614	-0.862449	-0.623699	-8.324228
cg00050873	cg04448376	-0.591344	-0.746775	-0.374661	-5.080416
cg00050873	cg04462340	0.411262	0.150092	0.618779	3.125897
cg00050873	cg04689676	-0.586258	-0.743312	-0.367950	-5.013694
cg00050873	cg04792227	0.714046	0.543772	0.827857	7.066231
cg00050873	cg04840163	-0.247565	-0.492013	0.033066	-1.770290
cg00050873	cg04964672	0.922669	0.866981	0.955598	16.578247
cg00050873	cg05213048	0.698326	0.521304	0.817728	6.759254
cg00050873	cg05230942	0.876220	0.790723	0.928189	12.596964
cg00050873	cg05480730	-0.753170	-0.852747	-0.600767	-7.932376
cg00050873	cg05544622	0.942564	0.900461	0.967166	19.550247
cg00050873	cg05621349	-0.544778	-0.714746	-0.314047	-4.500856
cg00050873	cg05865243	0.931521	0.881816	0.960758	17.745377
cg00050873	cg05890011	-0.757498	-0.855473	-0.607168	-8.038912
cg00050873	cg06322277	0.939985	0.896093	0.965672	19.085960
cg00050873	cg06479204	-0.500206	-0.683405	-0.257739	-4.002195
cg00050873	cg07731488	-0.276804	-0.515442	0.001678	-1.995737
cg00050873	cg07747963	0.883060	0.801788	0.932261	13.037560
cg00050873	cg07939587	0.815695	0.695185	0.891608	9.769197
cg00050873	cg08242338	0.912732	0.850445	0.949782	15.477809
cg00050873	cg08265308	0.940309	0.896640	0.965860	19.142563
cg00050873	cg08921682	0.307965	0.032389	0.540025	2.242642
cg00050873	cg09350919	0.933196	0.884634	0.961732	17.990961
cg00050873	cg09460641	0.937068	0.891163	0.963981	18.594532
cg00050873	cg09856092	-0.644650	-0.782577	-0.446399	-5.842243
cg00050873	cg10076560	0.653398	0.458421	0.788367	5.979906
cg00050873	cg10213302	-0.903778	-0.944519	-0.835649	-14.629786
cg00050873	cg10252249	0.854577	0.756075	0.915222	11.400746
cg00050873	cg10267609	0.936810	0.890726	0.963830	18.552521
cg00050873	cg10363397	0.639720	0.439656	0.779303	5.766407
cg00050873	cg10698069	-0.796246	-0.879638	-0.665363	-9.118691
cg00050873	cg10841270	0.903581	0.835324	0.944403	14.612363
cg00050873	cg11131351	0.755009	0.603483	0.853906	7.977326
cg00050873	cg13268984	-0.586552	-0.743513	-0.368338	-5.017528
cg00050873	cg13851368	0.947934	0.909584	0.970271	20.622169
cg00050873	cg14180491	-0.908857	-0.947507	-0.844029	-15.096176
cg00050873	cg14210405	0.845745	0.742092	0.909894	10.981315
