Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
cg00050873	cg00212031	-0.414686	-0.621320	-0.154123	-3.157295	50	0.145865	0.097143	-0.186246	0.365609	0.676224	50	0.145865	-2.611479	0.009015
cg00050873	cg00213748	0.801585	0.673507	0.882934	9.288703	50	0.145865	-0.083025	-0.353215	0.199948	-0.577208	50	0.145865	5.750544	8.895696e-09
cg00050873	cg00214611	-0.789388	-0.875392	-0.654945	-8.908754	50	0.145865	0.060936	-0.221168	0.333630	0.422966	50	0.145865	-5.481839	4.209268e-08
cg00050873	cg00455876	0.816279	0.696086	0.891965	9.790115	50	0.145865	-0.190492	-0.445237	0.092780	-1.344386	50	0.145865	6.488183	8.687798e-11
cg00050873	cg01707559	-0.759328	-0.856624	-0.609880	-8.084691	50	0.145865	-0.164754	-0.423677	0.119059	-1.157263	50	0.145865	-4.015605	0.000059
cg00050873	cg02004872	-0.858439	-0.917546	-0.762218	-11.595376	50	0.145865	-0.152269	-0.413112	0.131664	-1.067397	50	0.145865	-5.496881	3.865674e-08
cg00050873	cg02011394	0.791693	0.658440	0.876821	8.978282	50	0.145865	-0.164370	-0.423353	0.119448	-1.154489	50	0.145865	6.019972	1.744474e-09
cg00050873	cg02050847	0.758440	0.608564	0.856066	8.062428	50	0.145865	0.016279	-0.263267	0.293302	0.112796	50	0.145865	4.732561	2.217045e-06
cg00050873	cg02233190	-0.731861	-0.839246	-0.569530	-7.440675	50	0.145865	-0.167251	-0.425781	0.116527	-1.175303	50	0.145865	-3.703073	0.000213
cg00050873	cg02494853	0.045954	-0.235409	0.320211	0.318718	50	0.145865	0.856230	0.758702	0.916217	11.483174	50	0.145865	-5.977476	2.266211e-09
cg00050873	cg02839557	-0.729940	-0.838023	-0.566738	-7.398814	50	0.145865	-0.172053	-0.429821	0.111647	-1.210062	50	0.145865	-3.659114	0.000253
cg00050873	cg02842889	-0.580998	-0.739721	-0.361033	-4.945634	50	0.145865	-0.142857	-0.405101	0.141106	-1.000000	50	0.145865	-2.521412	0.011689
cg00050873	cg03052502	0.821340	0.703919	0.895062	9.975504	50	0.145865	0.114046	-0.169694	0.380325	0.795320	50	0.145865	5.072508	3.926069e-07
cg00050873	cg03155755	0.844802	0.740605	0.909324	10.938492	50	0.145865	-0.154962	-0.415397	0.128953	-1.086733	50	0.145865	6.757339	1.405486e-11
cg00050873	cg03244189	-0.459304	-0.654039	-0.207477	-3.582375	50	0.145865	-0.078319	-0.349062	0.204491	-0.544284	50	0.145865	-2.026081	0.042757
cg00050873	cg03443143	0.846242	0.742877	0.910195	11.004059	50	0.145865	-0.039616	-0.314500	0.241399	-0.274682	50	0.145865	6.216675	5.078006e-10
cg00050873	cg03683899	-0.156420	-0.416632	0.127483	-1.097215	50	0.145865	0.184538	-0.098895	0.440275	1.300857	50	0.145865	-1.669498	0.095019
cg00050873	cg03695421	0.858055	0.761606	0.917315	11.575688	50	0.145865	0.054886	-0.226934	0.328224	0.380835	50	0.145865	5.967410	2.410490e-09
cg00050873	cg03706273	0.124226	-0.159647	0.389123	0.867379	50	0.145865	0.001489	-0.276979	0.279725	0.010313	50	0.145865	0.598117	0.549762
cg00050873	cg03750315	0.020498	-0.259335	0.297155	0.142041	50	0.145865	0.048881	-0.232637	0.322841	0.339060	50	0.145865	-0.137767	0.890425
cg00050873	cg03767353	0.794286	0.662380	0.878426	9.057729	50	0.145865	0.060360	-0.221718	0.333116	0.418951	50	0.145865	4.956769	7.167494e-07
cg00050873	cg04016144	0.697383	0.519965	0.817118	6.741481	50	0.145865	-0.135750	-0.399025	0.148202	-0.949293	50	0.145865	4.841770	1.286876e-06
cg00050873	cg04023335	0.846819	0.743787	0.910543	11.030524	50	0.145865	-0.168884	-0.427156	0.114869	-1.187111	50	0.145865	6.861000	6.838036e-12
cg00050873	cg04042030	-0.475978	-0.666081	-0.227807	-3.749666	50	0.145865	0.035486	-0.245289	0.310769	0.246011	50	0.145865	-2.682086	0.007316
cg00050873	cg04303809	-0.641585	-0.780543	-0.442204	-5.794949	50	0.145865	0.768067	0.622883	0.862107	8.309778	50	0.145865	-8.611709	7.197959e-18
cg00050873	cg04448376	-0.604672	-0.755813	-0.392359	-5.259797	50	0.145865	-0.074574	-0.345749	0.208098	-0.518105	50	0.145865	-3.033521	0.002417
cg00050873	cg04462340	0.511068	0.271312	0.691106	4.119396	50	0.145865	0.011381	-0.267820	0.288818	0.078852	50	0.145865	2.679767	0.007367
cg00050873	cg04689676	-0.628139	-0.771585	-0.423904	-5.592946	50	0.145865	0.017719	-0.261925	0.294619	0.122781	50	0.145865	-3.665126	0.000247
cg00050873	cg04792227	0.686050	0.503930	0.809767	6.532981	50	0.145865	-0.144970	-0.406903	0.138991	-1.015105	50	0.145865	4.782015	1.735464e-06
cg00050873	cg04840163	-0.070067	-0.341754	0.212429	-0.486633	50	0.145865	-0.083890	-0.353976	0.199112	-0.583260	50	0.145865	0.067409	0.946256
cg00050873	cg04964672	0.843457	0.738485	0.908511	10.878048	50	0.145865	0.836062	0.726866	0.904029	10.557872	50	0.145865	0.121621	0.903199
cg00050873	cg05213048	0.795726	0.664571	0.879317	9.102444	50	0.145865	0.024730	-0.255381	0.301010	0.171386	50	0.145865	5.148804	2.621524e-07
cg00050873	cg05230942	0.777383	0.636832	0.867928	8.562211	50	0.145865	-0.169556	-0.427722	0.114186	-1.191976	50	0.145865	5.865361	4.481573e-09
cg00050873	cg05480730	-0.729844	-0.837961	-0.566598	-7.396730	50	0.145865	0.229100	-0.052608	0.477032	1.630619	50	0.145865	-5.631222	1.789375e-08
cg00050873	cg05544622	0.768836	0.624030	0.862588	8.330092	50	0.145865	-0.210852	-0.462085	0.071709	-1.494426	50	0.145865	5.970097	2.371132e-09
cg00050873	cg05621349	-0.410134	-0.617942	-0.148765	-3.115589	50	0.145865	-0.070060	-0.341748	0.212435	-0.486586	50	0.145865	-1.772302	0.076344
cg00050873	cg05865243	0.740696	0.582425	0.844860	7.638267	50	0.145865	0.119232	-0.164583	0.384813	0.831996	50	0.145865	4.034329	0.000055
cg00050873	cg05890011	-0.608451	-0.758364	-0.397405	-5.311897	50	0.145865	-0.021849	-0.298387	0.258073	-0.151409	50	0.145865	-3.318753	0.000904
cg00050873	cg06322277	0.766146	0.620018	0.860904	8.259374	50	0.145865	0.003697	-0.274938	0.281760	0.025617	50	0.145865	4.882742	1.046208e-06
cg00050873	cg06479204	-0.388869	-0.602054	-0.123931	-2.924327	50	0.145865	-0.034142	-0.309552	0.246554	-0.236678	50	0.145865	-1.824239	0.068116
cg00050873	cg07731488	0.082976	-0.199995	0.353172	0.576866	50	0.145865	0.259160	-0.020685	0.501346	1.859025	50	0.145865	-0.882471	0.377522
cg00050873	cg07747963	0.785258	0.648697	0.872829	8.786667	50	0.145865	-0.323217	-0.551915	-0.049300	-2.366328	50	0.145865	6.758521	1.394078e-11
cg00050873	cg07939587	0.781032	0.642322	0.870201	8.664905	50	0.145865	0.355678	0.085823	0.576914	2.636624	50	0.145865	3.277433	0.001048
cg00050873	cg08242338	0.818007	0.698758	0.893023	9.852646	50	0.145865	0.121248	-0.162592	0.386555	0.846278	50	0.145865	4.987859	6.105202e-07
cg00050873	cg08265308	0.813205	0.691344	0.890081	9.680885	50	0.145865	0.058535	-0.223458	0.331487	0.406242	50	0.145865	5.224918	1.742324e-07
cg00050873	cg08921682	0.211482	-0.071054	0.462602	1.499095	50	0.145865	-0.129892	-0.393999	0.154030	-0.907607	50	0.145865	1.674155	0.094100
cg00050873	cg09350919	0.801489	0.673360	0.882875	9.285589	50	0.145865	0.291140	0.013916	0.526801	2.108416	50	0.145865	3.892441	0.000099
cg00050873	cg09460641	0.791789	0.658586	0.876880	8.981200	50	0.145865	0.172917	-0.110767	0.430547	1.216328	50	0.145865	4.370358	0.000012
cg00050873	cg09856092	-0.630892	-0.773423	-0.427636	-5.633596	50	0.145865	0.118655	-0.165152	0.384315	0.827918	50	0.145865	-4.179247	0.000029
cg00050873	cg10076560	0.603265	0.390483	0.754861	5.240541	50	0.145865	-0.117791	-0.383567	0.166004	-0.821802	50	0.145865	3.958642	0.000075
cg00050873	cg10213302	-0.717071	-0.829797	-0.548123	-7.127705	50	0.145865	0.446627	0.192164	0.644816	3.458421	50	0.145865	-6.699821	2.086743e-11
cg00050873	cg10252249	0.781128	0.642467	0.870261	8.667639	50	0.145865	0.197311	-0.085751	0.450899	1.394423	50	0.145865	4.112412	0.000039
