symbol	GSM1855317	GSM1855318	GSM1855319	GSM1855320	GSM1855321	GSM1855322	GSM2195410	GSM2195411	GSM2195412	GSM2195413	GSM2195414	GSM2195415	GSM2226784	GSM2226785	GSM2226786	GSM2226787	GSM2226788	GSM2226789	GSM2226790	GSM2226791	GSM2226792	GSM2226793	GSM2477389	GSM2477390	GSM2477391	GSM2477392	GSM2477393	GSM2477394	GSM2700243	GSM2700244	GSM2700245	GSM2700240	GSM2700241	GSM2700242	GSM2774691	GSM2774692	GSM2774693	GSM2774694	GSM2774695	GSM2774696	GSM3685851	GSM3685852	GSM3685853	GSM3685848	GSM3685849	GSM3685850	GSM3936838	GSM3936839	GSM3936840	GSM3936841
cg00050873	0.21228	0.05062	0.091253	0.14952	0.129078	0.159172	0.106999	0.110725	0.033942	0.017068	0.05696	0.032506	0.150255	0.009765	0.059973	0.108298	0.055233	0.046879	0.127204	0.217831	0.064044	0.125175	0.191556	0.082899	0.039005	0.055778	0.127287	0.102247	0.028441	0.018959	0.039636	0.084109	0.041975	0.084271	0.137993	0.070293	0.073386	0.133997	0.038665	0.021203	0.031509	0.049469	0.025036	0.025956	0.106996	0.138961	0.094715	0.152951	0.075572	0.096188
cg00212031	0.128656	0.200178	0.075825	0.115269	0.184542	0.084596	0.216507	0.071049	0.136782	0.114659	0.06559	0.135426	0.125575	0.067361	0.147759	0.212348	0.150682	0.100178	0.125499	0.219666	0.113603	0.150435	0.215908	0.109697	0.101826	0.085897	0.253553	0.155447	0.160224	0.096583	0.161949	0.119491	0.18876	0.24946	0.113831	0.159412	0.140626	0.175659	0.201014	0.149873	0.200947	0.1836	0.136817	0.179631	0.081835	0.127711	0.109182	0.154887	0.130161	0.197349
cg00213748	0.61877	0.613786	0.562876	0.604334	0.589867	0.500573	0.604083	0.592847	0.577011	0.577797	0.559538	0.513097	0.570391	0.620762	0.643015	0.624211	0.552972	0.572012	0.588636	0.5506	0.591408	0.61103	0.593316	0.58243	0.573315	0.525115	0.556918	0.584928	0.594004	0.616529	0.555176	0.510401	0.61959	0.541307	0.538158	0.594353	0.528052	0.576782	0.554314	0.570426	0.599119	0.557719	0.583036	0.604394	0.592984	0.582184	0.533553	0.581479	0.559624	0.528334
cg00214611	0.947508	0.949478	0.943758	0.952016	0.936735	0.971448	0.969476	0.942747	0.933979	0.924722	0.951981	0.92517	0.992681	0.965387	0.917341	0.936022	0.95573	0.949911	0.950523	0.928517	0.942362	0.937778	0.921138	0.968689	0.956646	0.944023	0.874523	0.9693	0.954377	0.963993	0.934416	0.934325	0.952852	0.898649	0.920074	0.962557	0.944901	0.958702	0.915229	0.940161	0.947722	0.959865	0.933462	0.933236	0.953951	0.961309	0.900987	0.951875	0.963472	0.954113
cg00455876	0.448779	0.403387	0.290881	0.243418	0.284014	0.203969	0.162691	0.38823	0.342973	0.144216	0.248671	0.072025	0.110625	0.716296	0.209064	0.291628	0.386285	0.393669	0.266319	0.259725	0.118184	0.3603	0.386945	0.398552	0.429784	0.257544	0.453592	0.465804	0.676034	0.150826	0.286954	0.183125	0.524541	0.213946	0.19519	0.392244	0.612663	0.195413	0.427522	0.500553	0.199352	0.202982	0.642491	0.313423	0.162977	0.195527	0.185989	0.336876	0.441526	0.436171
cg01707559	0.425844	0.339613	0.298251	0.205961	0.226833	0.143982	0.122422	0.390681	0.23701	0.136221	0.239227	0.057277	0.113232	0.690519	0.158074	0.254416	0.255678	0.401748	0.202269	0.271381	0.096593	0.329772	0.252305	0.260636	0.221565	0.285229	0.353932	0.423343	0.598782	0.099457	0.258972	0.14795	0.368199	0.169965	0.104508	0.312187	0.665328	0.16338	0.414435	0.339684	0.196794	0.153188	0.627996	0.215537	0.194347	0.207129	0.166349	0.129056	0.274903	0.39447
cg02004872	0.365959	0.340136	0.300115	0.159499	0.13866	0.180767	0.149607	0.2963	0.217081	0.095291	0.175096	0.135178	0.100451	0.533179	0.129104	0.237834	0.217059	0.338995	0.186213	0.230165	0.108829	0.266243	0.250217	0.258495	0.179515	0.286109	0.24892	0.364758	0.504028	0.090177	0.219351	0.103903	0.28194	0.121652	0.11645	0.304404	0.495509	0.127071	0.313863	0.256312	0.161424	0.136486	0.484057	0.255761	0.187246	0.147591	0.177066	0.178139	0.238541	0.292596
cg02011394	0.318167	0.364376	0.225911	0.100986	0.153674	0.143725	0.082144	0.399198	0.235264	0.065248	0.170422	0.018357	0.039226	0.69186	0.060046	0.246605	0.180475	0.359645	0.146484	0.220628	0.046649	0.253878	0.199692	0.262878	0.134486	0.234362	0.340301	0.382278	0.625684	0.032879	0.209761	0.065024	0.320749	0.073733	0.069906	0.266122	0.613014	0.098032	0.331641	0.312507	0.065721	0.085952	0.612487	0.252729	0.102896	0.063693	0.099374	0.081242	0.265302	0.357823
cg02050847	0.965698	0.938243	0.973043	0.961137	0.953022	0.981508	0.977473	0.968069	0.950085	0.953804	0.976795	0.981904	0.955379	0.983446	0.966131	0.972772	0.976562	0.951743	0.961956	0.945399	0.950745	0.968096	0.978182	0.988649	0.944768	0.970465	0.957843	0.967241	0.986844	0.966404	0.930986	0.971792	0.973273	0.964374	0.96872	0.984176	0.970212	0.956314	0.946335	0.951947	0.9616	0.962618	0.972913	0.977442	0.973083	0.976596	0.970831	0.971538	0.962109	0.933442
cg02233190	0.412004	0.482514	0.307494	0.137399	0.314741	0.317074	0.190407	0.362645	0.338583	0.135223	0.307583	0.070349	0.103902	0.537603	0.112186	0.316442	0.301114	0.402347	0.223298	0.362428	0.090109	0.315412	0.302225	0.378372	0.306761	0.316439	0.359744	0.411506	0.537905	0.136891	0.326411	0.160151	0.404748	0.143409	0.152171	0.372812	0.540538	0.159098	0.379317	0.359077	0.154511	0.163236	0.530801	0.367772	0.201556	0.139006	0.211557	0.216005	0.380966	0.413345
