Model	SNP1	SNP2	a	b	c	d	OR	Lower_CI	Upper_CI	chi_square	chi_pvalue
AA*bb_vs_other	0	1	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
AA*bb_vs_other	0	2	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
AA*bb_vs_other	0	3	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
AA*bb_vs_other	0	4	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	5	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	6	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	7	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	8	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
AA*bb_vs_other	0	9	1	49	1	49	1.000000	0.060810	16.444649	0.510204	0.475051
AA*bb_vs_other	0	10	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	11	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	12	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	13	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	14	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	15	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	16	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	17	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	18	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	19	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	20	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	21	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	22	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	23	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	24	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	25	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	26	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
AA*bb_vs_other	0	27	1	49	1	50	1.020408	0.062068	16.775553	0.490147	0.483862
AA*bb_vs_other	0	28	1	50	1	49	0.980000	0.059611	16.111240	0.490147	0.483862
